index,t_solve_list,t_ground_list,ground_file_bytes_list
-13,0.002s;0.001s;0.001s;0.054s,0.009s;0.028s;0.028s;0.032s,290675;381998;434107;486368
-14,0s;0.001s;0.001s;0s;0.001s;0.001s;0.001s;0.001s;0.001s;0.001s;0.002s;0.002s;0.002s;0.002s;0.002s;0.002s;0.002s;0.002s;0.003s;0.002s;0.003s;0.002s;0.003s;0.003s;0.004s;0.004s;0.003s;0.003s;0.003s;0.004s;0.004s,0.011s;0.024s;0.025s;0.027s;0.03s;0.032s;0.039s;0.038s;0.042s;0.049s;0.052s;0.057s;0.062s;0.068s;0.072s;0.079s;0.088s;0.092s;0.1s;0.104s;0.114s;0.121s;0.138s;0.147s;0.143s;0.151s;0.157s;0.165s;0.187s;0.189s;0.193s,292117;371646;415286;458926;502566;546206;589846;633486;677752;721793;766116;810467;854714;899022;943592;988380;1033168;1077956;1122744;1167532;1212320;1257130;1301945;1346584;1391348;1436100;1480790;1525354;1570078;1615063;1659965
-15,0s;0.002s;0.001s;0.003s;0.004s;0.091s,0.016s;0.05s;0.067s;0.078s;0.089s;0.105s,339595;1123501;1558646;1997756;2439173;2895138
-16,0s;0.001s;0.002s;0.001s;0.001s;0.003s;0.002s;0.002s;0.004s;0.003s;0.003s;0.004s;0.004s;0.004s;0.005s;0.005s;0.006s;0.006s;0.006s;0.006s;0.007s;0.007s;0.008s;0.007s;0.008s;0.008s;0.009s;0.01s;0.01s;0.01s;0.01s,0.012s;0.034s;0.036s;0.045s;0.05s;0.055s;0.062s;0.07s;0.074s;0.087s;0.095s;0.103s;0.117s;0.13s;0.135s;0.152s;0.167s;0.178s;0.183s;0.195s;0.209s;0.223s;0.253s;0.25s;0.265s;0.286s;0.291s;0.307s;0.337s;0.345s;0.36s,298206;534613;667610;800607;934868;1069160;1204071;1340453;1475884;1612047;1748218;1884434;2020478;2156534;2292137;2427760;2563966;2699716;2835570;2971579;3107219;3242863;3378500;3514283;3655272;3803324;3951392;4099457;4247532;4395593;4543677
-17,0s;0.03s;0.044s;0.059s;0.077s;0.12s;0.83s,0.014s;0.041s;0.056s;0.061s;0.073s;0.088s;0.105s,339273;913449;1231544;1559401;1901864;2262471;2646956
-18,0.001s;0.003s;0.003s;0.005s;0.057s;0.108s;0.149s;0.201s;1.511s,0.018s;0.058s;0.079s;0.108s;0.115s;0.137s;0.149s;0.17s;0.191s,323646;1459566;2126456;2800927;3474737;4151440;4828454;5543766;6300039
-19,0s;0.019s;0.028s;0.038s;0.049s;0.059s;0.072s;0.086s;0.1s;0.114s;0.137s;0.157s;0.182s;0.193s;0.215s;0.266s;0.287s;0.327s;0.365s;0.442s;0.519s;0.586s;0.687s;0.798s;1.017s;1.128s;1.442s;1.709s;1.899s;2.557s;2.877s,0.013s;0.038s;0.043s;0.053s;0.064s;0.079s;0.086s;0.101s;0.117s;0.131s;0.149s;0.164s;0.183s;0.199s;0.239s;0.253s;0.284s;0.312s;0.358s;0.353s;0.382s;0.421s;0.448s;0.491s;0.526s;0.564s;0.613s;0.659s;0.728s;0.763s;0.827s,312336;742916;975411;1211673;1450752;1695192;1946523;2204832;2472240;2751550;3045028;3354092;3691536;4070415;4474270;4906415;5366199;5844187;6361829;6922696;7531546;8193034;8911949;9693245;10542109;11464008;12464540;13549480;14725060;16006729;17395301
-20,0s;0.001s;0.001s;0.001s;0.001s;0s;0.002s;0.001s;0.001s;0.002s;0.002s;0.001s;0.001s;0.002s;0.002s;0.002s;0.003s;0.002s;0.002s;0.003s;0.002s;0.003s;0.004s;0.002s;0.003s;0.003s;0.004s;0.003s;0.003s;0.004s;0.003s,0.012s;0.023s;0.024s;0.025s;0.027s;0.032s;0.035s;0.038s;0.043s;0.044s;0.048s;0.05s;0.058s;0.061s;0.097s;0.104s;0.122s;0.103s;0.083s;0.09s;0.094s;0.099s;0.14s;0.111s;0.117s;0.126s;0.129s;0.135s;0.144s;0.151s;0.159s,292748;362520;400446;438372;476298;514224;552150;590076;628374;666742;705333;743994;782444;820886;859539;898246;937175;976097;1015018;1053959;1092915;1131969;1170926;1209753;1248693;1287433;1326481;1365231;1404326;1443487;1482585
-21,0s;0.001s;0.002s;0.002s;0.003s;0.003s;0.028s;0.034s;0.043s;0.054s;0.068s;0.108s,0.011s;0.035s;0.041s;0.05s;0.057s;0.061s;0.078s;0.08s;0.092s;0.105s;0.125s;0.134s,307304;644764;834238;1026204;1221334;1419574;1623124;1830486;2044862;2265614;2494830;2733251
-22,0.001s;0.001s;0.001s;0.001s;0.007s,0.01s;0.02s;0.021s;0.02s;0.023s,288571;316942;333141;349820;367219
-23,0s;0.001s;0s;0.001s;0.008s,0.011s;0.02s;0.022s;0.026s;0.024s,290229;325670;346026;366862;388418
-24,0s;0.001s;0.001s;0.002s;0.001s;0.014s;0.017s;0.024s;0.093s,0.011s;0.028s;0.038s;0.039s;0.041s;0.045s;0.051s;0.057s;0.062s,290974;464761;565784;667650;771349;877999;986762;1098904;1214968
-25,0.001s;0.018s;0.029s;0.049s;0.063s;0.079s;0.194s,0.011s;0.037s;0.039s;0.046s;0.053s;0.062s;0.075s,296855;711374;952032;1195592;1441110;1689185;1941512
-26,0.001s;0.865s;1.488s;2.276s;3.017s;4.029s;5.416s;6.99s;10.4s,0.016s;0.15s;0.227s;0.31s;0.411s;0.474s;0.549s;0.64s;0.732s,348787;8519503;13178633;18180625;23016986;27813734;32662002;37652549;42829114
-27,0s;0.004s;0.005s;0.007s;0.011s;0.013s;0.015s;0.017s;0.02s;0.023s;0.027s;0.029s;0.034s;0.036s;0.044s;0.043s;0.047s;0.057s;0.054s;0.058s;0.062s;0.067s;0.073s;0.076s;0.083s;0.092s;0.094s;0.1s;0.107s;0.114s;0.124s,0.017s;0.073s;0.1s;0.133s;0.16s;0.193s;0.219s;0.252s;0.288s;0.325s;0.36s;0.421s;0.456s;0.5s;0.548s;0.587s;0.642s;0.701s;0.791s;0.81s;0.878s;0.928s;1.021s;1.061s;1.125s;1.23s;1.301s;1.342s;1.491s;1.53s;1.643s,321533;2297366;3450097;4654384;5842312;7050931;8236507;9428978;10627653;11893358;13193751;14506389;15817611;17101604;18413321;19737591;21092824;22512627;23966090;25452495;26974973;28536936;30142018;31793948;33496635;35254155;37070698;38950644;40898485;42918922;45016869
-28,0.001s;0.002s;0.003s;0.003s;0.004s;0.004s;0.006s;0.007s;0.009s;0.01s;0.011s;0.012s;0.014s;0.018s;0.018s;0.02s;0.022s;0.026s;0.031s;0.036s;0.04s;0.045s;0.052s;0.059s;0.066s;0.076s;0.081s;0.091s;0.101s;0.115s;0.127s,0.014s;0.05s;0.062s;0.075s;0.094s;0.111s;0.134s;0.2s;0.189s;0.212s;0.236s;0.269s;0.3s;0.335s;0.374s;0.411s;0.477s;0.491s;0.544s;0.599s;0.644s;0.704s;0.77s;0.838s;0.896s;1.028s;1.082s;1.189s;1.235s;1.365s;1.495s,333713;1061467;1477466;1901360;2332758;2774628;3228015;3716065;4216197;4736411;5286452;5871991;6500051;7198881;7963317;8789929;9686437;10661024;11722405;12879663;14142410;15520619;17024813;18665951;20442450;22373397;24476792;26765270;29252233;31951367;34876799
-29,0s;0.02s,0.012s;0.021s,285606;327853
