index,t_solve_list,t_ground_list,ground_file_bytes_list
-140,0.001s;9.382s;17.187s;3.111s;5.661s,0.033s;1.069s;1.889s;2.743s;3.534s,501096;69595363;113653222;157436350;200311527
-141,0.001s;0.008s;0.013s;0.021s;0.028s;0.035s;2.828s;3.704s;4.621s;5.816s,0.019s;0.135s;0.21s;0.286s;0.379s;0.46s;0.523s;0.615s;0.716s;0.817s,303833;5354483;8488242;11628095;14889816;18062613;21265371;24662734;28167331;31623575
-142,0.001s;0.003s;0.004s;0.006s;0.008s;0.011s;0.546s;0.677s;0.86s;1.07s;1.364s;1.673s,0.014s;0.069s;0.09s;0.113s;0.155s;0.18s;0.203s;0.226s;0.261s;0.301s;0.335s;0.384s,249754;1870882;2819623;3780218;4753051;5730230;6715733;7709189;8711449;9727106;10761457;11816816
-143,0.001s;1.128s;2.227s;4.205s;5.554s;7.746s;10.495s;1.477s;1.801s;2.176s;2.44s;2.576s;2.904s;3.02s;3.322s;3.708s;3.908s;4.405s;4.544s;5.138s;5.428s;5.768s;6.171s;6.541s;6.982s;7.275s;7.811s;8.266s;8.637s;9.138s;9.706s,0.02s;0.251s;0.366s;0.517s;0.659s;0.832s;0.989s;1.136s;1.335s;1.514s;1.731s;1.968s;2.129s;2.35s;2.604s;2.845s;3.139s;3.367s;3.591s;3.931s;4.205s;4.505s;4.893s;5.135s;5.44s;5.806s;6.152s;6.534s;6.842s;7.222s;7.699s,353762;10170458;16392560;22662789;29279108;35607754;41969239;48378242;54984905;61759478;68577489;75444120;82367690;89356765;96420769;103569535;110813707;118293926;126131427;133824863;141673844;149690612;157958742;166430399;175187457;184213151;193485573;203037137;212887752;223037222;233543050
-144,0.001s;0.01s;0.016s;0.025s;0.032s;0.04s;0.049s;0.056s;0.064s;0.072s;0.078s;0.087s;0.094s;0.101s;0.11s;0.121s;0.124s;0.132s;0.14s;0.148s;0.155s;0.163s;0.169s;0.181s;0.187s;0.195s;0.205s;0.209s;0.218s;0.227s;0.236s,0.017s;0.138s;0.225s;0.308s;0.407s;0.493s;0.58s;0.675s;0.775s;0.886s;1.005s;1.112s;1.231s;1.348s;1.505s;1.573s;1.733s;1.872s;1.978s;2.103s;2.216s;2.37s;2.53s;2.722s;2.884s;3.014s;3.21s;3.36s;3.579s;3.752s;3.92s,269246;6287068;9961753;13648684;17326449;21125785;24824585;28533724;32234521;36058095;40020069;43981940;47943979;51906009;55867963;59829990;63791940;67753979;71716051;75677976;79639982;83601983;87663849;91638770;95613577;99588661;103563809;107538751;111513792;115527311;119568771
-145,0s;0.003s;0.003s;0.004s;0.005s;0.007s;0.008s;0.009s;0.012s;0.011s;0.013s;0.013s;0.015s;0.017s;0.021s;0.022s;0.023s;0.026s;0.028s;0.03s;0.032s;0.036s;0.042s;0.04s;0.043s;0.051s;0.05s;0.054s;0.061s;0.06s;0.064s,0.023s;0.057s;0.072s;0.094s;0.103s;0.131s;0.134s;0.146s;0.169s;0.189s;0.223s;0.236s;0.259s;0.287s;0.309s;0.338s;0.37s;0.403s;0.429s;0.459s;0.499s;0.521s;0.564s;0.608s;0.646s;0.691s;0.717s;0.775s;0.814s;0.877s;0.93s,232910;1238913;1802462;2370782;2940930;3518632;4099279;4686775;5275119;5872210;6474017;7156261;7781569;8419596;9068931;9731740;10410520;11170938;11952714;12756386;13553768;14353457;15183086;16043907;16938241;17869082;18839754;19851666;20909468;22015114;23191478
-147,0s;0.003s;0.005s;0.004s;0.005s;0.006s;0.056s;0.092s;0.12s;0.158s;0.202s;0.245s;0.288s;0.358s;0.434s;0.542s;0.718s;0.961s;1.258s;2.003s;2.689s;4.394s;6.693s;11.463s;18.815s;-1,0.013s;0.05s;0.066s;0.078s;0.095s;0.114s;0.134s;0.153s;0.179s;0.203s;0.227s;0.255s;0.283s;0.32s;0.36s;0.406s;0.447s;0.5s;0.565s;0.641s;0.696s;0.777s;0.867s;0.959s;1.066s;-1,235787;1110106;1628046;2154414;2686829;3233773;3797091;4375094;4978115;5608085;6277899;6993409;7766835;8614190;9545413;10577629;11729405;13020738;14473022;16111613;17961894;20054280;22418511;25089511;28104080;-1
-148,0s;0s;0s;0.001s;0s;0.001s;0s;0.001s;0.001s;0.001s;0.001s;0.002s;0.002s;0.001s;0.002s;0.002s;0.003s;0.002s;0.002s;0.002s;0.002s;0.002s;0.003s;0.002s;0.003s;0.002s;0.003s;0.002s;0.003s;0.003s;0.003s,0.01s;0.021s;0.023s;0.024s;0.029s;0.029s;0.033s;0.04s;0.042s;0.045s;0.052s;0.055s;0.064s;0.064s;0.07s;0.081s;0.084s;0.104s;0.092s;0.102s;0.109s;0.119s;0.117s;0.128s;0.132s;0.14s;0.152s;0.166s;0.17s;0.187s;0.186s,206379;266388;299679;332970;366261;399552;432843;466134;499425;532716;566120;599524;632928;666332;699736;733140;766854;800635;834547;868526;902551;936459;970199;1004002;1037779;1071602;1105523;1139621;1173938;1208171;1242385
-149,0.001s;0.003s;0.004s;0.138s;0.185s;0.305s,0.014s;0.054s;0.072s;0.095s;0.113s;0.133s,251943;1289108;1902409;2521906;3147766;3784343
-150,0s;0.004s;0.006s;0.106s;0.217s;0.331s;0.442s;0.573s;0.693s;1.592s,0.016s;0.078s;0.113s;0.153s;0.188s;0.225s;0.254s;0.3s;0.341s;0.395s,277118;2761223;4189166;5639566;7097087;8554085;10017561;11490951;12981445;14482808
-151,0.002s;0.074s;0.136s;0.198s;0.263s;0.326s;0.391s;0.455s;0.527s;0.584s;0.651s;0.717s;0.784s;0.851s;0.918s;0.99s;1.054s;1.125s;1.188s;1.257s;1.323s;1.396s;1.462s;1.534s;1.616s;1.677s;1.744s;1.817s;1.906s;1.965s;2.033s,0.044s;0.717s;1.289s;1.837s;2.399s;2.994s;3.523s;4.085s;4.699s;5.286s;5.933s;6.619s;7.369s;8.185s;8.994s;9.684s;10.713s;11.294s;12.04s;12.804s;13.823s;14.835s;15.494s;16.427s;17.271s;18.193s;19.178s;20.047s;21.654s;22.292s;23.609s,795108;37748359;61642472;85419187;109757627;134474118;159192409;183912661;208635351;233189549;257595142;281939512;306472751;331788731;356967531;383440549;409096268;434684889;460361087;485947384;511557881;537236509;562875306;588582040;614319783;640179659;665775336;691704106;717284125;743111370;768929994
-152,0s;0.001s;0.002s;0.002s;0.002s;0.003s;0.003s;0.032s;0.19s,0.015s;0.044s;0.054s;0.062s;0.069s;0.075s;0.088s;0.096s;0.107s,216754;602543;815670;1028949;1242418;1456918;1672979;1889108;2105568
-153,0.001s;0.004s;0.006s;0.01s;0.013s;0.015s;0.019s;0.023s;0.027s;0.032s;0.035s;0.04s;0.044s;0.049s;0.054s;0.058s;0.063s;0.065s;0.068s;0.072s;0.077s;0.081s;0.085s;0.091s;0.096s;0.102s;0.106s;0.113s;0.119s;0.122s;0.127s,0.021s;0.092s;0.122s;0.163s;0.194s;0.234s;0.268s;0.305s;0.348s;0.388s;0.445s;0.49s;0.546s;0.601s;0.668s;0.824s;0.781s;0.835s;0.89s;0.962s;1.038s;1.127s;1.178s;1.255s;1.34s;1.41s;1.503s;1.551s;1.629s;1.756s;1.806s,236164;2726178;4144305;5580410;7014479;8532935;10051164;11517359;12983709;14543700;16185823;17686536;19196603;20707373;22224439;23801494;25447022;27037980;28602052;30179894;31767060;33366827;34981062;36611051;38259356;39930924;41687987;43466361;45267480;47092945;48944304
-154,0.001s;0.005s;0.006s;0.009s;0.197s;0.371s;0.526s;0.675s;0.84s;1.041s;1.246s;1.445s;1.685s;1.981s;2.237s;2.558s;2.904s;3.399s;3.855s;4.323s;4.949s;5.293s;5.809s;6.384s;7.017s;7.948s;8.811s;1.533s;1.783s;2.128s;1.994s,0.021s;0.094s;0.136s;0.169s;0.217s;0.253s;0.3s;0.351s;0.414s;0.464s;0.516s;0.597s;0.672s;0.726s;0.8s;0.897s;0.963s;1.068s;1.148s;1.251s;1.407s;1.497s;1.613s;1.738s;1.835s;2.025s;2.19s;2.365s;2.467s;2.781s;2.93s,256564;2648419;4046061;5462926;6906065;8339007;9808076;11265885;12739754;14231045;15870714;17576253;19203809;20862275;22573848;24353819;26204374;28140350;30175689;32324447;34600364;37056544;39718553;42562206;45608112;48878578;52397319;56189746;60282851;64705414;69487952
-155,0.017s;0.042s;0.061s;0.082s;0.102s;0.121s;0.138s;0.16s;0.186s;0.206s;0.223s;0.242s;0.267s;0.29s;0.315s;0.338s;0.368s;0.391s;0.42s;0.452s;0.488s;0.518s;0.553s;0.586s;0.631s;0.686s;0.724s;0.779s;0.84s;0.891s;0.963s,0.256s;0.706s;1.016s;1.311s;1.606s;1.961s;2.236s;2.62s;2.978s;3.375s;3.824s;4.346s;4.851s;5.27s;5.695s;6.295s;6.883s;7.272s;8.063s;8.958s;9.115s;9.899s;10.465s;11.206s;11.849s;12.868s;13.516s;14.01s;15.456s;16.574s;19.126s,4578927;16311913;23639609;30983398;38355794;45813597;53317063;61006146;68842127;76758158;84774541;92904570;101167179;109699061;118315277;127557448;136698775;146306539;156190106;166361207;176899729;187905954;199313562;211156282;223524523;236501000;250011061;264139347;278992508;294599737;310920783
-156,0s;0.013s;0.022s;0.031s;0.039s;0.049s;0.075s,0.013s;0.032s;0.038s;0.044s;0.049s;0.059s;0.064s,219615;484006;640475;798864;960133;1125434;1301441
-157,0.001s;0.003s;0.005s;0.007s;0.009s;0.012s;0.014s;0.016s;0.017s;0.021s;0.024s;0.025s;0.029s;0.03s;0.034s;0.038s;0.041s;0.045s;0.046s;0.05s;0.054s;0.058s;0.06s;0.067s;0.067s;0.069s;0.072s;0.078s;0.081s;0.084s;0.09s,0.017s;0.071s;0.099s;0.13s;0.152s;0.18s;0.2s;0.233s;0.271s;0.301s;0.337s;0.361s;0.407s;0.439s;0.485s;0.514s;0.553s;0.604s;0.651s;0.688s;0.733s;0.785s;0.832s;0.928s;0.945s;0.997s;1.039s;1.101s;1.174s;1.211s;1.271s,269777;1741548;2636689;3541655;4457064;5377579;6299393;7222596;8143441;9068470;10003062;10936009;11873115;12823127;13859001;14902063;15953129;17013159;18083091;19164013;20208033;21255508;22317123;23393490;24486484;25636805;26787667;27990690;29216455;30466485;31742356
-158,0.001s;0.002s;0.003s;0.003s;0.004s;0.065s;0.095s;0.128s;0.164s;0.208s,0.015s;0.054s;0.065s;0.078s;0.095s;0.11s;0.125s;0.139s;0.159s;0.178s,228066;967103;1412483;1862464;2316149;2780082;3244223;3717701;4199340;4684615
-159,0s;0.014s;0.028s;0.044s;0.057s;0.075s;0.088s;0.103s;0.12s;0.137s;0.155s;0.173s;0.189s;0.209s;0.223s;0.249s;0.267s;0.287s;0.306s;0.331s;0.354s;0.377s;0.407s;0.432s;0.463s;0.493s;0.527s;0.576s;0.599s;0.637s;0.682s,0.019s;0.208s;0.346s;0.465s;0.603s;0.734s;0.863s;0.992s;1.185s;1.373s;1.527s;1.733s;1.93s;2.124s;2.36s;2.606s;2.826s;3.071s;3.403s;3.69s;3.97s;4.239s;4.792s;4.881s;5.303s;5.851s;6.103s;6.47s;6.795s;7.349s;7.701s,279524;10160106;16355596;22461086;28623427;34977417;41137806;47346436;53581658;59918085;66567471;73290038;80097837;87003972;94022485;101168350;108592068;116488856;124232688;132149914;140188049;148521414;157166615;166157027;175458111;185153257;195204856;205688394;216597085;227976995;239974767
-160,0.001s;0.011s;0.019s;0.035s,0.012s;0.04s;0.047s;0.058s,215332;634589;879778;1125271
-161,0s;0.005s;0.007s;0.008s;0.027s,0.011s;0.022s;0.024s;0.025s;0.029s,211138;271976;306283;341198;376873
-162,0.001s;0.037s;0.068s;0.096s;1.904s;2.433s;3.031s;3.75s;4.922s;5.803s;8.746s;9.548s;-1,0.026s;0.436s;0.759s;1.095s;1.422s;1.755s;2.13s;2.507s;2.863s;3.232s;3.608s;4.047s;-1,433809;22046561;36479033;50621555;64738997;78857365;93578819;108324333;123097183;137903993;152756312;167671461;-1
-163,0s;0.002s;0.005s;0.006s;0.007s;0.011s;0.013s;0.015s;0.018s;0.024s;0.023s;0.026s;0.03s;0.032s;0.034s;0.039s;0.042s;0.049s;0.051s;0.054s;0.069s;0.064s;0.067s;0.076s;0.078s;0.083s;0.089s;0.095s;0.102s;0.112s;0.118s,0.016s;0.074s;0.097s;0.125s;0.15s;0.192s;0.217s;0.271s;0.298s;0.335s;0.379s;0.42s;0.474s;0.518s;0.576s;0.634s;0.701s;0.769s;0.821s;0.876s;1.008s;1.011s;1.094s;1.181s;1.378s;1.333s;1.429s;1.525s;1.617s;1.727s;1.829s,246104;1891782;2842530;3802416;4775215;5747657;6730656;7716965;8783004;9801921;10831194;11876642;12970206;14163870;15382541;16587146;17779067;19006758;20273778;21583735;22941676;24352310;25823115;27357693;28956590;30673292;32481163;34373564;36356514;38436231;40619193
-164,0s;0.38s;0.772s;2.511s;4.75s;1.819s;2.601s;4.863s;-1,0.026s;0.336s;0.589s;0.826s;1.081s;1.347s;1.609s;1.96s;-1,326162;14627359;24348764;34521437;44216867;53909359;63694102;73787669;-1
-165,0s;0.004s;0.007s;0.01s;0.128s;0.344s;0.349s;0.448s;0.562s;0.661s;0.785s;0.906s;1.011s;1.182s;1.283s;1.429s;1.554s;1.722s;1.857s;2.036s;2.243s;2.408s;2.634s;2.89s;3.145s;1.008s;1.066s;1.206s;1.193s;1.298s;1.344s,0.018s;0.088s;0.119s;0.164s;0.195s;0.231s;0.275s;0.301s;0.33s;0.38s;0.432s;0.497s;0.556s;0.603s;0.701s;0.717s;0.771s;0.835s;0.897s;0.974s;1.035s;1.113s;1.18s;1.268s;1.34s;1.412s;1.507s;1.586s;1.702s;1.819s;1.887s,279740;2438412;3722661;5028046;6341541;7651399;8960544;10282345;11606604;12927103;14276259;15668752;17135109;18609801;20094039;21589019;23096018;24616550;26152033;27703978;29223502;30744571;32285462;33849913;35439830;37065013;38716284;40397968;42151379;43956843;45801160
-166,0s;0.003s;0.005s;0.007s;0.008s;0.011s;0.013s;0.015s;0.015s;0.017s;0.02s;0.023s;0.025s;0.028s;0.03s;0.034s;0.036s;0.04s;0.04s;0.044s;0.045s;0.05s;0.05s;0.054s;0.056s;0.06s;0.06s;0.071s;0.066s;0.068s;0.072s,0.016s;0.064s;0.085s;0.112s;0.139s;0.156s;0.195s;0.211s;0.247s;0.273s;0.308s;0.34s;0.374s;0.418s;0.468s;0.501s;0.543s;0.587s;0.629s;0.679s;0.715s;0.766s;0.805s;0.869s;0.935s;0.978s;1.022s;1.076s;1.164s;1.2s;1.262s,238434;1750389;2639357;3534325;4438730;5344403;6249526;7153521;8057529;8962610;9865806;10772655;11774338;12788684;13803182;14776435;15706444;16634985;17563891;18492450;19421118;20349895;21287733;22217225;23147035;24077509;25027706;26010343;26992572;27974858;28957475
-167,0s;0.003s;0.004s;0.006s;0.008s;0.009s;0.012s;0.014s;0.017s;0.017s;0.019s;0.022s;0.023s;0.025s;0.028s;0.031s;0.034s;0.035s;0.037s;0.039s;0.042s;0.044s;0.045s;0.05s;0.052s;0.054s;0.057s;0.059s;0.061s;0.062s;0.066s,0.018s;0.063s;0.081s;0.099s;0.118s;0.151s;0.172s;0.194s;0.224s;0.25s;0.285s;0.309s;0.345s;0.377s;0.41s;0.437s;0.481s;0.519s;0.557s;0.593s;0.641s;0.682s;0.72s;0.766s;0.807s;0.871s;0.899s;0.954s;0.994s;1.058s;1.098s,234795;1646683;2471152;3301559;4138077;4978590;5816720;6655641;7529402;8371417;9216589;10120077;11022157;11874591;12725995;13577182;14428454;15279811;16136515;16988426;17840587;18696092;19609336;20523030;21436809;22338668;23200767;24063894;24944262;25806795;26669416
-168,0.001s;0.048s;0.088s;2.328s;3.218s;4.139s;4.821s;5.934s;7.013s;8.025s;10.044s;16.688s,0.04s;0.573s;1.027s;1.502s;1.964s;2.445s;2.892s;3.377s;3.862s;4.407s;4.928s;5.484s,778832;23546351;40243848;56982469;73693060;90350227;108048182;124796656;141544111;158295986;175056852;191901036
-169,0.001s;0.008s;0.018s;0.023s;0.03s;0.037s;3.128s;4.074s;5.2s;6.411s;8.618s,0.017s;0.131s;0.221s;0.284s;0.351s;0.435s;0.501s;0.569s;0.656s;0.757s;0.832s,363853;6618936;10436499;14118558;17969322;21766795;25513093;29271702;33165385;37112339;41083503
-170,0.001s;0.032s;0.056s;0.088s,0.02s;0.071s;0.096s;0.111s,338923;1416197;2043501;2679467
-171,0.001s;0.004s;0.005s;0.008s;0.108s;0.195s;0.276s;0.358s;0.452s;0.615s,0.016s;0.068s;0.096s;0.128s;0.16s;0.19s;0.216s;0.258s;0.286s;0.329s,373240;2299220;3470549;4642815;5820241;7013068;8285784;9563020;10846078;12136093
-172,0.004s;1.556s;3.116s;1.991s;3.424s;20.946s,0.058s;0.84s;1.491s;2.202s;2.892s;3.512s,983666;44808077;73376558;101752127;130123129;158507295
-173,0.001s;0.014s;0.029s;0.044s;0.058s;0.075s;0.091s;0.106s;0.12s;0.135s;0.153s;0.169s;0.186s;0.2s;0.212s;0.228s;0.246s;0.269s;0.278s;0.293s;0.315s;0.324s;0.342s;0.361s;0.373s;0.396s;0.407s;0.422s;0.449s;0.474s;0.476s,0.026s;0.209s;0.358s;0.471s;0.623s;0.748s;0.885s;1.051s;1.215s;1.406s;1.573s;1.773s;2.007s;2.166s;2.353s;2.6s;2.806s;3.003s;3.249s;3.505s;3.851s;3.952s;4.218s;4.463s;4.75s;4.993s;5.238s;5.563s;5.836s;6.106s;6.402s,502599;7127645;11766258;16604231;21453641;26300689;31148105;35995683;40843335;45690749;50540265;55368995;60160994;64953685;69743816;74534083;79324493;84115343;88960805;93914343;98811940;103678564;108530403;113394658;118259967;123125808;128155838;133193907;138220060;143275131;148331008
-174,0s;0.253s;0.438s;0.742s;1.195s;1.696s;2.261s;3.001s;3.64s;4.502s;8.953s,0.017s;0.137s;0.215s;0.277s;0.359s;0.426s;0.501s;0.598s;0.691s;0.812s;0.91s,294195;6748109;10438069;14135201;18295680;22144218;26026841;29969622;33989993;38301968;42711432
-175,0.003s;0.19s;0.395s;0.59s;0.798s;1.008s;1.233s;1.457s;1.668s;1.884s;2.114s;2.336s;-1,0.067s;1.989s;3.85s;5.736s;10.275s;11.892s;14.189s;13.785s;16s;18.295s;20.611s;23.129s;-1,1029809;67251164;120914409;174595980;228298671;282040537;336340178;392010391;448420936;504911156;561681108;619222159;-1
-176,0.001s;0.031s;0.061s;0.096s;0.121s;0.152s;0.182s;0.211s;0.243s;0.273s;0.304s;0.336s;0.372s;0.4s;0.433s;0.466s;0.492s;0.536s;0.567s;0.607s;0.636s;0.668s;0.699s;0.737s;0.774s;0.817s;0.843s;0.867s;0.906s;0.945s;0.98s,0.024s;0.324s;0.506s;0.707s;0.913s;1.103s;1.298s;1.512s;1.71s;1.971s;2.22s;2.451s;2.731s;3.069s;3.35s;3.609s;3.9s;4.273s;4.51s;4.87s;5.201s;5.593s;5.989s;6.414s;6.708s;6.977s;7.885s;7.729s;8.266s;8.516s;9.004s,361057;16453975;26851723;36756579;46620591;56527506;66776300;77081568;87386875;97646165;107686714;117723251;127757204;137839005;147945493;158000569;168062827;178173420;188681879;199305016;209923716;220514804;231139845;241725489;252361109;262981904;273614513;284239174;294854021;305490068;316076553
-178,0.318s;-1,3.495s;-1,59094693;-1
-179,0.002s;0.031s;0.057s;0.08s;4.693s;1.468s;2.158s;2.691s;3.063s;7.238s,0.033s;0.364s;0.608s;0.87s;1.161s;1.394s;1.661s;1.953s;2.271s;2.533s,676654;15003952;25217066;35246460;45201626;55258864;65490369;75827885;86172260;96524782
-180,0s;0s;0.001s;0.013s,0.01s;0.022s;0.023s;0.024s,230126;269724;291416;313260
-181,0s;0s;0.001s;0s;0.001s;0.001s;0.001s;0.001s;0.001s;0.001s;0.001s;0.002s;0s;0s;0.002s;0.001s;0.001s;0.002s;0.001s;0.001s;0.002s;0.002s;0.002s;0.001s;0.003s;0.002s;0.002s;0.002s;0.002s;0.002s;0.002s,0.012s;0.021s;0.021s;0.021s;0.023s;0.024s;0.028s;0.03s;0.03s;0.039s;0.035s;0.043s;0.042s;0.047s;0.048s;0.05s;0.053s;0.058s;0.061s;0.065s;0.068s;0.071s;0.077s;0.08s;0.086s;0.091s;0.094s;0.098s;0.104s;0.109s;0.117s,231853;259906;275604;291302;307000;322698;338396;354094;369792;385490;401260;417030;432800;448570;464340;480110;495880;511650;527420;543190;558960;574730;590518;606614;622693;638796;654899;671062;687192;703230;719206
-182,0.001s;0.027s;0.052s;0.077s;0.101s;0.127s;0.151s;0.179s;0.204s;0.233s;0.258s;0.285s;0.31s;0.335s;0.366s;0.391s;0.42s;0.45s;0.466s;0.496s;0.528s;0.557s;0.581s;0.613s;0.648s;0.679s;0.707s;0.74s;0.787s;0.809s;0.845s,0.024s;0.317s;0.529s;0.744s;0.96s;1.186s;1.423s;1.648s;1.904s;2.183s;2.48s;2.746s;3.071s;3.423s;3.736s;4.081s;4.428s;4.825s;5.272s;5.631s;5.898s;6.336s;6.836s;7.209s;7.657s;8.048s;8.665s;9.259s;9.591s;10.103s;10.88s,403362;15270869;24904770;34464404;44405471;54327572;64030855;73629327;83241447;92865259;102547489;112252538;122137819;132251771;142269094;152398460;162511344;172671583;183126015;193636227;204188783;214861463;225564766;236402711;247198262;258104708;269076509;280198277;291412627;302788739;314274802
-183,0.001s;0.001s;0.025s;0.031s;0.041s;0.067s,0.012s;0.034s;0.041s;0.047s;0.054s;0.063s,250273;642683;852753;1065185;1281143;1504065
-184,0.021s;0.039s;0.048s;0.06s;0.069s;0.08s;0.087s;0.099s;0.109s;0.118s;0.13s;0.141s;0.149s;0.159s;0.17s;0.179s;0.191s;0.205s;0.208s;0.221s;0.231s;0.24s;0.251s;0.263s;0.274s;0.284s;0.294s;0.303s;0.315s;0.322s;0.335s,0.283s;0.6s;0.811s;1.003s;1.235s;1.492s;1.744s;2.007s;2.362s;2.619s;2.925s;3.289s;3.621s;3.992s;4.334s;4.789s;5.063s;5.443s;5.86s;6.272s;6.692s;7.209s;7.78s;8.163s;8.645s;9.236s;9.592s;10.009s;10.689s;11.156s;13.276s,5128038;15409277;21036627;26636300;32237808;37839316;43440840;49042372;54643904;60245436;65850807;71456178;77061549;82666920;88312467;93928795;99565277;105232536;110851579;116464235;122086642;127723338;133364093;139038683;144685471;150331317;156003143;161652599;167298541;172960486;178619727
-185,0.002s;0.094s;0.167s;0.249s;0.323s;0.399s;0.487s;0.562s;0.643s;0.729s;0.803s;0.89s;0.976s;1.065s;1.142s;1.233s;1.324s;1.407s;1.5s;1.587s;1.683s;1.785s;1.883s;1.965s;2.069s;2.176s;2.257s;2.371s;-1,0.029s;0.839s;1.507s;2.202s;2.837s;3.538s;4.218s;4.87s;5.674s;6.474s;7.284s;8.086s;8.956s;9.888s;10.799s;11.856s;12.737s;13.811s;14.637s;15.669s;16.978s;18.313s;19.489s;20.222s;21.391s;22.541s;24.386s;25.461s;-1,556705;52312073;84414734;117596213;150814504;184039586;217273372;250551049;284068811;317653649;351337570;385248510;418949032;452954480;487123837;523259598;557853173;592246282;626819602;661656290;696612522;731351269;766151357;801290596;836393170;871549823;906819730;942131682;-1
-186,0.003s;0.121s;0.223s;0.33s;0.433s;0.541s;0.653s;0.765s;0.873s;0.987s;1.093s;1.211s;1.328s;1.439s;1.553s;1.678s;1.799s;1.938s;2.049s;2.177s;2.298s;2.427s;-1,0.039s;1.124s;2.027s;3.204s;4.206s;5.169s;6.211s;7.152s;8.089s;9.209s;9.544s;10.684s;11.828s;13.092s;14.392s;15.696s;16.998s;18.886s;20.128s;21.159s;22.488s;23.831s;-1,604741;70442722;114930505;158758694;202454927;246359356;290400781;334749854;380182791;425600230;471482595;517118516;563344926;609561487;655413185;701234026;747380734;793887141;840340491;886925063;933473000;980414476;-1
-187,0s;0.006s;0.01s;0.014s;0.018s;0.023s;0.028s;0.034s;0.041s;0.046s;0.051s;0.056s;0.063s;0.07s;0.076s;0.081s;0.086s;0.094s;0.101s;0.109s;0.115s;0.124s;0.134s;0.138s;0.149s;0.162s;0.164s;0.175s;0.183s;0.194s;0.205s,0.015s;0.094s;0.146s;0.195s;0.265s;0.316s;0.371s;0.419s;0.482s;0.535s;0.602s;0.665s;0.75s;0.836s;0.908s;1.016s;1.087s;1.162s;1.242s;1.353s;1.455s;1.574s;1.799s;1.778s;1.933s;2.013s;2.137s;2.243s;2.388s;2.551s;2.672s,284821;3214385;5090640;6982702;8868404;10757887;12660982;14565698;16479356;18408558;20489973;22594648;24718296;26863841;29034397;31233329;33464150;35730589;38036605;40328946;42650170;45023155;47511765;50007286;52570713;55208312;57941778;60800814;63750509;66796914;69946550
-188,0s;0.052s;0.084s;0.189s;0.258s;0.336s;0.415s;0.537s;0.656s;0.809s;0.82s;1.093s;1.214s;1.465s;1.672s;1.762s;2.127s;2.429s;2.727s;3.09s;3.468s;3.833s;4.206s;4.778s;5.3s;5.862s;6.6s;7.293s;8.019s;8.989s;9.802s,0.015s;0.059s;0.079s;0.101s;0.123s;0.141s;0.168s;0.185s;0.219s;0.258s;0.277s;0.309s;0.366s;0.383s;0.419s;0.47s;0.503s;0.556s;0.609s;0.655s;0.699s;0.766s;0.819s;0.869s;0.935s;1.015s;1.076s;1.17s;1.254s;1.335s;1.382s,265220;1449776;2143675;2842838;3552605;4272609;4996971;5730621;6472119;7225928;7996543;8803625;9615897;10451972;11317476;12267227;13268338;14309638;15395482;16530666;17720054;18968819;20282264;21666114;23126181;24668488;26299399;27996369;29786255;31685345;33700649
-189,0.001s;0.406s;0.778s;1.223s;1.794s;25.776s,0.02s;0.125s;0.2s;0.283s;0.339s;0.41s,338792;4908127;7750368;10601610;13457293;16589338
-190,0s;1.384s;3.528s;7.932s,0.024s;0.48s;0.876s;1.269s,452259;22808299;38958494;54505277
-191,0s;0.007s;0.01s;0.011s;0.044s,0.011s;0.02s;0.024s;0.028s;0.03s,232886;326070;378372;432042;487422
-192,0s;0.007s;0.015s;0.022s;0.03s;0.04s;0.048s;0.056s;0.065s;0.074s;0.083s;0.089s;0.101s;0.109s;0.117s;0.128s;0.135s;0.143s;0.153s;0.163s;0.17s;0.181s;0.19s;0.198s;0.206s;0.215s;0.225s;0.235s;0.248s;0.259s;0.261s,0.017s;0.124s;0.183s;0.246s;0.305s;0.37s;0.448s;0.53s;0.576s;0.662s;0.739s;0.827s;0.922s;1.019s;1.118s;1.217s;1.315s;1.429s;1.571s;1.622s;1.75s;1.863s;1.994s;2.129s;2.33s;2.391s;2.569s;2.684s;2.767s;2.91s;3.067s,275265;5238191;8188819;11136846;14297257;17625300;20756864;23818934;26881237;30082544;33165860;36241624;39317088;42392076;45467465;48542998;51617745;54692339;57766942;60908185;64093472;67278773;70464042;73649336;76837525;80000294;83110712;86221283;89329674;92439800;95549555
-193,0s;0.001s;0.002s;0.018s,0.017s;0.047s;0.058s;0.068s,245498;763742;1051693;1340040
-194,0s;0.002s;0.003s;0.005s;0.005s;0.06s;0.125s;0.356s,0.016s;0.062s;0.08s;0.096s;0.117s;0.135s;0.157s;0.176s,250088;1406914;2067392;2732117;3406774;4082324;4760828;5439245
