index,t_solve_list,t_ground_list,ground_file_bytes_list
275,0.01s;0.488s;1.016s;1.512s;-1,3.718s;13.692s;21.257s;26.945s;-1,13216892;354299488;547755202;741215504;-1
276,0.01s;0.544s;1.082s;-1,4.21s;16.639s;25.41s;-1,13987234;374585755;579027604;-1
277,0.011s;0.441s;0.814s;-1,5.046s;17.604s;23.669s;-1,14294537;366765327;557840577;-1
278,0.012s;0.832s;1.573s;-1,5.051s;21.244s;26.098s;-1,15052159;487261100;762175013;-1
279,0.01s;0.369s;0.619s;3.653s;-1,3.833s;13.67s;19.808s;25.368s;-1,13242874;333705385;500825845;667957589;-1
280,0.01s;2.205s;-1,4.321s;22.146s;-1,14203063;780687303;-1
281,0.012s;0.405s;0.74s;1.172s;-1,4.319s;14.405s;21.569s;26.532s;-1,13119775;338422595;514749613;691078261;-1
282,0.012s;0.446s;0.823s;-1,4.596s;17.833s;24.631s;-1,14471911;377478654;574031211;-1
283,0.01s;0.882s;1.644s;-1,3.854s;15.703s;23.179s;-1,13618509;423902723;678200000;-1
285,0.011s;0.525s;1.052s;-1,4.061s;15.628s;21.953s;-1,13890682;375015650;579556211;-1
286,0.011s;0.459s;0.825s;-1,4.281s;15.805s;24.174s;-1,14316305;368065791;559846455;-1
287,0.011s;0.418s;0.68s;-1,4.426s;16.021s;22.592s;-1,14519343;361977723;543223564;-1
288,0.011s;0.746s;1.387s;-1,4.269s;18.248s;25.896s;-1,14422849;415806160;653740197;-1
289,0.012s;0.766s;-1,4.826s;19.8s;-1,15016739;428414556;-1
290,0.01s;0.544s;1.098s;-1,4.378s;17.353s;22.705s;-1,14114863;379100390;586013749;-1
291,0.011s;1.696s;-1,4.686s;21.103s;-1,15027587;573949603;-1
292,0.012s;0.85s;1.539s;-1,3.531s;14.985s;22.422s;-1,12880230;395894255;634046018;-1
293,0.011s;0.805s;1.532s;-1,4.216s;17.032s;24.68s;-1,14176057;466382537;729543349;-1
294,0.01s;0.543s;1.113s;-1,4.13s;17.412s;23.617s;-1,14012553;375209625;580044691;-1
295,0.01s;0.516s;1.007s;-1,3.868s;15.433s;20.604s;-1,13194529;316416614;551579816;-1
296,0.011s;1.084s;-1,4.208s;19.291s;-1,13813922;443290061;-1
297,0.011s;1.255s;2.421s;-1,3.856s;17.986s;26.435s;-1,12559829;460327919;761553653;-1
298,0.011s;0.674s;1.325s;-1,3.855s;16.394s;22.92s;-1,13516803;383407389;603289352;-1
299,0.01s;0.375s;0.614s;0.878s;-1,4.353s;12.798s;17.05s;24.322s;-1,13387022;331724499;497839408;663955117;-1
300,0.01s;0.91s;1.69s;-1,3.728s;16.453s;24.793s;-1,12643810;451430188;748789670;-1
301,0.011s;0.892s;1.628s;-1,4.5s;16.799s;24.934s;-1,14395881;432890221;693947663;-1
302,0.011s;0.356s;2.644s;4.795s,3.801s;11.279s;16.457s;22.089s,13066242;323434770;485392418;647350626
303,0.01s;0.527s;1.065s;-1,3.768s;16.094s;22.851s;-1,13099377;359264558;555054551;-1
304,0.011s;0.406s;0.685s;0.945s;-1,4.399s;14.139s;21.648s;28.213s;-1,14392997;358318991;537768273;717219875;-1
305,0.01s;0.388s;0.643s;3.779s;-1,3.966s;12.647s;18.484s;24.481s;-1,13810033;344288919;516718950;689149541;-1
306,0.01s;0.532s;1.151s;-1,3.858s;15.607s;20.579s;-1,13589705;367802040;568563963;-1
307,0.011s;0.407s;0.685s;-1,4.783s;14.867s;19.867s;-1,14393790;356724729;535336228;-1
308,0.01s;0.935s;-1,4.322s;18.777s;-1,13617645;479986016;-1
309,0.011s;0.531s;1.069s;1.477s;-1,4.299s;16.626s;22.438s;27.301s;-1,13438692;361569122;558926534;756285072;-1
310,0.01s;0.381s;0.628s;0.886s;-1,3.877s;13.444s;19.266s;24.459s;-1,13686578;345470030;518477826;691488299;-1
311,0.011s;1.269s;2.499s;-1,3.929s;17.056s;26.418s;-1,13714199;472729206;786545619;-1
312,0.01s;1.18s;-1,3.328s;17.771s;-1,12320024;524533784;-1
313,0.013s;0.374s;0.636s;0.895s;-1,4.383s;14.993s;18.634s;24.418s;-1,13714581;342608335;514183301;685779847;-1
314,0.012s;0.376s;0.631s;0.887s;-1,3.852s;11.979s;17.294s;23.146s;-1,13686756;342616999;514215360;685816513;-1
315,0.011s;3.324s;-1,4.17s;25.469s;-1,14258273;819127838;-1
316,0.011s;0.45s;0.816s;-1,4.104s;14.881s;22.49s;-1,14088506;360696377;548634857;-1
317,0.01s;1.09s;2.105s;-1,3.796s;16.631s;25.953s;-1,13481247;462724854;751947297;-1
318,0.01s;0.89s;1.632s;-1,3.875s;15.192s;22.34s;-1,13599444;421482097;674414835;-1
319,0.011s;0.583s;1.195s;-1,4.486s;17.165s;24.104s;-1,14936524;399432013;617451401;-1
320,0.01s;0.35s;0.591s;0.84s;-1,3.639s;11.276s;16.428s;21.931s;-1,12924927;325678022;488810635;651946048;-1
321,0.011s;0.511s;0.814s;-1,4.196s;15.584s;21.7s;-1,14188757;362422338;551274163;-1
322,0.011s;2.166s;-1,4.145s;20.381s;-1,14102227;621218704;-1
323,0.01s;0.705s;1.345s;-1,3.955s;15.466s;22.168s;-1,13913669;395854720;622809750;-1
324,0.01s;0.402s;0.677s;0.974s;-1,5.117s;14.325s;20.117s;27.558s;-1,15013315;372303885;558707871;745113657;-1
325,0.011s;0.405s;0.666s;0.94s;-1,3.995s;13.087s;18.903s;25.751s;-1,13943219;358929565;538680642;718440679;-1
326,0.01s;0.386s;0.641s;0.906s;-1,4.075s;12.34s;19.793s;24.008s;-1,13885315;343602092;515653252;687704412;-1
327,0.011s;0.385s;0.64s;-1,4.009s;12.4s;17.658s;-1,13785702;342446871;513922107;-1
328,0.011s;0.371s;0.617s;3.7s;-1,3.869s;11.688s;17.091s;23.27s;-1,13388933;334182415;501526213;668872721;-1
329,0.011s;1.255s;2.471s;-1,3.759s;16.762s;24.731s;-1,13102785;465807083;772846180;-1
330,0.011s;0.562s;1.143s;-1,4.46s;16.654s;23.429s;-1,14731844;400026954;618105439;-1
331,0.012s;0.41s;0.679s;0.955s;-1,4.43s;13.726s;19.574s;25.8s;-1,14626296;365766847;548904356;732041865;-1
332,0.011s;0.463s;0.856s;-1,4.578s;15.846s;22.743s;-1,14808760;381971287;580905448;-1
333,0.01s;0.361s;0.593s;3.615s,3.745s;11.543s;16.418s;21.808s,13190472;327569539;491633958;655698937
334,0.011s;0.725s;1.398s;-1,4.148s;16.646s;22.901s;-1,14225681;423162196;664434083;-1
335,0.011s;1.15s;-1,4.605s;18.425s;-1,14919951;488160693;-1
336,0.011s;0.453s;0.836s;-1,4.255s;15.222s;21.681s;-1,14392233;367434619;558894033;-1
337,0.011s;1.848s;-1,3.852s;19.013s;-1,13400322;565578536;-1
338,0.011s;1.593s;-1,4.188s;18.654s;-1,14296492;530260904;-1
339,0.011s;0.559s;1.139s;-1,4.332s;15.946s;22.755s;-1,14522611;391345776;604846889;-1
340,0.01s;0.871s;1.59s;-1,3.86s;15.361s;22.927s;-1,13496069;413541069;662223325;-1
341,0.01s;0.868s;1.573s;-1,3.937s;15.195s;22.066s;-1,13491003;408556102;654753995;-1
342,0.01s;0.663s;1.323s;-1,3.717s;15.473s;22.755s;-1,13443204;397379393;624310980;-1
343,0.01s;0.424s;0.752s;1.16s;-1,3.764s;13.18s;18.636s;24.843s;-1,13095655;336940280;512503729;688068022;-1
344,0.011s;0.959s;1.75s;-1,4.635s;17.374s;25.705s;-1,15016444;452040876;724518033;-1
345,0.011s;0.491s;0.847s;-1,4.285s;15.155s;21.133s;-1,14396600;368762555;560887640;-1
346,0.011s;0.388s;0.653s;0.917s;-1,4.078s;12.826s;18.24s;23.937s;-1,13909016;346357344;519792514;693227684;-1
347,0.01s;1.358s;-1,4.24s;18.575s;-1,14374494;504452457;-1
348,0.01s;0.439s;0.784s;1.201s;-1,3.781s;14.027s;19.276s;26s;-1,13317573;349356930;531320357;713284418;-1
349,0.01s;0.415s;0.779s;1.162s;-1,3.897s;13.769s;19.66s;26.788s;-1,13584816;347358102;528376689;709395836;-1
350,0.011s;0.397s;0.759s;0.931s;-1,4.17s;13.015s;19.579s;24.66s;-1,14290388;353515625;530523963;707532301;-1
351,0.01s;0.548s;1.117s;-1,4.118s;15.963s;22.734s;-1,14196901;391157630;604257214;-1
352,0.01s;0.462s;0.844s;-1,4.437s;15.45s;21.703s;-1,14597708;371971535;565802681;-1
353,0.01s;-1,4.085s;-1,13984851;-1
354,0.01s;1.604s;-1,4.027s;18.245s;-1,13728996;566341420;-1
355,0.01s;0.383s;0.639s;-1,4.024s;12.232s;18.727s;-1,13785809;343439220;515411216;-1
356,0.011s;0.941s;1.731s;-1,4.387s;17.572s;25.418s;-1,14706797;447167849;716264566;-1
358,0.01s;1.764s;-1,3.847s;18.707s;-1,13496882;554372598;-1
359,0.011s;0.952s;1.718s;-1,4.379s;17.223s;24.937s;-1,14524735;441134654;706764173;-1
360,0.011s;1.123s;2.19s;-1,4.372s;17.974s;26.595s;-1,14607236;471481188;769769095;-1
361,0.01s;0.434s;0.804s;1.23s;-1,3.998s;14.184s;19.851s;27.074s;-1,13789175;357251509;543317804;729387922;-1
362,0.01s;0.391s;0.653s;0.937s;-1,4.117s;13.085s;18.545s;24.682s;-1,14164005;356829406;535511220;714195151;-1
363,0.011s;0.916s;1.639s;-1,3.891s;15.365s;22.877s;-1,13561657;404019087;648095068;-1
364,0.01s;0.43s;0.779s;1.202s;-1,3.807s;14.463s;18.891s;25.479s;-1,13291770;343498445;522525449;701553076;-1
365,0.011s;0.421s;0.683s;-1,4.382s;13.667s;19.456s;-1,14600032;364939283;547662733;-1
366,0.011s;0.401s;0.664s;0.945s;-1,4.376s;13.623s;20.532s;25.707s;-1,14598873;364498487;547037428;729577489;-1
367,0.011s;0.457s;0.828s;-1,4.503s;15.869s;22.153s;-1,14778017;375171532;570652426;-1
368,0.011s;0.556s;1.152s;-1,4.473s;15.916s;22.778s;-1,14468816;384758250;594813284;-1
369,0.011s;0.513s;1.07s;-1,4.243s;15.295s;21.768s;-1,14165933;376421019;581939381;-1
370,0.01s;0.521s;1.071s;-1,3.971s;14.541s;20.739s;-1,13688204;367385391;567898232;-1
371,0.01s;0.549s;1.109s;-1,4.12s;15.127s;21.48s;-1,13991639;377653363;583633934;-1
372,0.011s;0.55s;1.109s;-1,4.268s;16.061s;22.833s;-1,14397480;391989602;605636018;-1
373,0.011s;1.532s;-1,4.017s;18.084s;-1,13795086;512047376;-1
374,0.01s;1.06s;2.032s;-1,3.802s;15.919s;23.378s;-1,13277098;449861386;731856694;-1
375,0.01s;0.428s;0.785s;1.212s;-1,3.967s;13.958s;19.761s;27.276s;-1,13687419;352299684;535840400;719385202;-1
376,0.01s;0.511s;1.026s;-1,3.875s;14.495s;20.521s;-1,13516764;366255371;565993744;-1
377,0.011s;0.45s;0.821s;-1,4.687s;14.693s;20.83s;-1,13840974;367243366;558389666;-1
378,0.01s;1.113s;2.176s;-1,3.679s;16.85s;25.872s;-1,13206553;485599650;802973551;-1
379,0.01s;0.36s;0.593s;0.836s;1.125s;-1,3.653s;11.848s;16.234s;21.447s;27.548s;-1,12995289;322362802;483795492;645228182;806660872;-1
380,0.01s;0.448s;0.813s;-1,4.391s;15.217s;21.633s;-1,14498656;372777822;566963458;-1
382,0.009s;0.468s;1.116s;-1,3.839s;14.851s;20.496s;-1,13247437;366219167;565759415;-1
383,0.011s;0.917s;1.685s;-1,4.239s;21.283s;26.094s;-1,13915196;423083818;677786607;-1
384,0.012s;0.395s;0.685s;0.929s;-1,4.653s;15.024s;21.108s;28.117s;-1,13811150;344972899;517726186;690494593;-1
385,0.01s;0.875s;1.592s;-1,4.079s;16.827s;25.534s;-1,13242527;399159159;639958832;-1
386,0.011s;1.377s;-1,4.845s;20.544s;-1,14713801;520384834;-1
387,0.011s;0.75s;-1,5.507s;21.768s;-1,14602855;417945286;-1
388,0.011s;0.859s;1.577s;-1,4.255s;17.343s;25.203s;-1,13266360;395296728;634129034;-1
389,0.012s;1.193s;2.252s;-1,4.604s;15.48s;23.623s;-1,13589863;338261320;507645382;-1
390,0.011s;1.131s;-1,4.554s;24.233s;-1,13816427;448654417;-1
391,0.011s;1.943s;-1,4.517s;22.344s;-1,13897201;580802359;-1
392,0.011s;0.41s;0.687s;0.93s;-1,4.849s;19.983s;22.115s;24.896s;-1,14291326;353782611;530926130;708070449;-1
393,0.01s;0.52s;1.113s;-1,3.941s;15.021s;21.382s;-1,13888814;371763824;574687320;-1
394,0.011s;0.619s;1.293s;-1,5.291s;18.929s;24.766s;-1,15118888;437468556;674687794;-1
395,0.012s;0.409s;0.672s;0.962s;-1,4.689s;14.405s;22.143s;25.782s;-1,14831816;371560331;557636417;743715174;-1
396,0.011s;0.93s;1.79s;-1,4.254s;17.302s;26.617s;-1,14399360;437248660;700468313;-1
397,0.012s;0.957s;1.706s;-1,4.534s;17.063s;25.437s;-1,14810909;452825765;725172924;-1
398,0.011s;0.535s;1.103s;-1,3.976s;15.926s;23.169s;-1,14051247;378746293;585435061;-1
399,0.01s;0.357s;0.591s;-1,3.614s;11.505s;17.219s;-1,12842603;325446286;488435877;-1
400,0.011s;0.619s;1.391s;-1,4.045s;15.514s;24.806s;-1,14006163;398461076;626852760;-1
401,0.011s;0.39s;0.668s;0.907s;-1,4.095s;14.704s;19.302s;23.931s;-1,14003958;349534092;524565272;699601977;-1
402,0.01s;0.421s;0.75s;1.177s;-1,3.786s;13.893s;19.744s;26.918s;-1,13108771;337679637;513639385;689599761;-1
403,0.009s;0.396s;0.663s;-1,4.052s;13.611s;18.314s;-1,14041257;349633763;524719615;-1
404,0.011s;1.847s;-1,4.146s;22.547s;-1,13299669;563439434;-1
405,0.011s;0.398s;0.676s;0.942s;-1,4.38s;13.061s;21.777s;25.981s;-1,14442992;357826103;537010050;716193997;-1
406,0.01s;0.434s;0.778s;1.203s;-1,4.493s;13.48s;19.245s;26.146s;-1,13570657;349804596;532086920;714375074;-1
407,0.011s;0.464s;0.843s;-1,4.165s;14.728s;22.506s;-1,14255570;381000851;579219034;-1
408,0.01s;0.353s;0.595s;0.846s;-1,3.77s;12.541s;18.184s;23.539s;-1,13141307;328418220;492898342;657379024;-1
409,0.01s;0.37s;0.623s;0.861s;-1,3.745s;11.579s;17.925s;23.096s;-1,13361415;334358180;501812568;669267156;-1
410,0.01s;0.379s;0.684s;-1,3.985s;12.042s;22.449s;-1,13836223;343553584;515601535;-1
411,0.01s;0.371s;0.591s;0.847s;1.157s;-1,3.727s;13.051s;17.954s;25.962s;27.089s;-1,12952109;326651532;490246685;653842012;817437513;-1
412,0.011s;0.388s;0.687s;0.926s;-1,4.606s;16.018s;20.032s;27.452s;-1,13935706;345728302;518860872;691993442;-1
413,0.011s;0.81s;1.433s;-1,4.72s;20.409s;25.565s;-1,14865024;425003076;668454143;-1
414,0.012s;0.962s;1.741s;-1,4.387s;19.222s;24.416s;-1,14354923;447535651;716003305;-1
415,0.011s;0.708s;1.328s;-1,4.058s;16.87s;24.582s;-1,13565458;386320372;607857796;-1
416,0.01s;0.355s;0.58s;0.843s;-1,3.559s;11.093s;16.113s;24.634s;-1,12974942;327458322;491491868;655528362;-1
417,0.01s;0.52s;1.031s;-1,3.816s;16.417s;20.06s;-1,13100109;362296596;559740224;-1
418,0.01s;1.988s;-1,4.228s;20.125s;-1,14462506;618681016;-1
419,0.011s;0.381s;0.614s;0.858s;-1,4.228s;13.683s;17.157s;21.93s;-1,13337370;331417280;497397172;663378864;-1
420,0.011s;0.404s;0.663s;0.943s;-1,4.261s;13.61s;19.157s;25.417s;-1,14649199;363547697;545606866;727666035;-1
421,0.01s;0.435s;0.783s;1.198s;-1,4.065s;13.548s;19.048s;25.591s;-1,13637238;349983016;532383294;714784132;-1
422,0.011s;0.532s;1.06s;-1,4.353s;15.214s;22.804s;-1,13345912;371813888;574350848;-1
423,0.011s;0.563s;1.086s;-1,4.502s;17.147s;25.001s;-1,13841009;375956559;580985942;-1
424,0.011s;0.373s;0.589s;0.934s;-1,4.144s;12.351s;17.923s;22.343s;-1,13045615;327590132;491683495;655777892;-1
425,0.01s;1.101s;-1,4.133s;17.968s;-1,13947960;450835376;-1
426,0.011s;0.436s;0.788s;-1,3.963s;14.541s;20.012s;-1,13538920;349273607;531268786;-1
427,0.011s;1.273s;-1,4.506s;20.371s;-1,14178547;555680806;-1
428,0.01s;1.459s;2.919s;-1,3.595s;16.368s;25.228s;-1,12965444;517682710;869988511;-1
429,0.011s;0.456s;0.823s;-1,4.094s;18.937s;24.534s;-1,14141007;365147979;555382339;-1
430,0.011s;0.781s;-1,4.563s;20.693s;-1,14551010;412166652;-1
431,0.011s;0.401s;0.667s;-1,5.088s;17.558s;24.074s;-1,14650889;363051312;544848133;-1
432,0.011s;0.551s;1.162s;-1,4.769s;18.154s;27.871s;-1,14344237;383939736;593550804;-1
433,0.011s;1.507s;-1,4.711s;25.589s;-1,13153263;490805657;-1
434,0.011s;0.478s;0.817s;-1,4.374s;17.009s;26.529s;-1,13737936;353943965;538374293;-1
435,0.011s;0.517s;1.039s;-1,3.948s;15.206s;23.781s;-1,13022635;357590690;552599477;-1
436,0.01s;0.37s;0.623s;-1,4.264s;13.716s;20.712s;-1,13340000;333607076;500681578;-1
437,0.011s;0.499s;-1,4.759s;25.401s;-1,14424141;382706606;-1
438,0.012s;0.389s;0.65s;-1,4.546s;16.078s;21.959s;-1,13659421;341013962;511796190;-1
439,0.011s;0.454s;0.812s;-1,4.611s;17.98s;23.246s;-1,13561040;349853364;532193144;-1
440,0.011s;0.478s;-1,5.013s;20.492s;-1,14855971;380589311;-1
441,0.011s;0.43s;0.776s;-1,4.402s;15.431s;21.063s;-1,13221076;351552225;534625997;-1
442,0.011s;1.273s;-1,3.99s;17.611s;-1,13444758;470079586;-1
443,0.012s;0.424s;0.685s;-1,4.667s;14.699s;21.818s;-1,14777767;367551110;551602612;-1
444,0.011s;0.4s;0.674s;0.9s;-1,4.369s;14.995s;20.931s;27.88s;-1,13849839;343336777;515267233;642606188;-1
445,0.011s;-1,4.396s;-1,14326903;-1
446,0.012s;0.389s;0.651s;0.929s;-1,4.298s;13.55s;19.608s;28.278s;-1,14215487;358439914;537946185;717453576;-1
447,0.011s;0.899s;1.617s;-1,4.329s;16.344s;23.99s;-1,13739984;416311706;667272196;-1
448,0.01s;0.834s;1.534s;-1,3.802s;20.974s;22.184s;-1,13048645;397411592;636970372;-1
449,0.012s;0.461s;0.655s;0.913s;-1,7.468s;25.914s;19.675s;26.053s;-1,14095899;349438632;524405973;699373398;-1
450,0.011s;0.493s;0.985s;1.421s;-1,3.765s;13.949s;19.862s;27.35s;-1,12792168;348442598;538631306;728820014;-1
451,0.011s;0.404s;0.659s;0.934s;-1,4.4s;13.68s;19.963s;26.896s;-1,14252602;359814574;540021884;720229194;-1
452,0.011s;0.546s;-1,4.249s;23.569s;-1,13971041;361515809;-1
453,0.012s;0.406s;-1,5.741s;20.972s;-1,12859198;322392092;-1
455,0.012s;0.517s;-1,6.086s;25.305s;-1,13525869;356485418;-1
456,0.012s;0.625s;-1,6.201s;27.145s;-1,13676736;370294198;-1
457,0.012s;0.414s;0.688s;-1,6.613s;16.716s;25.071s;-1,14607764;368819264;553542178;-1
458,0.01s;0.371s;0.617s;0.834s;-1,4.079s;13.57s;22.638s;25.964s;-1,13055448;328537140;493104387;657673371;-1
459,0.011s;0.404s;0.657s;-1,4.606s;16.157s;23.563s;-1,13848417;348085821;522428627;-1
460,0.011s;0.407s;0.661s;-1,4.489s;19.611s;21.124s;-1,14058098;352448440;528970042;-1
461,0.011s;0.415s;-1,4.987s;16.238s;-1,14659940;366627338;-1
462,0.011s;0.382s;0.646s;-1,4.806s;15.732s;21.949s;-1,13545908;339874739;510110638;-1
463,0.011s;-1,5.29s;-1,14868447;-1
464,0.011s;0.395s;0.651s;-1,4.549s;15.817s;23.554s;-1,13868936;348315776;522779120;-1
465,0.011s;0.554s;1.094s;-1,4.411s;18.608s;26.025s;-1,13652637;373036495;576526625;-1
466,0.01s;0.514s;1.017s;-1,4.129s;14.905s;21.227s;-1,12799455;358773811;554182421;-1
467,0.011s;0.419s;0.679s;-1,4.602s;15.006s;21.828s;-1,14558047;363184782;545077064;-1
468,0.011s;0.788s;-1,4.644s;19.365s;-1,14626826;475806617;-1
469,0.01s;0.898s;1.638s;-1,4.119s;17.093s;25.738s;-1,13541645;413098507;661694783;-1
470,0.01s;-1,3.857s;-1,12993682;-1
471,0.01s;0.514s;1.095s;-1,4.65s;18.099s;24.656s;-1,14395490;385823835;596357702;-1
472,0.01s;-1,4.169s;-1,13685283;-1
473,0.012s;0.446s;0.808s;-1,4.365s;15.596s;24.802s;-1,13789553;354574315;539302317;-1
474,0.01s;-1,4.471s;-1,13884570;-1
475,0.011s;0.527s;1.074s;-1,4.192s;16.864s;22.77s;-1,13488960;361491656;558804823;-1
476,0.01s;0.418s;0.773s;-1,3.775s;14.186s;20.428s;-1,12922704;332389511;505602118;-1
477,0.011s;-1,4.34s;-1,13517863;-1
479,0.011s;0.552s;-1,5.01s;23.682s;-1,14087920;374667175;-1
480,0.011s;1.779s;-1,4.616s;24.199s;-1,13850534;657308268;-1
481,0.011s;0.702s;-1,4.38s;18.808s;-1,13291121;374320693;-1
482,0.01s;0.372s;0.61s;-1,3.928s;12.781s;18.236s;-1,13022379;332756546;499420171;-1
483,0.011s;0.456s;0.817s;-1,4.232s;16.572s;23.436s;-1,14040101;361518931;549860800;-1
484,0.011s;0.745s;1.463s;-1,4.368s;18.8s;27.195s;-1,14209681;399057915;628074794;-1
485,0.012s;1.775s;-1,4.111s;19.626s;-1,13650339;565771030;-1
486,0.01s;1.484s,4.827s;16.35s,14909213;369822310
487,0.01s;0.4s;-1,4.212s;16.027s;-1,13910689;354835350;-1
488,0.011s;0.568s;1.172s;-1,5.214s;20.122s;26.892s;-1,14625592;390327435;603390102;-1
489,0.01s;-1,4.203s;-1,13986281;-1
490,0.011s;1.44s;-1,4.031s;18.936s;-1,13730303;590723749;-1
491,0.011s;-1,4.479s;-1,14469620;-1
492,0.011s;1.778s;-1,5.463s;23.306s;-1,14114459;398198855;-1
493,0.01s;1.49s;2.916s;-1,4.103s;15.712s;25.243s;-1,13614515;371571949;574082289;-1
494,0.011s;1.395s;2.605s;-1,4.917s;17.654s;23.177s;-1,13890736;356142434;541705643;-1
495,0.01s;0.462s;0.849s;-1,4.675s;18.427s;28.632s;-1,14317286;366505713;557471180;-1
496,0.011s;1.62s,5.865s;18.328s,14520004;388436779
497,0.011s;-1,4.636s;-1,14418353;-1
498,0.012s;0.613s;1.183s;-1,5.729s;23.102s;24.653s;-1,15014613;400182072;618705621;-1
499,0.011s;0.423s;-1,5.034s;16.299s;-1,15015702;373608973;-1
500,0.011s;0.422s;0.761s;1.157s;-1,3.801s;14.97s;20.023s;25.243s;-1,12878122;340601600;517955983;695310366;-1
501,0.01s;0.443s;-1,4.302s;16.508s;-1,14136840;363761697;-1
502,0.011s;0.398s;0.656s;0.941s;-1,4.228s;13.512s;23.518s;27.607s;-1,14166220;357058993;535852329;714645665;-1
503,0.011s;2.206s,4.537s;17.328s,14013957;395951361
504,0.01s;2.668s;-1,4.21s;22.491s;-1,13887720;867022893;-1
505,0.01s;2.309s;-1,3.452s;19.301s;-1,12571731;629266428;-1
506,0.011s;1.993s;-1,4.062s;20.985s;-1,13579315;713903608;-1
507,0.01s;1.238s,3.838s;12.827s,13386605;331723096
508,-1,-1,-1
509,0.011s;0.404s;0.663s;0.927s;-1,4.251s;12.962s;18.156s;25.954s;-1,14392867;356724050;535336876;713949702;-1
510,0.011s;1.962s;-1,3.791s;20.556s;-1,13225113;704893290;-1
511,0.01s;0.422s;0.738s;1.134s;-1,4.19s;14.752s;18.992s;25.374s;-1,13019434;335026102;509605644;684185186;-1
512,0.012s;-1,4.33s;-1,14391305;-1
513,0.013s;1.209s;-1,4.5s;19.539s;-1,13860909;545894282;-1
514,0.011s;0.444s;0.788s;-1,3.954s;15.354s;24.839s;-1,13596424;347474748;528546735;-1
515,0.011s;0.395s;0.649s;0.912s;-1,4.446s;14.144s;21.097s;24.208s;-1,14393699;357240251;536121612;715018618;-1
516,0.01s;0.668s;1.288s;-1,3.71s;15.47s;22.296s;-1,13443004;384118468;604249122;-1
517,0.011s;0.679s;1.327s;-1,3.811s;14.814s;21.484s;-1,13719297;387339902;609560523;-1
518,0.011s;0.384s;0.634s;0.898s;-1,3.963s;12.097s;17.511s;23.336s;-1,13885777;345106532;517912283;690719834;-1
519,0.01s;1.803s;3.861s,3.176s;13.724s;20.882s,12311578;389293023;622498807
520,0.01s;1.459s;2.861s,3.848s;14.635s;20.383s,13711814;366660631;566830885
521,0.011s;0.437s;0.788s;1.209s;-1,3.842s;13.898s;19.252s;25.944s;-1,13621720;349226306;531195716;713166450;-1
522,0.011s;0.97s;1.77s;-1,4.051s;16.445s;24.206s;-1,14122471;499157068;792427960;-1
523,0.011s;-1,4.07s;-1,14087187;-1
524,0.01s;-1,4.081s;-1,14290947;-1
525,0.011s;0.434s;0.793s;-1,3.986s;13.995s;21.442s;-1,13588687;347128868;528031622;-1
526,0.011s;0.414s;0.722s;-1,4.753s;15.185s;25.029s;-1,14932619;370588716;556139909;-1
527,0.01s;0.999s;1.93s;-1,3.697s;15.484s;23.075s;-1,12930183;420804890;686825199;-1
528,0.01s;1.046s;1.87s;-1,4.216s;18.201s;26.218s;-1,14557987;517547272;821281305;-1
529,0.011s;2.002s;3.677s;-1,4.147s;16.238s;23.356s;-1,14091850;423846167;679455586;-1
530,0.011s;0.389s;0.633s;0.881s;-1,4.323s;13.31s;19.381s;23.999s;-1,13915783;351937220;528164856;704398224;-1
531,0.011s;0.624s;1.276s;-1,4.609s;17.334s;24.448s;-1,15044390;440767157;679479498;-1
532,0.011s;1.304s,4.006s;12.789s,13939950;354868494
533,0.011s;1.321s;3.083s,4.021s;14.145s;20.034s,13885806;355745166;541109931
534,0.011s;0.383s;0.633s;0.889s;-1,4.02s;12.266s;18.3s;23.188s;-1,13786145;341518397;512528263;683538129;-1
535,0.01s;0.36s;0.586s;0.843s;-1,3.696s;11.238s;16.372s;21.796s;-1,13094663;326138946;489470887;652817948;-1
536,0.011s;-1,4.322s;-1,14804619;-1
537,0.01s;1.353s;-1,3.645s;16.426s;-1,13245397;583933209;-1
538,0.011s;0.572s;1.153s;-1,4.39s;16.916s;24.839s;-1,14805961;393031862;607646246;-1
539,0.011s;0.467s;0.837s;-1,4.527s;16.55s;24.675s;-1,14393449;366689346;557775138;-1
540,0.011s;-1,4.06s;-1,14290054;-1
541,0.01s;0.433s;0.773s;1.182s;-1,3.881s;14.915s;21.279s;25.942s;-1,13316104;342079603;520332065;698585152;-1
542,0.011s;0.413s;0.674s;-1,4.889s;14.372s;21.31s;-1,14522891;362252672;543634891;-1
543,0.013s;0.528s;1.065s;1.509s;-1,3.763s;14.339s;22.438s;27.095s;-1,13491306;360303585;557025238;753752077;-1
544,0.01s;-1,3.914s;-1,13486340;-1
545,0.01s;1.752s,3.832s;15.924s,13439706;362869308
546,0.01s;0.422s;0.739s;1.152s;-1,3.808s;12.858s;18.255s;24.103s;-1,13094268;334769712;509247394;683725076;-1
547,0.011s;0.42s;0.683s;0.97s;-1,4.449s;14.141s;19.609s;26.168s;-1,15009943;370476480;555965906;741455332;-1
548,0.011s;0.557s;1.106s;-1,4.197s;15.628s;21.958s;-1,14395227;385555344;595952165;-1
549,0.011s;0.389s;0.648s;0.897s;-1,3.954s;12.262s;17.701s;23.996s;-1,13908288;346343548;519772254;693200960;-1
550,0.011s;0.737s;1.395s;-1,4.07s;16.166s;23.925s;-1,14368658;410297431;645424294;-1
