index,t_solve_list,t_ground_list,ground_file_bytes_list
61,0.01s;0.399s;0.656s;3.932s;-1,4.241s;13.233s;19.212s;25.582s;-1,14162264;355561796;533609513;711658229;-1
62,0.01s;0.553s;1.073s;-1,4.124s;15.933s;22.278s;-1,14012332;374888564;579522179;-1
63,0.01s;0.512s;1.031s;-1,4.315s;18.676s;21.903s;-1,13193807;356881695;551564061;-1
64,0.01s;1.454s;-1,3.587s;18.764s;-1,12561034;490803927;-1
65,0.011s;0.656s;1.291s;-1,4.265s;16.479s;24.389s;-1,13516385;383402431;603276408;-1
66,0.01s;0.364s;0.612s;0.915s;-1,4.4s;12.162s;18.31s;24.254s;-1,13386842;331723641;497837841;663952441;-1
67,0.01s;0.52s;0.947s;1.368s;-1,4.463s;16.893s;19.567s;25.044s;-1,12637673;346805595;535879560;724954659;-1
68,0.011s;0.744s;1.433s;-1,4.359s;20.207s;27.767s;-1,14398843;405750722;638547329;-1
69,0.011s;0.368s;2.675s,4.102s;12.6s;17.59s,13065898;323421880;485373033
70,0.011s;1.491s,5.287s;20.229s,14391399;367698150
71,0.012s;0.402s;0.663s;-1,4.408s;15.398s;23.581s;-1,13812807;348280592;522706213;-1
72,0.011s;0.55s;1.115s;-1,4.614s;19.695s;26.897s;-1,13588533;365846167;565657671;-1
74,0.011s;0.665s;1.333s;-1,4.123s;17.85s;26.723s;-1,13612049;385427845;606549841;-1
75,0.01s;0.365s;0.606s;0.872s;-1,3.96s;12.72s;17.412s;24.03s;-1,13438176;336487823;504994013;673502842;-1
76,0.01s;0.427s;0.805s;-1,3.879s;14.705s;20.443s;-1,13699491;372560038;566317105;-1
77,0.011s;0.438s;0.792s;-1,3.872s;16.297s;23.511s;-1,13708893;351537480;534717818;-1
78,0.01s;0.633s;1.251s;-1,3.218s;15.184s;23.641s;-1,12313159;367472011;577192520;-1
79,0.01s;0.394s;0.651s;-1,4.173s;14.753s;21.813s;-1,13713032;342572038;514117881;-1
80,0.011s;-1,4.492s;-1,13631410;-1
81,0.011s;0.392s;0.656s;-1,4.202s;13.985s;26.072s;-1,13685103;341610502;512704831;-1
82,0.011s;1.178s;-1,4.434s;21.231s;-1,14256055;481826514;-1
83,0.01s;0.446s;0.916s;-1,4.334s;16.3s;25.8s;-1,14089538;361715240;550163199;-1
84,0.01s;0.395s;0.657s;0.928s;-1,4.146s;17.263s;19.216s;26.007s;-1,13466599;345044683;517852812;690660941;-1
85,0.011s;0.461s;0.85s;-1,4.345s;15.955s;22.762s;-1,14090205;360461233;548280675;-1
86,0.011s;1.086s;2.115s;-1,4.091s;16.735s;25.549s;-1,13602986;446115656;727527251;-1
87,0.011s;0.782s;-1,4.758s;19.133s;-1,14939063;424403349;-1
88,0.011s;0.447s;0.814s;-1,4.863s;16.241s;23.272s;-1,14188403;362421486;551272836;-1
89,0.01s;0.563s;1.117s;-1,4.384s;17.607s;25.857s;-1,14088907;376426408;581905391;-1
