index,t_ground_list,t_solve_list,consts_size_list,rules_list,atoms_list,rel_facts_list,rel_nonfacts_list,rel_total_list,ground_file_bytes_list
-134,0.068408;0.049328;0.049591;0.051052;0.052617;0.054036;0.055426;0.056257;0.058243,0.001084;0.000312;0.00033;0.000521;0.000492;0.00066;0.000727;0.001077;0.01423,443;443;443;443;443;443;443;443;443,0;5513;5641;5796;6008;6244;6502;6796;7137,0;5317;5451;5608;5780;5953;6128;6305;6484,1;17;17;17;17;17;17;17;17,16;0;0;0;0;0;0;0;0,17;17;17;17;17;17;17;17;17,240118;248597;257067;265554;278254;286751;299466;316399;329139
-135,0.080965;0.091188;0.115531;0.099221;0.114186;0.13135;0.140306;0.157873;0.167336;0.180251;0.193454;0.210231;0.220754;0.234977;0.251584;0.261351;0.273682;0.315792;0.304938;0.325274;0.330778;0.356891;0.359211;0.413866;0.402867;0.441299;0.444315;0.483661;0.477882;0.484325,0.001313;0.000879;0.001415;0.0035;0.005251;0.006445;0.006881;0.008327;0.00745;0.009042;0.009465;0.009545;0.011732;0.011604;0.012492;0.012488;0.014379;0.014438;0.01573;0.016682;0.017552;0.017831;0.020548;0.019528;0.023532;0.024054;0.02659;0.023466;0.025471;0.029606,458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458,0;6129;17233;28565;40374;54963;69595;84247;98926;113640;128398;143210;158087;173041;188085;203233;218500;233902;249456;265180;281093;297215;313567;330171;347050;364228;381730;399582;417811;436445,0;6039;7130;8274;9615;11282;12950;14619;16289;17960;19632;21305;22979;24654;26330;28007;29685;31364;33044;34725;36407;38090;39774;41459;43145;44832;46520;48209;49899;51590,34;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47,13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47,274236;601886;933830;1278478;1716123;2178335;2648850;3115164;3585687;4060415;4535123;5014041;5492968;5976109;6463466;6955041;7450834;7955051;8459292;8976161;9497260;10026790;10564758;11111168;11670218;12237714;12822055;13414865;14024522;14646844
-136,0.077356;0.075194;0.095136;0.09709;0.110644;0.113381;0.122506;0.146985;0.142504;0.153743;0.164985;0.178177;0.186018;0.197978;0.209502;0.222205;0.235508;0.254855;0.268514;0.278815;0.318196;0.308609;0.327457;0.347618;0.362821;0.386756;0.408313;0.431064;0.46379;0.478568,0.002354;0.002131;0.003473;0.004831;0.005684;0.006507;0.006301;0.00792;0.007982;0.01063;0.009704;0.010727;0.012519;0.013169;0.014415;0.016038;0.020773;0.019781;0.022804;0.026494;0.027402;0.031169;0.039135;0.038631;0.045668;0.049471;0.057694;0.060592;0.067613;0.082442,449;449;449;449;449;449;449;449;449;449;449;449;449;449;449;449;449;449;449;449;449;449;449;449;449;449;449;449;449;449,0;6933;11229;16438;23732;31149;38665;46332;54215;62393;70960;80026;89718;100181;111579;124096;137937;153329;170522;189790;211432;235773;263165;293988;328651;367593;411284;460226;514954;576037,0;5869;6883;8041;9323;10607;11894;13184;14477;15773;17072;18374;19679;20987;22298;23612;24929;26249;27572;28898;30227;31559;32894;34232;35573;36917;38264;39614;40967;42323,1;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20,57;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38,58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58,311909;509470;736562;1047856;1359163;1691133;2035506;2388292;2749500;3127552;3522433;3942576;4392206;4875538;5396802;5964425;6586839;7276688;8038206;8884045;9822659;10866707;12028849;13325960;14770715;16379998;18166502;20151321;22355564;24791948
-137,0.070109;0.051552;0.052799;0.053871;0.056147;0.058729;0.060885;0.063014;0.065147;0.06991;0.070078;0.071685;0.074521;0.076717;0.079211;0.081837;0.084441;0.087728;0.091571;0.123658;0.096023;0.111966;0.120034;0.113123;0.140279;0.13648;0.144725;0.117668;0.139629;0.131802,0.001257;0.000364;0.000403;0.000481;0.000609;0.000752;0.000866;0.000883;0.000977;0.001265;0.001322;0.001301;0.001743;0.001713;0.001789;0.002269;0.002415;0.004027;0.002513;0.002894;0.004494;0.003516;0.004625;0.003985;0.005323;0.004708;0.006346;0.009299;0.017516;0.006758,432;432;432;432;432;432;432;432;432;432;432;432;432;432;432;432;432;432;432;432;432;432;432;432;432;432;432;432;432;432,0;5404;5629;5935;6270;6635;7020;7445;7911;8421;8985;9595;10282;11059;11940;12939;14175;15460;17045;18688;20540;22622;24956;27791;30699;34202;37784;41743;46453;51624,0;5325;5573;5838;6132;6439;6747;7057;7368;7680;7993;8306;8620;8935;9251;9568;9887;10206;10527;10848;11170;11493;11817;12143;12469;12797;13125;13454;13785;14117,1;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29,28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29,240017;256956;269702;286655;303614;320576;341758;358737;379935;405352;430770;456204;485862;519748;553659;600250;642631;697708;756986;816310;888298;964542;1061840;1163312;1281728;1404325;1539591;1696039;1869372;2046874
-139,0.078107;0.130951;0.12323;0.148083;0.153933;0.223064;0.238503;0.220745;0.265661;0.303622;0.268217;0.275018;0.29462;0.316885;0.336086;0.348911;0.367769;0.392769;0.422526;0.431274;0.450207;0.466725;0.48695;0.501664;0.555081;0.546117;0.567502;0.58539;0.604152;0.766491,0.001493;0.001146;0.003131;0.006483;0.01294;0.01243;0.012318;0.014093;0.014624;0.018216;0.016395;0.016393;0.017764;0.018267;0.022709;0.020877;0.023513;0.023482;0.025092;0.028818;0.028715;0.029664;0.031965;0.03311;0.034779;0.039633;0.038546;0.041059;0.045494;0.057296,453;453;453;453;453;453;453;453;453;453;453;453;453;453;453;453;453;453;453;453;453;453;453;453;453;453;453;453;453;453,0;6362;19385;32850;49821;70220;90690;111220;131831;152547;173395;194405;215610;237046;258752;280770;303145;325925;349161;372907;397220;422160;447790;474176;501387;529495;558575;588705;619966;652442,0;6143;7729;9444;11503;13832;16162;18493;20825;23158;25492;27827;30163;32500;34838;37177;39517;41858;44200;46543;48887;51232;53578;55925;58273;60622;62972;65323;67675;70028,31;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46,30;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15,61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61;61,286874;727321;1180495;1788833;2519398;3258243;4001290;4748542;5495792;6251449;7015471;7783695;8564525;9353759;10159801;10974248;11809705;12657767;13531039;14425321;15344815;16289518;17267835;18275564;19321109;20404467;21529842;22701436;23923442;25191675
-140,0.141082;0.736918;0.840908;0.944631;1.148481;1.473295,0.00761;0.028019;0.07923;0.197595;0.667793;0.36567,457;457;457;457;457;457,0;11673;208777;408923;658170;938212,0;8799;16116;23854;32693;42467,40;46;46;46;46;46,97;91;91;91;91;91,137;137;137;137;137;137,569748;9394488;18366102;29389857;41567140;53752791
-141,0.099547;0.106405;0.113983;0.1421;0.16156;0.178584;0.198379;0.226118;0.23539;0.2493;0.270319,0.002989;0.002299;0.006136;0.011215;0.012532;0.013314;0.031663;0.020668;0.042782;0.071042;0.15667,435;435;435;435;435;435;435;435;435;435;435,0;7575;19174;31403;49728;69074;88483;107909;127446;147158;167117,0;6154;8160;10333;12758;15242;17734;20230;22728;25228;27730,1;27;27;27;27;27;27;27;27;27;27,69;43;43;43;43;43;43;43;43;43;43,70;70;70;70;70;70;70;70;70;70;70,345659;858387;1396409;2211056;3075804;3940557;4809517;5682689;6560063;7450061;8352631
-142,0.073217;0.069162;0.073254;0.08454;0.094394;0.099592;0.110935;0.119769;0.129279;0.139878;0.147341;0.157569;0.16632,0.001664;0.000912;0.001939;0.002915;0.003358;0.004258;0.005761;0.008167;0.01094;0.018419;0.025384;0.033584;0.037449,443;443;443;443;443;443;443;443;443;443;443;443;443,0;6212;9023;12179;16743;21407;26142;31391;36741;42209;47805;53553;59510,0;5715;6737;7880;9140;10409;11694;13007;14322;15639;16958;18279;19602,1;18;18;18;18;18;18;18;18;18;18;18;18,50;33;33;33;33;33;33;33;33;33;33;33;33,51;51;51;51;51;51;51;51;51;51;51;51;51,282316;416956;564232;766211;972410;1182722;1422295;1665988;1913890;2170192;2430676;2703766;2981063
-143,0.087918;0.161234;0.175546;0.232349;0.260563;0.287463;0.31119;0.338467;0.432239;0.397237;0.461926;0.477747;0.521135;0.546036;0.580739;0.572556;0.605256;0.628277;0.665598;0.696342;0.731854;0.766719;0.816367;0.838038;0.882731;0.901912;0.963355;1.084353;1.217206;1.22039,0.003378;0.004444;0.020029;0.027594;0.034109;0.038602;0.042323;0.048792;0.050055;0.051747;0.063245;0.06223;0.068524;0.074371;0.072007;0.086106;0.082556;0.090924;0.109216;0.102406;0.116057;0.117728;0.124553;0.137646;0.148501;0.155301;0.179694;0.202761;0.208666;0.210229,442;442;442;442;442;442;442;442;442;442;442;442;442;442;442;442;442;442;442;442;442;442;442;442;442;442;442;442;442;442,0;8571;34191;61109;102589;144549;186677;229045;271737;314849;358489;402777;447845;493837;540909;589229;638977;690345;743537;798769;856269;916277;979045;1044837;1113929;1186609;1263177;1343945;1429237;1519389,0;6647;9386;12459;15968;19479;22990;26501;30012;33523;37034;40545;44056;47567;51078;54589;58100;61611;65122;68633;72144;75655;79166;82677;86188;89699;93210;96721;100232;103743,1;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7,85;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79;79,86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86,400502;1693792;3111222;5186605;7278751;9383467;11496520;13626301;15776986;17952745;20166100;22417067;24714018;27065315;29475110;31960170;34524644;37176879;39933628;42803238;45798249;48926994;52210415;55656846;59283017;63101452;67128878;71386219;75881785;80636500
-144,0.078934;0.110531;0.116936;0.15205;0.174204;0.199282;0.212958;0.227999;0.247913;0.269404;0.288592;0.306886;0.321595;0.341145;0.359491;0.390996;0.403828;0.420769;0.438159;0.467584;0.479346;0.494995;0.522626;0.540674;0.562309;0.580161;0.673511;0.740296;0.730511;0.775958,0.001746;0.001822;0.006279;0.012037;0.013029;0.014098;0.01793;0.019165;0.020505;0.022271;0.024702;0.025523;0.026614;0.030012;0.029539;0.032095;0.032205;0.03359;0.035586;0.039673;0.039271;0.041126;0.042366;0.043816;0.044812;0.048027;0.056405;0.052486;0.05676;0.052294,447;447;447;447;447;447;447;447;447;447;447;447;447;447;447;447;447;447;447;447;447;447;447;447;447;447;447;447;447;447,0;6571;18918;31895;53037;74343;95683;117821;139965;162109;184253;206397;228541;250685;272829;294973;317117;339261;361405;383549;405693;427837;449981;472125;494269;516413;538557;560701;582845;604989,0;6067;7971;10124;12655;15215;17789;20412;23035;25658;28281;30904;33527;36150;38773;41396;44019;46642;49265;51888;54511;57134;59757;62380;65003;67626;70249;72872;75495;78118,10;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19,54;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45,64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64,307667;886636;1495061;2459977;3449623;4439263;5462581;6481696;7500809;8524126;9543201;10566472;11589746;12613018;13636293;14655365;15678637;16701911;17725184;18744258;19767529;20790803;21814075;22837349;23856422;24879694;25902968;26926240;27945315;28968586
