index,t_ground_list,t_solve_list,consts_size_list,rules_list,atoms_list,rel_facts_list,rel_nonfacts_list,rel_total_list,ground_file_bytes_list
-1,0.107126;0.089044;0.096738;0.104201;0.118914;0.130386;0.145283;0.152294;0.163518;0.172671;0.185461;0.196982;0.214957;0.221699;0.234061;0.246059;0.258588;0.272153;0.293665;0.302762;0.310691;0.323737;0.336272;0.352748;0.368708;0.384103;0.401363;0.41317;0.423986;0.439399,0.002527;0.000994;0.001813;0.002355;0.003759;0.004067;0.004736;0.005283;0.005392;0.005992;0.006693;0.006529;0.008564;0.007951;0.008862;0.010858;0.011015;0.011577;0.013321;0.014524;0.014809;0.016816;0.017473;0.02191;0.021515;0.025176;0.025756;0.028501;0.031909;0.033631,406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406,0;8797;11553;14904;19251;25417;31654;37971;44396;50961;57702;64659;71876;79401;87286;95587;104364;113681;123606;134211;145572;157769;170886;185011;200236;216657;234374;253491;274116;296361,0;7890;9091;10401;11854;13409;14965;16522;18080;19639;21199;22760;24322;25885;27449;29014;30580;32147;33715;35284;36854;38425;39997;41570;43144;44719;46295;47872;49450;51029,1;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32,79;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48,80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80,401788;520143;663846;849357;1106477;1363587;1620681;1886172;2160054;2438104;2728716;3031899;3347645;3675945;4029411;4399614;4794959;5219642;5673646;6161164;6686388;7253506;7862508;8525995;9239740;10012138;10847377;11749645;12727333;13780416
-2,0.083528;0.063643;0.064475;0.067561;0.067748;0.067306;0.07014;0.069588;0.071289;0.074228,0.001339;0.00036;0.000348;0.000436;0.000501;0.000528;0.000567;0.000752;0.001131;0.018401,374;374;374;374;374;374;374;374;374;374,0;7068;7182;7319;7461;7659;7876;8124;8417;8771,0;7061;7186;7318;7465;7626;7789;7954;8121;8290,1;17;17;17;17;17;17;17;17;17,16;0;0;0;0;0;0;0;0;0,17;17;17;17;17;17;17;17;17;17,321299;325546;334019;342487;350971;359455;372162;384876;397607;414554
-3,0.092563;0.080807;0.085436;0.089433;0.097612;0.10313;0.109889;0.116188;0.125947;0.132846;0.144289;0.151314;0.157107;0.165691;0.179258;0.184345;0.197909;0.21002;0.220323;0.23261;0.248552;0.259723;0.277824;0.293698;0.302697;0.326372;0.347273;0.36539;0.385715;0.403588,0.001923;0.000742;0.00107;0.001895;0.002227;0.003148;0.003337;0.00559;0.005857;0.006902;0.007742;0.006878;0.009499;0.008474;0.010862;0.013283;0.015336;0.020206;0.024844;0.028935;0.033477;0.067934;0.052698;0.061097;0.059657;0.071988;0.08477;0.095142;0.144215;0.106446,413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413,0;8074;9429;11163;13398;16149;19048;22090;25357;28934;32922;37419;42485;48340;55155;63122;72455;83391;96191;111141;128313;148254;171329;197912;228440;263340;303117;348289;399408;457061,0;7608;8397;9295;10269;11271;12276;13285;14298;15315;16336;17361;18390;19423;20460;21501;22546;23595;24648;25705;26766;27831;28900;29973;31050;32131;33216;34305;35398;36495,1;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16,53;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38,54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54,368001;435454;515527;616639;742935;877540;1016354;1163589;1323450;1495958;1689503;1904114;2148208;2421837;2741798;3108140;3529306;4017917;4578250;5218738;5952058;6790871;7752018;8848191;10092071;11504732;13098894;14891468;16907735;19160427
-4,0.10011;0.079424;0.086176;0.092103;0.099352;0.106048;0.10959;0.118072;0.12958;0.131027;0.141072;0.143869;0.156903;0.160635;0.164678;0.167401;0.179757;0.18279;0.187906;0.19735;0.206279;0.216201;0.219459;0.221007;0.228625;0.235176;0.246361;0.250356;0.259068;0.263954,0.002226;0.000886;0.001245;0.001449;0.001967;0.002035;0.002279;0.002491;0.002788;0.002857;0.003397;0.003297;0.003599;0.003592;0.00359;0.00363;0.00411;0.004416;0.004382;0.004432;0.004986;0.004854;0.005066;0.005006;0.005773;0.005658;0.005464;0.005725;0.007008;0.00605,399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399,0;8474;9675;11386;13141;15544;17951;20358;22765;25172;27579;29986;32393;34800;37207;39614;42021;44428;46835;49242;51649;54056;56463;58870;61277;63684;66091;68498;70905;73312,0;7783;8593;9522;10493;11489;12485;13481;14477;15473;16469;17465;18461;19457;20453;21449;22445;23441;24437;25433;26429;27425;28421;29417;30413;31409;32405;33401;34397;35393,1;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17,73;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57,74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74,389073;448139;528239;612550;722017;835623;949232;1062842;1176451;1290060;1403651;1517243;1630835;1744426;1858018;1971609;2085201;2198792;2312384;2425977;2539570;2653162;2766754;2880346;2993938;3107530;3221122;3334714;3448306;3561898
-5,0.092333;0.075777;0.082076;0.090365,0.001982;0.000708;0.00111;0.019244,384;384;384;384,0;7965;8971;10272,0;7468;8179;8962,1;26;26;26,47;22;22;22,48;48;48;48,363663;414399;473595;553856
-6,0.085955;0.068869;0.071359;0.07736;0.082433;0.082587;0.090818;0.091559;0.094689,0.001396;0.00054;0.000725;0.001034;0.001467;0.001561;0.002641;0.0039;0.019463,382;382;382;382;382;382;382;382;382,0;7208;7805;8477;9568;10824;12110;13438;14826,0;7202;7614;8089;8630;9187;9744;10301;10858,1;12;12;12;12;12;12;12;12,26;15;15;15;15;15;15;15;15,27;27;27;27;27;27;27;27;27,329762;359341;393134;439575;494461;549349;608450;667550;730781
-7,0.753659;0.392334;0.469843;0.553518;0.618666;0.685692;0.752825;0.814956;0.876625;0.942707;1.020292;1.085632;1.218865;1.273488;1.292968;1.34435;1.458037;1.520203;1.532215;1.592414;1.653133;1.728705;1.799421;1.862029;1.90579;1.99666;2.053664;2.115643;2.169847;2.225026,0.389272;0.037369;0.050594;0.071696;0.084498;0.086333;0.09156;0.100813;0.105112;0.122244;0.116237;0.127087;0.136273;0.132176;0.147223;0.155699;0.194582;0.165517;0.158931;0.166155;0.172195;0.181987;0.184883;0.197907;0.197776;0.207147;0.208311;0.232389;0.227784;0.228039,399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399,0;258893;309563;368297;436483;513808;591144;668482;745822;823164;900508;977854;1055202;1132552;1209904;1287258;1364614;1441972;1519332;1596694;1674058;1751424;1828792;1906162;1983534;2060908;2138284;2215662;2293042;2370424,0;23002;29675;36878;44347;51930;59514;67099;74685;82272;89860;97449;105039;112630;120222;127815;135409;143004;150600;158197;165795;173394;180994;188595;196197;203800;211404;219009;226615;234222,22;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28,215;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209,237;237;237;237;237;237;237;237;237;237;237;237;237;237;237;237;237;237;237;237;237;237;237;237;237;237;237;237;237;237,10176919;12862990;15921944;19416215;23292280;27168345;31048628;34924694;38804978;42681043;46565372;50449699;54334002;58414960;62536896;66658831;70776557;74898493;79020430;83142366;87264302;91386236;95503965;99625902;103747839;107869776;111991714;116113651;120235588;124361730
-8,0.087228;0.072935;0.076918;0.080165;0.081089;0.087436;0.091497;0.097118,0.001643;0.000577;0.001154;0.001551;0.001679;0.0027;0.004088;0.02492,389;389;389;389;389;389;389;389,0;7718;8751;9936;11745;13408;15188;17103,0;7357;7886;8502;9179;9800;10420;11040,1;11;11;11;23;23;23;23,34;24;24;24;12;12;12;12,35;35;35;35;35;35;35;35,350995;401524;460465;540450;603968;671696;747801;832195
-9,0.095127;0.092408;0.097078;0.108259;0.118268;0.129474;0.139828;0.149729;0.161968;0.174535;0.183296;0.199533;0.20455;0.218607;0.229314;0.240055;0.25039;0.266803;0.27744;0.291696;0.301048;0.313283;0.327236;0.341786;0.366252;0.370631;0.380707;0.395478;0.411828;0.424408,0.002894;0.001131;0.001665;0.003156;0.004326;0.004313;0.00549;0.005289;0.006427;0.006674;0.007062;0.00715;0.007519;0.009241;0.010182;0.009668;0.010863;0.012212;0.013497;0.013701;0.014955;0.015873;0.01783;0.021131;0.02086;0.023556;0.025196;0.026117;0.031222;0.032111,386;386;386;386;386;386;386;386;386;386;386;386;386;386;386;386;386;386;386;386;386;386;386;386;386;386;386;386;386;386,0;9104;13265;17832;23685;30842;38049;45298;52609;60006;67517;75174;83013;91074;99401;108042;117049;126478;136389;146846;157917;169674;182193;195554;209841;225142;241549;259158;278069;298386,0;7852;9052;10340;11780;13307;14836;16367;17900;19435;20972;22511;24052;25595;27140;28687;30236;31787;33340;34895;36452;38011;39572;41135;42700;44267;45836;47407;48980;50555,1;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39,68;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30,69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69,418516;587509;769208;1009493;1300331;1591166;1881996;2181224;2480434;2788039;3099798;3419931;3752645;4093719;4451561;4826160;5221713;5638198;6075630;6542383;7042662;7576443;8147926;8757109;9416572;10126294;10886286;11709119;12594783;13547474
-10,0.094596;0.100147;0.104431;0.125008;0.139733;0.155328;0.166031,0.002235;0.001286;0.002857;0.00756;0.009488;0.028012;0.03063,410;410;410;410;410;410;410,0;8552;14205;20368;30287;41156;52177,0;7894;9462;11207;13173;15193;17215,1;29;29;29;29;29;29,64;36;36;36;36;36;36,65;65;65;65;65;65;65,397499;641793;923680;1356800;1823559;2298724;2778065
-11,0.094408;0.082751;0.087022;0.101179;0.112505;0.115035;0.123745;0.133521;0.142285;0.152782;0.161839;0.171018;0.187136;0.19315;0.203714;0.21723;0.231574;0.243011;0.258818;0.276919;0.304834;0.312705;0.317525;0.338569;0.359842;0.372501;0.399883;0.418758;0.434975;0.46565,0.002541;0.000999;0.002092;0.003136;0.003807;0.004037;0.004231;0.005188;0.005583;0.00652;0.007206;0.008303;0.010794;0.011416;0.012265;0.013792;0.016817;0.01745;0.020478;0.026487;0.026445;0.029234;0.034668;0.038564;0.04319;0.050892;0.09465;0.060697;0.074188;0.082024,402;402;402;402;402;402;402;402;402;402;402;402;402;402;402;402;402;402;402;402;402;402;402;402;402;402;402;402;402;402,0;8703;11094;13886;18382;23043;27872;32941;38334;44147;50488;57477;65246;73939;83712;94733;107182;121251;137144;155077;175278;197987;223456;251949;283742;319123;358392;401861;449854;502707,0;7770;8753;9866;11071;12276;13482;14689;15897;17106;18316;19527;20739;21952;23166;24381;25597;26814;28032;29251;30471;31692;32914;34137;35361;36586;37812;39039;40267;41496,1;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7,58;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52,59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59,393356;515239;649732;859822;1082280;1317224;1560506;1824724;2105643;2415844;2759481;3140736;3567974;4045356;4589656;5200810;5895592;6678137;7565208;8560933;9686275;10945353;12354916;13931699;15684020;17632818;19786414;22169933;24791687;27676795
-12,0.094914;0.069661;0.073365;0.075958,0.001995;0.000667;0.001025;0.019681,378;378;378;378,0;8025;8586;9360,0;7393;7840;8358,1;7;7;7,37;31;31;31,38;38;38;38,363654;393207;426955;469135
-13,0.088266;0.064772;0.06744;0.06688,0.0014;0.000391;0.000476;0.017578,395;395;395;395,0;7193;7366;7571,0;7180;7355;7539,1;18;18;18,17;0;0;0,18;18;18;18,325580;338295;346795;359505
-14,0.091648;0.064579;0.066211;0.067803;0.071842;0.070509;0.073912;0.072642;0.076216;0.075334;0.077179;0.080953;0.08122;0.082478;0.084958;0.087386;0.089998;0.086326;0.088136;0.088702;0.098203;0.090698;0.092934;0.095147;0.096825;0.098057;0.097899;0.09998;0.100464;0.101543,0.001416;0.000407;0.000507;0.000624;0.000513;0.00059;0.000639;0.000664;0.000691;0.000722;0.00101;0.000788;0.000856;0.000828;0.000868;0.000881;0.000864;0.000881;0.000923;0.001172;0.000885;0.000961;0.001001;0.001132;0.001067;0.001086;0.001088;0.000992;0.00102;0.00111,400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400,0;7230;7432;7696;7966;8236;8506;8776;9046;9316;9586;9856;10126;10396;10666;10936;11206;11476;11746;12016;12286;12556;12826;13096;13366;13636;13906;14176;14446;14716,0;7226;7418;7634;7858;8082;8306;8530;8754;8978;9202;9426;9650;9874;10098;10322;10546;10770;10994;11218;11442;11666;11890;12114;12338;12562;12786;13010;13234;13458,1;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7,22;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16,23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23,329837;338311;350999;363687;376374;389062;401747;414434;427120;439807;452493;469391;482074;494758;507442;520126;532810;545490;558153;575022;587683;600346;613003;629873;642534;655193;672062;684723;697386;710042
-15,0.090904;0.074788;0.077758;0.080766;0.086574;0.088721,0.002419;0.000572;0.00076;0.000879;0.001126;0.021273,392;392;392;392;392;392,0;8466;9412;10529;11700;12907,0;7561;8133;8733;9413;10125,1;40;40;40;40;40,39;0;0;0;0;0,40;40;40;40;40;40,384764;427208;473924;520629;571553;618249
-16,0.08666;0.068737;0.069443;0.071898;0.073266;0.076965;0.080911;0.084542;0.085701;0.089979;0.092271;0.095357;0.094846;0.098548;0.101849;0.105146;0.110149;0.10956;0.12306;0.114896;0.120143;0.119733;0.125759;0.126238;0.128212;0.131172;0.137817;0.138722;0.14329;0.142061,0.001511;0.000422;0.000532;0.000578;0.000735;0.00076;0.000888;0.000821;0.001042;0.001061;0.000975;0.001067;0.001129;0.001207;0.001278;0.001328;0.001367;0.001415;0.001499;0.001427;0.001599;0.001604;0.001658;0.001696;0.00182;0.00187;0.001996;0.001942;0.001973;0.001974,399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399,0;7495;7839;8276;8742;9376;10010;10644;11278;11912;12546;13180;13814;14448;15082;15716;16350;16984;17618;18252;18886;19520;20154;20788;21422;22056;22690;23324;23958;24592,0;7311;7625;7969;8349;8757;9165;9573;9981;10389;10797;11205;11613;12021;12429;12837;13245;13653;14061;14469;14877;15285;15693;16101;16509;16917;17325;17733;18141;18549,1;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21,30;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10,31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31,338357;355313;376503;397688;427333;452763;478192;507836;533266;558695;588308;617886;647462;677037;706614;731983;761558;791133;820709;850285;879861;909437;939014;968589;998164;1027741;1053110;1082685;1112260;1141836
-17,0.091862;0.073943;0.078986;0.084882;0.089344;0.094753;0.097699,0.002346;0.000765;0.001121;0.001538;0.006952;0.004937;0.024209,407;407;407;407;407;407;407,0;8606;9394;10589;11881;13308;14975,0;7680;8300;9020;9766;10514;11264,1;7;7;7;7;7;7,57;51;51;51;51;51;51,58;58;58;58;58;58;58,389134;427125;486150;545160;612561;696672;793264
-18,0.088567;0.077033;0.079233;0.081502;0.089505;0.09567;0.102245;0.11174;0.117417,0.001887;0.000633;0.00064;0.001083;0.001739;0.00211;0.002518;0.003763;0.022783,399;399;399;399;399;399;399;399;399,0;8007;9904;11941;14044;17212;20456;23714;26992,0;7515;8146;8804;9578;10505;11433;12361;13289,1;37;37;37;37;37;37;37;37,36;0;0;0;0;0;0;0;0,37;37;37;37;37;37;37;37;37,367851;435857;508120;584579;690818;805285;919685;1038293;1156905
-19,0.089516;0.071881;0.074069;0.077527;0.081342;0.084418;0.090412;0.095374;0.097356;0.100935;0.106984;0.109546;0.113973;0.118891;0.123471;0.129877;0.134847;0.139193;0.147899;0.147602;0.156336;0.160451;0.168493;0.173607;0.183112;0.1874;0.1961;0.203076;0.210642;0.218715,0.001732;0.000555;0.000929;0.001036;0.001289;0.001417;0.001887;0.002203;0.0021;0.002768;0.00258;0.003013;0.003903;0.00412;0.004858;0.005634;0.006385;0.007611;0.007843;0.008926;0.010906;0.012625;0.014037;0.015235;0.017257;0.019937;0.024088;0.025573;0.03024;0.033766,410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410,0;7666;8264;9148;10065;11008;12007;13086;14273;15600;17103;18822;20801;23088;25735;28798;32337;36416;41103;46470;52593;59552;67431;76318;86305;97488;109967;123846;139233;156240,0;7495;7995;8579;9187;9795;10403;11011;11619;12227;12835;13443;14051;14659;15267;15875;16483;17091;17699;18307;18915;19523;20131;20739;21347;21955;22563;23171;23779;24387,1;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8,41;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34,42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42,351042;380611;422806;464998;511402;557796;608380;663100;726198;797683;881748;974182;1079184;1200955;1339484;1503174;1687804;1897572;2140878;2417704;2728042;3084493;3482835;3931466;4430365;4987930;5608347;6295804;7058695;7896999
-20,0.087818;0.064549;0.065926;0.067055;0.068867;0.069353;0.071893;0.072926;0.072578;0.073689;0.075928;0.077622;0.078533;0.080051;0.079354;0.081642;0.084129;0.082851;0.086271;0.085784;0.087948;0.089635;0.090177;0.092802;0.093996;0.093353;0.098116;0.09499;0.099674;0.097845,0.00142;0.000364;0.000416;0.000481;0.000578;0.000553;0.000529;0.000564;0.000597;0.0006;0.000656;0.000662;0.000703;0.00065;0.000702;0.000705;0.00076;0.000761;0.000774;0.00075;0.000845;0.000795;0.000957;0.00094;0.000874;0.001014;0.000912;0.000887;0.000955;0.001092,403;403;403;403;403;403;403;403;403;403;403;403;403;403;403;403;403;403;403;403;403;403;403;403;403;403;403;403;403;403,0;7248;7427;7654;7890;8126;8362;8598;8834;9070;9306;9542;9778;10014;10250;10486;10722;10958;11194;11430;11666;11902;12138;12374;12610;12846;13082;13318;13554;13790,0;7242;7413;7609;7817;8025;8233;8441;8649;8857;9065;9273;9481;9689;9897;10105;10313;10521;10729;10937;11145;11353;11561;11769;11977;12185;12393;12601;12809;13017,1;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11,20;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10,21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21,329854;338325;351012;359487;372173;384860;393333;406020;418707;427180;439866;452548;465230;473704;486385;499068;507540;520224;532905;545577;558238;566692;579354;592016;604677;617337;629997;642659;655320;667981
-21,0.087674;0.069074;0.07109;0.074977;0.074388;0.07774;0.082008;0.08384;0.088599;0.094148;0.097443;0.100635,0.001671;0.000425;0.000561;0.000578;0.000645;0.0007;0.00095;0.00117;0.001349;0.001617;0.002597;0.021871,402;402;402;402;402;402;402;402;402;402;402;402,0;7745;8191;8735;9313;9912;10519;11333;12195;13124;14145;15281,0;7380;7738;8114;8529;8962;9415;9899;10385;10873;11363;11855,1;34;34;34;34;34;34;34;34;34;34;34,33;0;0;0;0;0;0;0;0;0;0;0,34;34;34;34;34;34;34;34;34;34;34;34,351040;372257;397720;423179;448638;478311;508032;546187;580150;622482;669013;719766
-22,0.08344;0.063604;0.06425;0.064748;0.064968;0.065337,0.00139;0.00034;0.000353;0.000376;0.00043;0.017897,391;391;391;391;391;391,0;7156;7233;7332;7438;7550,0;7151;7249;7353;7463;7575,1;16;16;16;16;16,15;0;0;0;0;0,16;16;16;16;16;16,325592;329832;334080;338332;346789;351040
-23,0.085366;0.063633;0.063657;0.0649;0.065952;0.066251,0.001342;0.000347;0.00038;0.000377;0.000433;0.017558,399;399;399;399;399;399,0;7191;7278;7397;7524;7657,0;7187;7302;7424;7552;7682,1;19;19;19;19;19,18;0;0;0;0;0,19;19;19;19;19;19,325607;329866;338322;342581;351041;359508
-24,0.083475;0.06583;0.068908;0.068433;0.069823;0.071568;0.074932;0.076346;0.079487,0.001467;0.000559;0.000469;0.000458;0.000684;0.000697;0.000872;0.00103;0.019008,383;383;383;383;383;383;383;383;383,0;7177;7464;7797;8147;8608;9095;9730;10387,0;7160;7409;7669;7954;8265;8597;8944;9291,1;23;23;23;23;23;23;23;23,22;0;0;0;0;0;0;0;0,23;23;23;23;23;23;23;23;23,325551;342502;359468;376432;397633;418837;444290;469745;495214
-25,0.084102;0.071019;0.070569;0.075437;0.078885;0.084165;0.087857,0.00141;0.000481;0.000697;0.001204;0.001551;0.002133;0.019069,392;392;392;392;392;392;392,0;7302;7965;8755;10092;11470;12872,0;7284;7714;8224;8794;9363;9932,1;7;7;7;7;7;7,29;23;23;23;23;23;23,30;30;30;30;30;30;30,334037;367791;405750;464759;527989;587003;650230
-26,0.097179;0.113821;0.12739;0.152366;0.17474;0.199207;0.220774;0.24085;0.267731;0.296981,0.002188;0.002133;0.005254;0.008286;0.013528;0.014142;0.027832;0.172353;0.176749;0.430702,386;386;386;386;386;386;386;386;386;386,0;8486;15930;24209;36928;52954;69453;86459;104337;123317,0;7949;10487;13314;16307;19378;22453;25494;28539;31588,1;11;11;11;11;11;20;20;20;20,82;72;72;72;72;72;63;63;63;63,83;83;83;83;83;83;83;83;83;83,397418;766975;1190569;1807125;2570501;3354807;4131329;4953947;5822579;6762408
-27,0.092674;0.084217;0.087485;0.096164;0.106101;0.117733;0.127143;0.135542;0.145944;0.156693;0.165383;0.176358;0.184892;0.193184;0.207456;0.214703;0.227124;0.234596;0.246151;0.255732;0.26854;0.28194;0.290698;0.305389;0.317789;0.327462;0.33974;0.347498;0.366357;0.378536,0.001874;0.000842;0.001308;0.002362;0.003055;0.003372;0.003935;0.00413;0.004421;0.0052;0.005288;0.006095;0.006014;0.006567;0.00802;0.008722;0.008223;0.009057;0.010373;0.011636;0.011464;0.01293;0.014334;0.015587;0.015523;0.018001;0.018159;0.020058;0.023636;0.023174,412;412;412;412;412;412;412;412;412;412;412;412;412;412;412;412;412;412;412;412;412;412;412;412;412;412;412;412;412;412,0;8023;10473;13241;17468;22752;28088;33484;38961;44543;50257;56133;62204;68506;75078;81962;89203;96849;104951;113563;122742;132548;143044;154296;166373;179347;193293;208289;224416;241758,0;7638;8643;9747;11014;12351;13689;15028;16368;17709;19051;20394;21738;23083;24429;25776;27124;28473;29823;31174;32526;33879;35233;36588;37944;39301;40659;42018;43378;44739,1;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27,49;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23,50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50,367963;469427;587765;756603;971668;1190851;1410031;1637622;1865209;2096999;2341380;2589958;2846941;3116531;3398730;3693532;4005143;4333561;4682987;5057629;5453275;5878335;6332809;6820894;7342594;7906310;8512044;9159792;9857961;10606546
-28,0.09078;0.075117;0.080931;0.083234;0.091117;0.095349;0.102608;0.108617;0.114295;0.120627;0.128368;0.136001;0.142782;0.148147;0.157861;0.164093;0.173609;0.178738;0.190556;0.199613;0.210686;0.220965;0.231736;0.240476;0.253352;0.264659;0.284437;0.293854;0.306037;0.320355,0.002097;0.000817;0.000927;0.001369;0.001604;0.001836;0.002177;0.002435;0.002935;0.003023;0.003581;0.005217;0.006164;0.005699;0.006419;0.007938;0.009677;0.010121;0.01278;0.013282;0.016386;0.017689;0.020902;0.02591;0.025706;0.033047;0.03621;0.037265;0.042897;0.048755,405;405;405;405;405;405;405;405;405;405;405;405;405;405;405;405;405;405;405;405;405;405;405;405;405;405;405;405;405;405,0;8358;9371;10703;12116;14055;16110;18325;20756;23467;26530;30025;34040;38671;44022;50205;57340;65555;74986;85777;98080;112055;127870;145701;165732;188155;213170;240985;271816;305887,0;7675;8339;9084;9876;10701;11527;12354;13182;14011;14841;15672;16504;17337;18171;19006;19842;20679;21517;22356;23196;24037;24879;25722;26566;27411;28257;29104;29952;30801,1;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22,51;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30,52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52,380659;431305;494600;557885;642250;739087;844254;957769;1083817;1230796;1398664;1591612;1813814;2073659;2371104;2718735;3120715;3581211;4112792;4715420;5401653;6179855;7058384;8045593;9149833;10387867;11759637;13286096;14971384;16828045
-29,0.08251;0.064695,0.001307;0.017536,379;379,0;7081,0;7080,1;14,13;0,14;14,321308;325575
