index,steps,rules,atoms,variables,sccs,t_solve_list,t_ground_list,t_parse_list,mem_start_bytes_list,mem_solve_bytes_list,ground_file_bytes_list
28,3,1,-1,-1,-1,0.011s;0.497s;0.802s;-1,4.895s;22.112s;24.379s;-1,0.005s;0.007s;0.008s;-1,27136000;41615360;386859008;-1,26845184;40620032;386859008;-1,14456297;373338010;567903993;-1
29,1,1,-1,-1,-1,0.01s;-1,4.112s;-1,0.008s;-1,24850432;-1,25108480;-1,13076985;-1
30,2,1,-1,-1,-1,0.011s;1.148s;-1,5.204s;24.08s;-1,0.005s;0.007s;-1,27000832;41041920;-1,27168768;41078784;-1,14606091;478492688;-1
31,2,1,-1,-1,-1,0.011s;0.54s;-1,5.116s;20.743s;-1,0.004s;0.006s;-1,26988544;41218048;-1,27193344;41414656;-1,14395463;385786162;-1
32,3,1,-1,-1,-1,0.011s;0.38s;0.636s;-1,4.926s;12.901s;18.054s;-1,0.004s;0.008s;0.007s;-1,27320320;42102784;354705408;-1,26767360;39829504;354705408;-1,13685403;339819763;509981264;-1
33,3,1,-1,-1,-1,0.013s;0.687s;1.357s;-1,5.084s;20.541s;24.257s;-1,0.005s;0.006s;0.009s;-1,26984448;40255488;404758528;-1,27193344;40460288;404758528;-1,13789833;391742818;616418457;-1
34,3,1,-1,-1,-1,0.011s;0.897s;1.643s;-1,4.234s;16.167s;23.635s;-1,0.004s;0.006s;0.006s;-1,26984448;40730624;433332224;-1,27193344;40931328;433401856;-1,13888601;423045561;677771863;-1
35,3,1,-1,-1,-1,0.011s;0.666s;1.298s;-1,3.683s;14.762s;21.142s;-1,0.005s;0.008s;0.006s;-1,26976256;39895040;387465216;-1,27189248;39964672;387465216;-1,13071857;373733434;587993169;-1
36,3,1,-1,-1,-1,0.011s;0.43s;0.771s;-1,4.152s;14.695s;20.747s;-1,0.006s;0.008s;0.009s;-1,27144192;42205184;372953088;-1,27152384;42205184;372953088;-1,13790519;358790942;545626297;-1
37,3,1,-1,-1,-1,0.011s;0.765s;1.466s;-1,4.713s;24.513s;25.42s;-1,0.005s;0.008s;0.007s;-1,26996736;43380736;440696832;-1,26775552;43380736;440696832;-1,15020540;429201001;540868757;-1
38,3,28512565,652407,787367,0,0.011s;0.399s;0.648s;4.143s,4.184s;12.739s;18.698s;25.063s,0.006s;0.009s;0.007s;0.007s,27439104;42483712;365436928;533991424,27443200;42483712;365436928;582647808,14087922;351008888;526803470;702600292
39,3,1,-1,-1,-1,0.011s;0.485s;1.033s;-1,4.559s;15.054s;21.801s;-1,0.006s;0.007s;0.007s;-1,26984448;40624128;385171456;-1,27189248;40824832;385171456;-1,13790458;371430875;574062948;-1
40,3,26814101,618431,745214,0,0.011s;0.358s;0.596s;3.669s,3.96s;12.051s;17.897s;23.313s,0.006s;0.009s;0.008s;0.009s,27037696;41721856;345432064;503951360,27189248;41721856;345432064;515420160,13288784;330129596;495460599;660792162
41,3,1,-1,-1,-1,0.011s;0.684s;1.284s;-1,4.451s;14.813s;21.576s;-1,0.005s;0.009s;0.009s;-1,27037696;41480192;391606272;-1,27197440;39219200;391606272;-1,13026479;378025686;594348375;-1
42,3,1,-1,-1,-1,0.011s;0.429s;0.769s;-1,4.022s;13.94s;19.488s;-1,0.006s;0.007s;0.007s;-1,26980352;41938944;361639936;-1,27193344;41938944;361639936;-1,13509885;346970565;527800955;-1
43,3,1,-1,-1,-1,0.011s;0.7s;1.371s;-1,4.184s;15.893s;22.867s;-1,0.006s;0.007s;0.007s;-1,26996736;40521728;409886720;-1,27164672;40718336;409899008;-1,14040258;398731362;627408460;-1
44,3,1,-1,-1,-1,0.01s;1.041s;2.013s;-1,4.688s;16.286s;24.984s;-1,0.005s;0.008s;0.008s;-1,26992640;42307584;461750272;-1,26779648;42307584;461750272;-1,13891569;450816789;735841247;-1
45,4,1,-1,-1,-1,0.011s;0.467s;0.626s;3.805s;-1,3.904s;12.182s;17.657s;23.315s;-1,0.006s;0.009s;0.007s;0.006s;-1,26980352;42057728;357261312;521691136;-1,27193344;42057728;357261312;521691136;-1,13636080;342463510;513957416;685454280;-1
46,4,1,-1,-1,-1,0.011s;0.412s;0.688s;0.972s;-1,4.926s;13.965s;20.957s;27.455s;-1,0.005s;0.007s;0.008s;0.006s;-1,27029504;43278336;383004672;560324608;-1,27193344;43278336;380776448;560324608;-1,14910387;369335900;554255528;739177455;-1
47,3,1,-1,-1,-1,0.011s;0.386s;0.655s;-1,4.255s;12.846s;18.579s;-1,0.004s;0.005s;0.008s;-1,27197440;42491904;363728896;-1,27226112;42491904;363728896;-1,14086075;349222596;524114958;-1
48,3,1,-1,-1,-1,0.011s;0.421s;0.751s;-1,3.846s;13.704s;19.21s;-1,0.004s;0.008s;0.008s;-1,27201536;41660416;354586624;-1,27242496;41660416;354586624;-1,13214579;339615826;516589264;-1
49,3,1,-1,-1,-1,0.012s;1.098s;2.111s;-1,4.214s;17.416s;25.888s;-1,0.005s;0.009s;0.009s;-1,27205632;42401792;468787200;-1,27377664;42401792;468987904;-1,13997725;460074685;750128521;-1
50,4,1,-1,-1,-1,0.011s;0.4s;0.663s;0.927s;-1,4.282s;14.083s;19.153s;25.002s;-1,0.006s;0.01s;0.007s;0.008s;-1,27033600;31932416;366907392;537042944;-1,27234304;32157696;367108096;537112576;-1,4913589;354283914;531676586;709069258;-1
51,4,1,-1,-1,-1,0.011s;0.419s;0.749s;1.17s;-1,3.697s;13.452s;19.143s;26.549s;-1,0.005s;0.006s;0.008s;0.008s;-1,27213824;41574400;353398784;525029376;-1,27406336;41574400;353599488;525033472;-1,13120245;340127864;517307604;694488938;-1
52,3,1,-1,-1,-1,0.01s;0.521s;1.055s;-1,4.343s;15.836s;24.473s;-1,0.004s;0.007s;0.008s;-1,27500544;42020864;380096512;-1,27635712;39927808;380100608;-1,13611967;366139365;565974708;-1
53,3,1,-1,-1,-1,0.011s;0.536s;1.102s;-1,4.311s;15.618s;23.097s;-1,0.005s;0.006s;0.006s;-1,27332608;42307584;383578112;-1,27492352;42307584;383578112;-1,13887393;369754532;571663430;-1
54,3,1,-1,-1,-1,0.012s;0.404s;0.668s;-1,4.663s;15.768s;27.551s;-1,0.006s;0.006s;0.006s;-1,27521024;42692608;370765824;-1,27680768;40603648;370769920;-1,14315229;356567002;535106960;-1
55,3,1,-1,-1,-1,0.012s;0.415s;0.688s;-1,4.884s;13.734s;22.231s;-1,0.006s;0.007s;0.007s;-1,27340800;42913792;374775808;-1,27500544;42913792;374775808;-1,14522402;360743606;541381025;-1
56,3,1,-1,-1,-1,0.01s;0.451s;0.85s;-1,4.534s;16.024s;22.51s;-1,0.006s;0.007s;0.007s;-1,27512832;41046016;384557056;-1,27672576;41132032;384561152;-1,14418484;370887106;564158748;-1
57,3,1,-1,-1,-1,0.011s;0.479s;0.879s;-1,5.206s;16.881s;25.338s;-1,0.005s;0.007s;0.007s;-1,27516928;43380736;397381632;-1,27676672;43380736;397549568;-1,15014320;385786549;586823310;-1
58,3,1,-1,-1,-1,0.011s;0.393s;0.657s;-1,4.249s;14.751s;19.962s;-1,0.005s;0.007s;0.007s;-1,27496448;42520576;366637056;-1,27656192;42520576;366637056;-1,14112237;352253384;528651261;-1
59,2,1,-1,-1,-1,0.011s;0.948s;-1,4.689s;18.873s;-1,0.005s;0.006s;-1,27516928;43384832;-1,27672576;43384832;-1,15018573;450939111;-1
60,2,1,-1,-1,-1,0.01s;1.307s;-1,4.408s;18.504s;-1,0.005s;0.007s;-1,27652096;42557440;-1,27652096;42557440;-1,14148325;502693088;-1
61,4,1,-1,-1,-1,0.01s;0.399s;0.656s;3.932s;-1,4.241s;13.233s;19.212s;25.582s;-1,0.005s;0.007s;0.008s;0.006s;-1,27508736;42553344;368386048;540516352;-1,27648000;42553344;368398336;540516352;-1,14162264;355561796;533609513;711658229;-1
62,3,1,-1,-1,-1,0.01s;0.553s;1.073s;-1,4.124s;15.933s;22.278s;-1,0.004s;0.007s;0.009s;-1,27348992;42430464;388501504;-1,27508736;42430464;388501504;-1,14012332;374888564;579522179;-1
63,3,1,-1,-1,-1,0.01s;0.512s;1.031s;-1,4.315s;18.676s;21.903s;-1,0.006s;0.006s;0.006s;-1,27508736;41627648;371236864;-1,27668480;41627648;371236864;-1,13193807;356881695;551564061;-1
64,2,1,-1,-1,-1,0.01s;1.454s;-1,3.587s;18.764s;-1,0.005s;0.008s;-1,27340800;41050112;-1,27500544;41050112;-1,12561034;490803927;-1
65,3,1,-1,-1,-1,0.011s;0.656s;1.291s;-1,4.265s;16.479s;24.389s;-1,0.004s;0.008s;0.008s;-1,27512832;41938944;396791808;-1,27652096;41938944;396791808;-1,13516385;383402431;603276408;-1
66,4,1,-1,-1,-1,0.01s;0.364s;0.612s;0.915s;-1,4.4s;12.162s;18.31s;24.254s;-1,0.004s;0.007s;0.007s;0.008s;-1,27348992;41816064;346972160;506245120;-1,27508736;41816064;346972160;506245120;-1,13386842;331723641;497837841;663952441;-1
67,4,1,-1,-1,-1,0.01s;0.52s;0.947s;1.368s;-1,4.463s;16.893s;19.567s;25.044s;-1,0.004s;0.005s;0.007s;0.006s;-1,27353088;41111552;361586688;543010816;-1,27521024;41111552;359464960;543014912;-1,12637673;346805595;535879560;724954659;-1
68,3,1,-1,-1,-1,0.011s;0.744s;1.433s;-1,4.359s;20.207s;27.767s;-1,0.005s;0.007s;0.007s;-1,27361280;42803200;418226176;-1,27521024;42803200;418226176;-1,14398843;405750722;638547329;-1
69,2,19680343,513189,568395,0,0.011s;0.368s;2.675s,4.102s;12.6s;17.59s,0.006s;0.008s;0.006s,27529216;41508864;339017728,27688960;39399424;348667904,13065898;323421880;485373033
70,1,14829143,462190,438242,0,0.011s;1.491s,5.287s;20.229s,0.005s;0.006s,27504640;41353216,27652096;49561600,14391399;367698150
71,3,1,-1,-1,-1,0.012s;0.402s;0.663s;-1,4.408s;15.398s;23.581s;-1,0.005s;0.007s;0.007s;-1,27348992;40767488;362840064;-1,27508736;40853504;360714240;-1,13812807;348280592;522706213;-1
72,3,1,-1,-1,-1,0.011s;0.55s;1.115s;-1,4.614s;19.695s;26.897s;-1,0.004s;0.007s;0.008s;-1,27348992;42008576;379838464;-1,27508736;42008576;379838464;-1,13588533;365846167;565657671;-1
74,3,1,-1,-1,-1,0.011s;0.665s;1.333s;-1,4.123s;17.85s;26.723s;-1,0.005s;0.007s;0.007s;-1,25083904;38559744;395513856;-1,25501696;38731776;395628544;-1,13612049;385427845;606549841;-1
75,4,1,-1,-1,-1,0.01s;0.365s;0.606s;0.872s;-1,3.96s;12.72s;17.412s;24.03s;-1,0.005s;0.006s;0.007s;0.008s;-1,25538560;38572032;348872704;510005248;-1,25387008;38785024;348872704;509468672;-1,13438176;336487823;504994013;673502842;-1
76,3,1,-1,-1,-1,0.01s;0.427s;0.805s;-1,3.879s;14.705s;20.443s;-1,0.005s;0.008s;0.007s;-1,25899008;39170048;384253952;-1,25587712;39407616;384253952;-1,13699491;372560038;566317105;-1
77,3,1,-1,-1,-1,0.011s;0.438s;0.792s;-1,3.872s;16.297s;23.511s;-1,0.005s;0.006s;0.007s;-1,26034176;40214528;363098112;-1,25686016;40214528;363229184;-1,13708893;351537480;534717818;-1
78,3,1,-1,-1,-1,0.01s;0.633s;1.251s;-1,3.218s;15.184s;23.641s;-1,0.005s;0.006s;0.006s;-1,26034176;37834752;378478592;-1,26198016;37478400;378167296;-1,12313159;367472011;577192520;-1
79,3,1,-1,-1,-1,0.01s;0.394s;0.651s;-1,4.173s;14.753s;21.813s;-1,0.004s;0.006s;0.007s;-1,25911296;40247296;354492416;-1,26210304;40247296;354504704;-1,13713032;342572038;514117881;-1
80,1,1,-1,-1,-1,0.011s;-1,4.492s;-1,0.005s;-1,26050560;-1,26304512;-1,13631410;-1
81,3,1,-1,-1,-1,0.011s;0.392s;0.656s;-1,4.202s;13.985s;26.072s;-1,0.005s;0.006s;0.007s;-1,25903104;40230912;354553856;-1,26075136;40230912;354553856;-1,13685103;341610502;512704831;-1
82,2,1,-1,-1,-1,0.011s;1.178s;-1,4.434s;21.231s;-1,0.005s;0.007s;-1,26013696;39895040;-1,25747456;39354368;-1,14256055;481826514;-1
83,3,1,-1,-1,-1,0.01s;0.446s;0.916s;-1,4.334s;16.3s;25.8s;-1,0.006s;0.007s;0.01s;-1,26075136;39718912;373215232;-1,26247168;39198720;373219328;-1,14089538;361715240;550163199;-1
84,4,1,-1,-1,-1,0.01s;0.395s;0.657s;0.928s;-1,4.146s;17.263s;19.216s;26.007s;-1,0.005s;0.006s;0.006s;0.006s;-1,26243072;40050688;357031936;522567680;-1,26394624;40050688;357040128;522780672;-1,13466599;345044683;517852812;690660941;-1
85,3,1,-1,-1,-1,0.011s;0.461s;0.85s;-1,4.345s;15.955s;22.762s;-1,0.004s;0.006s;0.006s;-1,25853952;40615936;372011008;-1,26173440;40615936;372170752;-1,14090205;360461233;548280675;-1
86,3,1,-1,-1,-1,0.011s;1.086s;2.115s;-1,4.091s;16.735s;25.549s;-1,0.005s;0.008s;0.008s;-1,26198016;39346176;454807552;-1,26374144;38772736;453984256;-1,13602986;446115656;727527251;-1
87,2,1,-1,-1,-1,0.011s;0.782s;-1,4.758s;19.133s;-1,0.007s;0.009s;-1,26165248;41447424;-1,26333184;41447424;-1,14939063;424403349;-1
88,3,1,-1,-1,-1,0.011s;0.447s;0.814s;-1,4.863s;16.241s;23.272s;-1,0.005s;0.007s;0.007s;-1,26038272;39796736;373698560;-1,25767936;39305216;373149696;-1,14188403;362421486;551272836;-1
89,3,1,-1,-1,-1,0.01s;0.563s;1.117s;-1,4.384s;17.607s;25.857s;-1,0.008s;0.012s;0.007s;-1,26189824;39735296;387043328;-1,26361856;39215104;387211264;-1,14088907;376426408;581905391;-1
90,3,1,-1,-1,-1,0.012s;0.399s;0.664s;-1,4.259s;14.103s;22.166s;-1,0.005s;0.007s;0.007s;-1,26181632;39518208;360271872;-1,26353664;39743488;360505344;-1,13911774;348684870;523321973;-1
91,3,1,-1,-1,-1,0.011s;0.411s;0.693s;-1,5.316s;16.551s;26.249s;-1,0.006s;0.007s;0.007s;-1,26320896;41529344;383512576;-1,25776128;40513536;382980096;-1,15013315;372303885;558707871;-1
92,3,1,-1,-1,-1,0.01s;0.478s;0.842s;-1,4.099s;17.561s;28.159s;-1,0.006s;0.006s;0.006s;-1,26476544;40198144;377700352;-1,26202112;40374272;377724928;-1,13940558;365945299;556493924;-1
93,4,1,-1,-1,-1,0.011s;0.399s;0.654s;0.927s;-1,4.29s;13.873s;23.219s;28.048s;-1,0.006s;0.007s;0.007s;0.007s;-1,26595328;40808448;356159488;523722752;-1,26198016;40808448;356331520;523722752;-1,13885315;343602092;515653252;687704412;-1
94,3,1,-1,-1,-1,0.01s;0.395s;0.651s;-1,4.222s;14.232s;19.611s;-1,0.005s;0.007s;0.006s;-1,26460160;42643456;359149568;-1,26820608;42643456;359149568;-1,13786673;343947922;516174116;-1
95,4,1,-1,-1,-1,0.012s;0.368s;0.617s;0.883s;-1,4.002s;13.013s;19.684s;26.48s;-1,0.005s;0.006s;0.008s;0.007s;-1,26628096;42270720;345587712;505499648;-1,26230784;39006208;345759744;505516032;-1,13387649;332714138;499323912;665935926;-1
