index,t_ground_list,t_solve_list,consts_size_list,rules_list,atoms_list,rel_facts_list,rel_nonfacts_list,rel_total_list,ground_file_bytes_list
160,10.473082;6.303668;7.33946;8.414416;9.80779,0.401375;0.181245;0.237193;0.585496;3.161377,431;431;431;431;431,0;329879;1382346;2518877;3656683,0;329878;420740;512395;605590,0;3;3;3;3,7;4;4;4;4,7;7;7;7;7,14975234;51772466;91305387;130846554;176053258
161,11.020822;4.719518;5.813155;6.859987;7.931175,0.431841;0.109012;0.178375;0.19232;2.131054,439;439;439;439;439,0;339138;595313;937879;1281678,0;339136;431802;525251;620176,0;1;1;1;1,7;6;6;6;6,7;7;7;7;7,15407439;26793184;40990725;55196519;69419165
162,10.363522;6.190562;7.733157;8.304875;9.850466;10.717566;11.469787;12.505034;14.165039;15.117719;16.153932;17.089294,0.395756;0.177385;0.240663;0.552123;0.707553;0.763615;0.773577;0.914899;0.840764;1.122108;1.203116;5.034892,439;439;439;439;439;439;439;439;439;439;439;439,0;325949;1366054;2489659;3614597;4913477;6213024;7512755;8812722;10113004;11413766;12715115,0;325938;416269;507406;600127;693989;787860;881737;975618;1069503;1163392;1257285,0;6;6;6;6;6;6;6;6;6;6;6,18;12;12;12;12;12;12;12;12;12;12;12,18;18;18;18;18;18;18;18;18;18;18;18,14791233;51174146;90275832;129385755;174093297;218821954;263558996;308308619;353267413;401769742;450653542;499566611
163,10.33841;6.199571;7.338767;8.349034;9.565164;10.686488;11.719292;12.698959;13.841903;15.024399;16.034209;17.105013;18.217437;19.417136;20.319732;21.410824;-1,0.39786;0.176696;0.23812;0.385275;0.435476;0.453593;0.4787;0.493462;0.528277;0.554364;0.575449;0.611342;0.623325;0.637484;0.674361;0.671323;-1,433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;-1,0;329889;1382373;2518925;3656774;4882447;6108183;7333973;8559819;9785737;11011745;12237863;13464113;14690519;15917107;17143905;-1,0;329882;420753;512422;605634;699673;793749;887838;981928;1076019;1170111;1264204;1358298;1452393;1546489;1640586;-1,0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;-1,15;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;-1,15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;-1,14975225;51776640;91309539;130854886;173220186;215589679;257963369;300341247;343190140;389160314;435400871;481653991;527911265;574176885;620455045;666745733;-1
164,12.017947;6.929645;8.09389;9.787611;10.786738;11.875042,0.460397;0.201628;0.584302;0.82547;0.849686;3.324958,452;452;452;452;452;452,0;357424;1498228;2730945;4154847;5579351,0;357422;455634;555770;657069;758369,0;1;1;1;1;1,11;10;10;10;10;10,11;11;11;11;11;11,16263221;56129026;98946112;147906626;196884046;245869844
165,11.789008;4.805204;6.12054;7.371971;8.299884;9.353137;10.440819;11.689223;12.741646;13.914715;15.011898;15.791742;17.728192;18.538416;19.736245;20.301234;-1,0.451661;0.11188;0.182465;0.197648;0.234224;0.243725;0.245095;0.256723;0.268972;0.305947;0.322615;0.320183;0.319646;0.341403;0.34483;0.352711;-1,452;452;452;452;452;452;452;452;452;452;452;452;452;452;452;452;-1,0;351465;616500;971489;1327740;1684512;2041311;2398149;2755011;3111916;3468874;3825884;4183022;4540197;4897550;5255034;-1,0;351458;447222;543786;641859;740437;839017;937599;1036181;1134764;1233348;1331932;1430518;1529104;1627692;1726281;-1,0;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;-1,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1,7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;-1,15980895;27763670;42472396;57185165;71914786;86648616;101382449;116153256;131956142;147857461;163857196;179861134;195865064;211873202;227893940;243910462;-1
166,11.150022;7.84044;9.033198;10.025021;11.866643;12.8181;13.920375;15.189744;16.107877;17.325816;18.329154;19.362497;20.81469;-1,0.424152;0.245378;0.305211;0.92078;1.16474;1.222824;1.272655;1.333375;1.374012;1.554865;1.482673;1.638216;1.675991;-1,443;443;443;443;443;443;443;443;443;443;443;443;443;-1,0;341492;2096057;3937614;5780503;7896340;10012724;12129110;14245498;16361888;18478280;20594674;22711070;-1,0;341489;435722;530773;627434;725532;823630;921729;1019829;1117930;1216032;1314135;1412239;-1,0;3;3;3;3;3;3;3;3;3;3;3;3;-1,15;12;12;12;12;12;12;12;12;12;12;12;12;-1,15;15;15;15;15;15;15;15;15;15;15;15;15;-1,15518641;74902184;137114444;199330736;270324258;341334705;412345151;483355598;560391225;637840644;715384220;792927796;870471371;-1
167,11.468519;12.282594;14.063949;14.428404;16.763564;17.857717;18.991534;20.406018;21.622501;-1,0.441791;0.410716;0.455449;2.016369;2.432516;2.54445;2.585459;2.819439;2.972875;-1,452;452;452;452;452;452;452;452;452;-1,0;350932;4032762;7803966;11576556;15817700;20059424;24301149;28542875;-1,0;350929;448327;546563;646475;748483;850491;952500;1054510;-1,0;7;7;7;7;7;7;7;7;-1,13;6;6;6;6;6;6;6;6;-1,13;13;13;13;13;13;13;13;13;-1,15959375;137124130;261193709;385267311;524405040;663559696;802718560;942098621;1093492157;-1
168,11.616812;8.033793;8.997692;10.114263;11.704341;12.536933;13.91403;14.549375;15.973996;16.87649;17.824747;-1,0.421693;0.237198;0.301457;0.680725;0.818818;1.044676;1.2469;1.550383;1.627801;1.624855;1.967126;-1,433;433;433;433;433;433;433;433;433;433;433;-1,0;334207;2046458;3845099;5644982;7624679;9604925;11674864;13744863;15814914;17885050;-1,0;334199;427239;521065;616388;712807;809241;905976;1002713;1099452;1196193;-1,0;5;5;5;5;5;5;5;5;5;5;-1,9;4;4;4;4;4;4;4;4;4;4;-1,9;9;9;9;9;9;9;9;9;9;9;-1,15155949;73136080;133928005;194728180;261307844;327912843;397401263;466889686;536800101;612227951;688118681;-1
169,9.25236;14.537078;15.617725;16.668248;17.788575;18.881794;20.552363;20.867219;21.975672;22.940174;23.562262;-1,0.347656;0.49445;0.514036;0.960153;0.930099;0.994075;1.012291;1.077521;1.08689;1.139414;1.249105;-1,411;411;411;411;411;411;411;411;411;411;411;-1,0;308258;5765947;11302540;16840255;22544663;28249569;33954545;39659610;45364785;51070093;-1,0;308259;394860;482176;570817;660477;750137;839798;929460;1019123;1108787;-1,0;7;7;7;7;7;7;7;7;7;7;-1,19;12;12;12;12;12;12;12;12;12;12;-1,19;19;19;19;19;19;19;19;19;19;19;-1,13948987;191539927;371705863;551875857;737402728;922950719;1108502907;1294055083;1479615657;1677984487;1880658416;-1
170,9.128349;3.920758;4.9598;5.860398;6.685129,0.344819;0.077881;0.130513;0.152898;1.774392,403;403;403;403;403,0;306494;537186;846764;1157374,0;306492;390369;474920;560679,0;3;3;3;3,12;9;9;9;9,12;12;12;12;12,13859327;24117450;36937933;49770900;62616485
171,10.244698;4.904002;6.032032;7.395669;8.174432;9.192715;10.168216;11.252497;12.255638;13.250688,0.394337;0.115541;0.189088;0.296653;0.363718;0.406653;0.446672;0.477886;0.496296;3.668678,435;435;435;435;435;435;435;435;435;435,0;333024;907855;1567886;2229051;2979157;3729324;4479548;5229836;5980210,0;333012;424238;516204;609535;703643;797789;891949;986111;1080275,0;10;10;10;10;10;10;10;10;10,10;0;0;0;0;0;0;0;0;0,10;10;10;10;10;10;10;10;10;10,15100265;36625522;60924519;85227571;112392839;139562313;166731788;193901266;221283869;250620355
172,10.308472;4.258561;5.78925;6.364737;7.423635;8.399326,0.394913;0.079413;0.146647;0.155989;0.184502;2.214973,419;419;419;419;419;419,0;333014;584042;920263;1257534;1595235,0;333013;423934;515564;608440;701734,0;1;1;1;1;1,10;9;9;9;9;9,10;10;10;10;10;10,15100270;26258096;40185454;54116880;68069363;82017632
173,10.026044;4.654601;5.700132;6.707219;7.721848;8.709419;9.843103;10.701199;11.58024;12.696499;13.457143;14.618934;15.332497;16.273885;17.343923;18.622736;19.209953;21.301939;-1,0.357359;0.113257;0.166906;0.275562;0.334713;0.359848;0.422767;0.380925;0.411831;0.426844;0.467878;0.472744;0.486068;0.521478;0.554715;0.547572;0.601098;0.620835;-1,409;409;409;409;409;409;409;409;409;409;409;409;409;409;409;409;409;409;-1,0;312560;851814;1471081;2091387;2795289;3499191;4203093;4906995;5610897;6314799;7018701;7722603;8426505;9130407;9834309;10538211;11242113;-1,0;312549;398386;484919;572704;661193;749682;838171;926660;1015149;1103638;1192127;1280616;1369105;1457594;1546083;1634572;1723061;-1,0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;-1,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1,6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;-1,14145983;34340062;57138770;79945758;105441631;130937505;156433378;181929252;207425125;233367495;260972802;288746007;316523415;344296620;372074028;399847234;427620438;455397847;-1
174,11.009684;7.538264;8.592889;9.457642;11.083042;12.039847;13.036641;13.870869;14.793832;15.966236;17.022587,0.406343;0.225611;0.282739;0.619345;0.79075;0.773001;0.817313;0.837903;0.875715;3.642122;4.31606,443;443;443;443;443;443;443;443;443;443;443,0;334577;2053126;3856911;5661940;7644419;9627625;11611183;13595237;15579940;17565477,0;334571;427108;520404;615128;710964;806801;902640;998481;1094324;1190169,0;3;3;3;3;3;3;3;3;3;3,18;15;15;15;15;15;15;15;15;15;15,18;18;18;18;18;18;18;18;18;18;18,15148468;73306460;134242399;195182369;261834113;328519518;395217411;461944552;529426053;601999641;674996186
175,9.532798;-1,0.37062;-1,422;-1,0;-1,0;-1,0;-1,292;-1,292;-1,14377275;-1
176,10.678784;4.41766;5.700911;6.615007;7.674018;8.76979;9.791893;10.945832;11.906969;12.955509;14.172541;15.088144;15.99032;17.284032;18.134387;19.100644;20.420115;-1,0.417505;0.084579;0.153543;0.167003;0.183258;0.207034;0.205747;0.220237;0.23136;0.24715;0.257849;0.264215;0.277257;0.298237;0.297633;0.309274;0.326636;-1,430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;-1,0;343740;603397;950615;1299041;1647954;1996867;2345780;2694693;3043606;3392519;3741432;4090345;4439258;4788171;5137084;5485997;-1,0;343737;437578;532196;628262;724812;821362;917912;1014462;1111012;1207562;1304112;1400662;1497212;1593762;1690312;1786862;-1,0;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;-1,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;-1,15572250;27101995;41481581;55861009;70261497;84661984;99062472;113462959;128109183;143554107;159183391;174812672;190441953;206071234;221700515;237329797;252959078;-1
178,10.543105;6.093777;7.318564;8.311857;9.59755;10.656161;12.683197;13.129505;13.999029;14.936817;16.711172;16.889061;17.714586;19.1552;20.151638;20.921122;21.807272;-1,0.40956;0.177748;0.235704;0.367355;0.434572;0.440585;0.473932;0.484184;0.521102;0.547627;0.584417;0.576134;0.607625;0.625791;0.664102;0.660991;0.676829;-1,436;436;436;436;436;436;436;436;436;436;436;436;436;436;436;436;436;-1,0;339698;1422914;2592510;3763443;5027289;6291250;7555298;8819440;10083684;11348039;12612515;13877123;15141875;16406784;17671864;18937130;-1,0;339606;433538;528236;624385;721457;818531;915607;1012685;1109765;1206847;1303931;1401017;1498105;1595195;1692287;1789381;-1,0;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;-1,101;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;-1,101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;-1,15396147;53284145;93979732;134683543;178364103;222048853;265737789;309430910;353779566;401175633;448858631;496550000;544245546;591945270;639657566;687378235;735107275;-1
179,9.374745;5.550091;6.645042;7.491705;8.835687;9.810637;10.791972;12.079738;12.802126;13.740677,0.358671;0.150748;0.207021;0.457007;0.628713;0.654867;0.734498;0.78729;1.061365;4.053464,416;416;416;416;416;416;416;416;416;416,0;313983;1315337;2396739;3479360;4728850;5978895;7229008;8479206;9729517,0;313977;400679;488138;577048;667030;757025;847026;937029;1027034,0;6;6;6;6;6;6;6;6;6,12;6;6;6;6;6;6;6;6;6,12;12;12;12;12;12;12;12;12;12,14185663;49191042;86801049;124415102;167402701;210407215;253415933;296428852;339445972;386038982
180,9.480704;4.089204;5.131352;6.074457,0.363883;0.076986;0.142261;1.644659,420;420;420;420,0;319010;559632;882023,0;319006;406244;494283,0;4;4;4,4;0;0;0,4;4;4;4,14416861;25101802;38446328;51799100
181,9.959329;4.247321;5.353235;6.247828;7.308907;8.50491;9.433983;12.447738;11.545439;12.435256;13.438449;14.435106;15.407283;16.417211;17.856858;18.423978;19.468476;20.380973;21.399748;-1,0.387212;0.083607;0.145349;0.160783;0.182098;0.191615;0.23883;0.209882;0.215565;0.233728;0.244392;0.253059;0.268757;0.280512;0.287162;0.295025;0.306647;0.331414;0.325062;-1,425;425;425;425;425;425;425;425;425;425;425;425;425;425;425;425;425;425;425;-1,0;329845;579036;912259;1246596;1581392;1916188;2250984;2585780;2920576;3255372;3590168;3924964;4259760;4594556;4929352;5264148;5598944;5933740;-1,0;329841;420056;511004;603286;696018;788750;881482;974214;1066946;1159678;1252410;1345142;1437874;1530606;1623338;1716070;1808802;1901534;-1,0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;-1,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1,6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;-1,14926029;25991136;39791941;53596807;67418524;81236032;95057748;108879465;122819972;137645194;152646558;167647920;182649282;197650644;212652006;227649166;242650529;257651891;272653253;-1
182,10.394244;5.057641;6.196106;7.584418;8.362911;9.414241;10.504374;11.736989;13.196912;13.767547;14.941347;15.954934;17.019417;18.39125;19.06875;19.89514;21.102666;-1,0.406377;0.126776;0.186709;0.284762;0.35651;0.398847;0.414992;0.424074;0.464178;0.474059;0.510318;0.522642;0.550221;0.583457;0.613811;0.62324;0.640439;-1,432;432;432;432;432;432;432;432;432;432;432;432;432;432;432;432;432;-1,0;339112;925933;1599134;2273518;3038061;3802674;4567387;5332235;6097258;6862501;7628014;8393852;9160075;9926748;10693941;11461729;-1,0;339106;432052;525758;620873;716756;812640;908525;1004411;1100298;1196186;1292075;1387965;1483856;1579748;1675641;1771535;-1,0;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;-1,20;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;-1,20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;-1,15358231;37323184;62095729;86876532;114557597;142242858;169932308;197630152;225623081;255537179;285738281;315956132;346190720;376446235;406726865;437032594;467376009;-1
183,9.421973;4.079918;5.453033;6.068132;7.056019;8.044845;8.932488,0.345843;0.077576;0.141587;0.155683;0.16478;0.245159;2.313114,413;413;413;413;413;413;413,0;309562;543520;856393;1170432;1484980;1799602,0;309560;394524;480215;567265;654773;742283,0;5;5;5;5;5;5,17;12;12;12;12;12;12,17;17;17;17;17;17;17,13980238;24369507;37329572;50297899;63283072;76272445;89266014
184,10.260618;4.358009;5.492671;6.500663;7.512441;8.600208;9.626692;10.647148;11.678814;12.617273;13.775761;14.749225;15.840453;16.868518;18.057765;18.821201;20.185112;20.495141;-1,0.393359;0.089609;0.151345;0.167277;0.179815;0.194253;0.203644;0.215896;0.228845;0.24296;0.246024;0.26087;0.268862;0.292139;0.310809;0.302178;0.305559;0.319427;-1,424;424;424;424;424;424;424;424;424;424;424;424;424;424;424;424;424;424;-1,0;332306;583231;918823;1255803;1593342;1930881;2268420;2605959;2943498;3281037;3618576;3956115;4293654;4631193;4968732;5306271;5643810;-1,0;332266;423085;514748;608075;701958;795841;889724;983607;1077490;1171373;1265256;1359139;1453022;1546905;1640788;1734671;1828554;-1,0;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;-1,92;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;-1,92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;-1,15045577;26190842;40084514;53990627;67913595;81836563;95759531;109682499;123744705;138679400;153790197;168900993;184015991;199126787;214237583;229348378;244459174;259574171;-1
185,10.979232;11.411423;12.633087;13.573955;15.605687;16.520598;17.627164;18.796148;19.777336;21.001786;-1,0.437201;0.369867;0.420919;1.451089;1.747748;1.763801;1.839111;1.961545;1.978942;2.539119;-1,450;450;450;450;450;450;450;450;450;450;-1,0;353373;4060573;7857716;11656125;15829306;20003030;24176775;28350551;32524370;-1,0;353352;451488;550409;650826;753022;855220;957421;1059625;1161832;-1,0;15;15;15;15;15;15;15;15;15;-1,25;10;10;10;10;10;10;10;10;10;-1,25;25;25;25;25;25;25;25;25;25;-1,16025711;138015271;262930795;387854562;524819529;661809840;798800150;936064983;1085191807;1234801991;-1
186,10.469907;16.522406;17.012755;18.00005;20.352445;21.259842;-1,0.410446;0.546626;0.574109;2.58703;3.037947;3.582923;-1,442;442;442;442;442;442;-1,0;341708;6414767;12574825;18736297;25442775;-1,0;341669;437472;534090;632359;733116;-1,0;29;29;29;29;29;-1,44;15;15;15;15;15;-1,44;44;44;44;44;44;-1,15482148;213092265;413531114;613978179;831954001;1049950952;-1
187,9.720013;7.010051;8.079467;9.019593;10.181412;11.202349;12.232713;13.214283;14.224437;15.213371;16.16937;17.225333;18.222288;19.159206;20.169889;21.220079;-1,0.3751;0.202938;0.258796;0.392049;0.441612;0.460818;0.491937;0.498582;0.529892;0.5438;0.579659;0.588844;0.613231;0.622903;0.660991;0.650697;-1,420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;-1,0;323619;1982431;3724137;5467028;7296499;9125991;10955511;12785067;14614668;16444324;18274046;20103846;21933737;23763733;25593849;-1,0;323606;412997;503144;594706;687034;779363;871693;964024;1056356;1148689;1241023;1333358;1425694;1518031;1610369;-1,0;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;-1,18;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-1,18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;-1,14635033;70768143;129603103;188442112;250067232;311692345;373321658;434950959;497383226;564415221;631717717;699020188;766331034;833646048;900965226;968296966;-1
188,9.190021;3.98103;5.083453;5.9465;6.874688;7.854382;8.806278;9.749433;10.682561;11.670149;12.491937;13.540978;14.441904;15.457451;16.365015;17.300098;18.255436;19.19153;20.092582;21.066909;-1,0.34756;0.073486;0.12776;0.147401;0.173182;0.175605;0.17984;0.196838;0.202497;0.222673;0.228301;0.239088;0.246305;0.268401;0.276422;0.278868;0.287972;0.296426;0.321899;0.323307;-1,420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;-1,0;310118;544053;857467;1172041;1487121;1802263;2117496;2432855;2748335;3064026;3379898;3696033;4012480;4329292;4646614;4964419;5282797;5601676;5921245;-1,0;310111;395064;480755;567825;655360;742897;830436;917977;1005518;1093061;1180604;1268148;1355693;1443239;1530787;1618336;1705886;1793436;1880987;-1,0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;-1,11;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;-1,11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;-1,14001736;24395223;37367990;50353229;63351102;76357378;89363634;102378279;115397089;128612785;142676405;156842862;171017632;185217506;199438276;213688314;227963401;242267696;256605396;270984876;-1
189,9.23597;5.539046;6.613489;7.498624;8.439718;9.369289;10.776852;11.347001;12.143441;13.157823;14.145846;15.106775;16.137271;17.421275;17.958212;18.705942;19.774786;20.713287;21.804289;-1,0.359034;0.14803;0.208933;0.213766;0.225056;0.236923;0.24556;0.255507;0.26574;0.277752;0.292486;0.297827;0.316323;0.327931;0.341966;0.350761;0.348383;0.360806;0.368734;-1,420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;-1,0;313097;1302857;2374929;3448140;4521817;5595498;6669183;7742872;8816565;9890262;10963963;12037668;13111377;14185090;15258807;16332528;17406253;18479982;-1,0;313094;399429;486502;574933;663820;752707;841594;930481;1019368;1108255;1197142;1286029;1374916;1463803;1552690;1641577;1730464;1819351;-1,0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;-1,9;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;-1,9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;-1,14138844;48759527;86056721;123357971;160680279;197998377;235320682;272638778;309961081;348340085;388963719;429673392;470383064;511092734;551802403;592516273;633225939;673935604;714645267;-1
190,10.57869;9.130941;10.206197;11.69689,0.416887;0.293371;0.330616;2.59953,437;437;437;437,0;343817;2947037;5637841,0;343816;439011;534997,0;3;3;3,15;12;12;12,15;15;15;15,15576478;102138787;191546728;280967111
191,9.599345;4.116732;5.211082;6.105088;7.156509,0.360596;0.095961;0.135753;0.149331;1.880226,416;416;416;416;416,0;318426;559009;880811;1203975,0;318425;405611;493621;583253,0;1;1;1;1,10;9;9;9;9,10;10;10;10;10,14391129;25071834;38399417;51726821;65079494
192,9.833637;8.66222;9.616343;10.535368;12.115631;13.102437;14.142682;15.080337;16.222546;17.272303;18.27103;19.233682;20.323351;21.48884;-1,0.375783;0.263734;0.314717;0.901327;1.069347;1.152756;1.153501;1.2402;1.248114;1.34939;1.36001;1.410822;1.523018;1.514416;-1,434;434;434;434;434;434;434;434;434;434;434;434;434;434;-1,0;325338;2786790;5331141;7876732;10682678;13489128;16295578;19102028;21908478;24714928;27521378;30327828;33134278;-1,0;325333;415634;506708;599274;693216;787157;881098;975039;1068980;1162921;1256862;1350803;1444744;-1,0;8;8;8;8;8;8;8;8;8;8;8;8;8;-1,14;6;6;6;6;6;6;6;6;6;6;6;6;6;-1,14;14;14;14;14;14;14;14;14;14;14;14;14;14;-1,14716293;96564903;181111154;265661448;358578904;451517490;544456076;637394662;731009140;832094608;933626553;1035162700;1136694644;1238230791;-1
193,10.761551;4.507606;5.65925;7.114382;7.749604,0.4254;0.084542;0.147604;0.216263;2.082992,442;442;442;442;442,0;348448;611657;963619;1316816,0;348446;443525;539393;636743,0;5;5;5;5,5;0;0;0;0,5;5;5;5;5,15794733;27480759;42054689;56632664;71261498
194,9.812177;4.846126;5.9415;6.863749;7.863058;8.920737;9.856503;10.832908;11.829051;12.881294;13.87433;15.3075;16.063308;16.808801;17.693115;18.781284;19.80036;20.75092;-1,0.377075;0.114234;0.170533;0.187394;0.195752;0.221099;0.216239;0.23413;0.242691;0.260665;0.260923;0.280824;0.288068;0.306947;0.306845;0.316442;0.328905;0.348349;-1,428;428;428;428;428;428;428;428;428;428;428;428;428;428;428;428;428;428;-1,0;325284;888046;1533690;2180467;2827696;3474925;4122154;4769383;5416612;6063841;6711070;7358299;8005528;8652757;9299986;9947215;10594444;-1,0;325279;414618;504696;596132;688020;779908;871796;963684;1055572;1147460;1239348;1331236;1423124;1515012;1606900;1698788;1790676;-1,0;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;-1,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1,5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;-1,14712074;35776918;59539399;83305939;107093537;130876928;154660319;178443709;202497434;228226541;254123433;280024525;305921417;331822510;357719401;383620494;409517385;435418478;-1
195,9.439413;4.128615;5.167123;6.142654;7.186153;8.102033;9.080248;10.001843;10.972573;11.841792;12.911752;13.899414;14.834696;15.846267;16.763478;17.694344;18.688004;19.614756;20.697185;-1,0.36732;0.076434;0.149259;0.15438;0.167364;0.199862;0.187001;0.208018;0.208276;0.229113;0.237547;0.25016;0.255218;0.272903;0.278672;0.287488;0.291961;0.306983;0.314601;-1,423;423;423;423;423;423;423;423;423;423;423;423;423;423;423;423;423;423;423;-1,0;318633;557800;879861;1203113;1526868;1850635;2174418;2498221;2822048;3145903;3469790;3793713;4117676;4441683;4765738;5089845;5414008;5738231;-1,0;318625;405504;493130;582170;671689;761209;850730;940252;1029775;1119299;1208824;1298350;1387877;1477405;1566934;1656464;1745995;1835527;-1,0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;-1,15;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;-1,15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;-1,14399783;25025577;38349015;51676506;65020846;78369392;91713728;105062270;118419082;132738429;147229824;161721214;176216801;190712381;205212158;219716129;234220093;248728249;263236400;-1
197,9.269128;4.025376;5.080396;6.009422;6.907072,0.348739;0.075171;0.130823;0.151519;1.846394,417;417;417;417;417,0;311708;547245;862268;1178507,0;311704;397159;483379;571063,0;6;6;6;6,6;0;0;0;0,6;6;6;6;6,14078718;24535572;37584338;50632942;63762171
198,10.074577;7.190292;8.295155;9.240825;10.702737;11.675749;12.626641;13.669604;14.775174;15.833231;16.905176;17.954445;18.919903;19.93344;20.885791;21.748362;-1,0.392102;0.206608;0.269665;0.584476;0.706847;0.718676;0.776068;0.793566;0.818332;0.882655;0.902664;0.915958;0.993093;1.006521;1.037956;1.048836;-1,434;434;434;434;434;434;434;434;434;434;434;434;434;434;434;434;-1,0;332229;2038582;3829548;5621645;7589913;9558640;11527367;13496094;15464821;17433548;19402275;21371002;23339729;25308456;27277183;-1,0;332222;424032;516578;610488;705440;800391;895342;990293;1085244;1180195;1275146;1370097;1465048;1559999;1654950;-1,0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;-1,15;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;-1,15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;-1,15037264;72780988;133277333;193777736;259947670;326134526;392321381;458508237;525362763;597275882;669549417;741822950;814096483;886370017;958643550;1030917083;-1
199,9.669932;5.705722;6.806085;7.738566;8.703825;9.707353;10.72321;11.698519;12.683651;13.745241;14.640937;15.690076;16.615236;17.687531;18.595602;19.615833;20.525257;21.513875;-1,0.371275;0.153048;0.210571;0.212949;0.230876;0.244837;0.253574;0.267811;0.279391;0.292045;0.304798;0.303661;0.327282;0.350138;0.343274;0.363301;0.364475;0.36914;-1,427;427;427;427;427;427;427;427;427;427;427;427;427;427;427;427;427;427;-1,0;323040;1353441;2466151;3580004;4694320;5808643;6922972;8037308;9151652;10266005;11380368;12494742;13609128;14723527;15837940;16952368;18066812;-1,0;323021;412076;501870;593031;684651;776274;867898;959523;1051149;1142776;1234404;1326033;1417663;1509294;1600926;1692559;1784193;-1,0;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;-1,13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1,13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;-1,14609307;50624936;89321287;128025902;166743159;205460415;244181879;282899135;322210463;364270047;406510051;448745851;490981649;533221647;575457444;617697440;659937435;702177429;-1
200,9.177958;3.993755;5.050917;5.958749;6.86954;7.857026,0.345081;0.075706;0.134068;0.146909;0.197383;2.058777,409;409;409;409;409;409,0;309513;543438;856284;1170306;1484802,0;309514;394450;480124;567190;654722,0;3;3;3;3;3,11;8;8;8;8;8,11;11;11;11;11;11,13975997;24365270;37325324;50285225;63266185;76247145
