index,t_ground_list,t_solve_list,consts_size_list,rules_list,atoms_list,rel_facts_list,rel_nonfacts_list,rel_total_list,ground_file_bytes_list
11,11.02916;7.722798;8.788502;9.718654;11.244207;12.147296;13.359203;14.535668;15.505676;16.641305;17.475558;18.509232;19.798583;20.9873;-1,0.438555;0.215488;0.301263;0.923891;1.080792;1.09365;1.183436;1.238713;1.3869;1.372304;1.396712;1.449489;1.588793;1.649044;-1,403;403;403;403;403;403;403;403;403;403;403;403;403;403;-1,0;350196;2141580;4022942;5905683;8070597;10236214;12402047;14568180;16734709;18901742;21069399;23237812;25407125;-1,0;350187;446392;543429;642101;742255;842409;942564;1042720;1142877;1243035;1343194;1443354;1543515;-1,0;1;1;1;1;1;1;1;1;1;1;1;1;1;-1,19;18;18;18;18;18;18;18;18;18;18;18;18;18;-1,19;19;19;19;19;19;19;19;19;19;19;19;19;19;-1,15757175;76342833;139850253;203365900;275950493;348560360;421186966;493924379;572789815;652069440;731480793;810933827;890441089;970006703;-1
12,9.069221;4.022851;5.003428;5.99157,0.358423;0.082959;0.135065;1.578464,378;378;378;378,0;314380;551595;868883,0;314378;400408;487246,0;1;1;1,7;6;6;6,7;7;7;7,14092190;24592343;37697122;50805931
13,9.659842;4.889914;5.869675;6.869488,0.397094;0.108054;0.162582;1.809067,394;394;394;394,0;332587;907326;1566681,0;332584;423721;515600,0;4;4;4,4;0;0;0,4;4;4;4,14939649;36419756;60648268;84885048
14,10.329182;4.377993;5.511391;6.500862;7.566566;8.55282;9.452433;10.646354;11.568984;12.810099;13.59076;14.643707;15.607869;16.426152;17.604104;19.080064;19.699229;20.725369;-1,0.417493;0.093454;0.151119;0.170192;0.167489;0.185143;0.222441;0.224888;0.277634;0.230845;0.265715;0.24761;0.299139;0.319168;0.309804;0.310634;0.325594;0.348527;-1,400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;-1,0;341858;599765;944647;1290762;1637381;1984000;2330619;2677238;3023857;3370476;3717095;4063714;4410333;4756952;5103571;5450190;5796809;-1,0;341854;435093;529116;624615;720610;816605;912600;1008595;1104590;1200585;1296580;1392575;1488570;1584565;1680560;1776555;1872550;-1,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1,7;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;-1,7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;-1,15371912;26788716;41034249;55283825;69550252;83820891;98087318;112357957;126849625;142156473;157647713;173134743;188625980;204117217;219604247;235095484;250582514;266073751;-1
15,9.242686;4.96141;5.852417;6.832167;7.756823;8.717526;9.677353;10.772358;11.575279;12.320443;13.32569;14.498003;15.213094;17.09964;18.386919;18.578516;19.474972;20.741618;-1,0.379156;0.134322;0.164801;0.180589;0.190859;0.210264;0.273213;0.228691;0.230677;0.288061;0.283256;0.268298;0.284103;0.299826;0.321437;0.324033;0.348813;0.346553;-1,387;387;387;387;387;387;387;387;387;387;387;387;387;387;387;387;387;387;-1,0;319501;870465;1503158;2136949;2771177;3405406;4039636;4673867;5308099;5942332;6576566;7210801;7845037;8479274;9113512;9747751;10381991;-1,0;319497;407095;495414;585045;675112;765179;855246;945313;1035380;1125447;1215514;1305581;1395648;1485715;1575782;1665849;1755916;-1,0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;-1,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1,6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;-1,14331889;34924510;58172521;81428806;104701942;127975078;151248214;174521350;197982906;223156546;248502256;273843759;299189468;324535177;349880885;375226594;400572303;425918011;-1
16,10.126855;4.446035;5.701653;6.540189;7.687047;8.312589;9.351211;10.408536;11.274461;12.444406;13.613856;14.520355;15.498244;16.508949;17.332327;18.760762;19.486165;20.715279;21.51523;-1,0.415929;0.081592;0.14241;0.16054;0.17251;0.21166;0.1995;0.207943;0.206343;0.235736;0.23071;0.257309;0.259952;0.278584;0.272152;0.294173;0.289954;0.335403;0.326182;-1,395;395;395;395;395;395;395;395;395;395;395;395;395;395;395;395;395;395;395;-1,0;337237;591653;931846;1273148;1614902;1956656;2298410;2640164;2981918;3323672;3665426;4007180;4348934;4690688;5032442;5374196;5715950;6057704;-1,0;337233;429273;522047;616151;710701;805251;899801;994351;1088901;1183451;1278001;1372551;1467101;1561651;1656201;1750751;1845301;1939851;-1,0;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;-1,11;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;-1,11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;-1,15157903;26418433;40469642;54529123;68601243;82677575;96749694;110821814;125082471;140178563;155459119;170735464;186016016;201292363;216568708;231849261;247125607;262401952;277682505;-1
17,10.575165;4.445305;5.61981;6.614458;7.592711;8.670444;9.684765,0.435498;0.084249;0.149579;0.166293;0.183413;0.21568;2.565417,407;407;407;407;407;407;407,0;351313;616358;970753;1326360;1682595;2039070,0;351311;447043;543536;641424;739782;838142,0;1;1;1;1;1;1,19;18;18;18;18;18;18,19;19;19;19;19;19;19,15812729;27546334;42184775;56831457;71507556;86191968;100897282
18,9.402644;4.74755;5.82508;6.708105;8.289816;9.114784;9.878352;10.968926,0.380468;0.1068;0.16455;0.281826;0.369311;0.386977;0.381739;2.879978,393;393;393;393;393;393;393;393,0;325689;888435;1534089;2181012;2914541;3648081;4381635,0;325683;414991;505090;596717;689153;781591;874029,0;6;6;6;6;6;6;6,6;0;0;0;0;0;0;0,6;6;6;6;6;6;6;6,14618637;35650754;59376306;83105894;109625811;136145727;162665641;189189767
19,10.688605;4.507794;5.675564;6.633454;7.698584;8.648989;9.800611;10.840434;11.912234;13.015446;13.952763;15.034099;16.064975;17.205647;18.203666;19.412587;20.363;21.513715;-1,0.439824;0.084576;0.150566;0.167723;0.183773;0.196882;0.205969;0.217955;0.234722;0.250031;0.250337;0.263288;0.282273;0.302687;0.297633;0.313965;0.318447;0.377843;-1,409;409;409;409;409;409;409;409;409;409;409;409;409;409;409;409;409;409;-1,0;356058;624681;983841;1344174;1704999;2065862;2426749;2787664;3148665;3509630;3870635;4231792;4593019;4954452;5315811;5677076;6038643;-1,0;356054;453053;550810;649953;749562;849171;948780;1048389;1147998;1247607;1347216;1446825;1546434;1646043;1745652;1845261;1944870;-1,0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;-1,9;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;-1,9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;-1,16031043;27925181;42762208;57603283;72465417;87327536;102189647;117125515;133077324;149123360;165263562;181412119;197564857;213725929;229887028;246039748;262209179;278386983;-1
20,10.474233;4.461194;5.605243;6.597944;7.645071;8.752171;9.662578;10.852677;11.682355;12.581324;13.49123;14.710843;15.674247;16.766249;17.716826;18.685239;19.766016;20.819343;-1,0.435796;0.078982;0.140564;0.162816;0.174191;0.187146;0.21247;0.215205;0.216152;0.240259;0.236354;0.255371;0.265756;0.281895;0.279654;0.296538;0.302265;0.314869;-1,403;403;403;403;403;403;403;403;403;403;403;403;403;403;403;403;403;403;-1,0;346559;608006;957609;1308440;1659782;2011124;2362466;2713808;3065150;3416492;3767834;4119176;4470518;4821860;5173202;5524544;5875886;-1,0;346555;441035;536299;633035;730269;827503;924737;1021971;1119205;1216439;1313673;1410907;1508141;1605375;1702609;1799843;1897077;-1,0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;-1,9;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;-1,9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;-1,15590199;27163297;41603179;56051316;70512092;84977081;99442069;113902845;129408206;145015920;160717887;176419852;192121817;207819576;223521541;239223506;254925471;270627435;-1
