index,steps,rules,atoms,variables,sccs,t_solve_list,t_ground_list,t_parse_list,mem_start_bytes_list,mem_solve_bytes_list,ground_file_bytes_list
26,5,1,-1,-1,-1,0.005s;0.177s;6.09s;11.148s;17.826s;-1,0.723s;3.677s;5.405s;7.503s;9.429s;-1,0s;0.005s;0s;0.005s;0s;-1,25157632;32546816;58626048;87875584;117944320;-1,25161728;32563200;58638336;87887872;117956608;-1,7771288;35037092;65520065;96826801;129112491;-1
27,6,1,-1,-1,-1,0.007s;0.169s;6.015s;11.48s;12.8s;16.802s;-1,0.703s;3.341s;5.256s;7.411s;7.821s;9.596s;-1,0s;0s;0s;0s;0s;0.005s;-1,25169920;32567296;58707968;88043520;118235136;149377024;-1,25169920;32579584;58720256;88076288;118247424;149368832;-1,7785675;35127699;65701039;97108462;129484430;161860398;-1
28,4,1,-1,-1,-1,0.005s;0.164s;8.293s;16.359s;-1,0.623s;2.801s;4.321s;6.021s;-1,0s;0s;0.005s;0.001s;-1,25174016;32559104;58593280;87797760;-1,25174016;32571392;58605568;87810048;-1,7763895;34994004;65434825;96695059;-1
29,4,1,-1,-1,-1,0.006s;0.167s;6.699s;13.112s;-1,0.571s;2.942s;4.57s;6.133s;-1,0s;0s;0s;0.002s;-1,25174016;32600064;58843136;88301568;-1,25174016;32612352;58855424;88313856;-1,7806741;35256984;65958379;97508275;-1
30,7,1,-1,-1,-1,0.007s;0.177s;2.919s;5.312s;7.396s;9.595s;13.68s;-1,0.571s;3.236s;5.973s;7.556s;9.337s;11.98s;14.089s;-1,0s;0s;0s;0s;0s;0.003s;0s;-1,25194496;32559104;58494976;87576576;117460992;148344832;179236864;-1,25194496;32575488;58507264;87588864;117473280;148361216;179249152;-1,7742597;34861542;65170772;96284277;128396396;160508515;192475518;-1
31,2,1,-1,-1,-1,0.023s;1.092s;-1,12.582s;23.903s;-1,0.002s;0.002s;-1,24018944;55099392;-1,24301568;55148544;-1,32217732;150132376;-1
32,2,1,-1,-1,-1,0.024s;0.65s;-1,8.718s;16.983s;-1,0s;0s;-1,24350720;54996992;-1,24395776;55021568;-1,32060867;149106706;-1
33,2,1,-1,-1,-1,0.025s;0.796s;-1,8.708s;17.856s;-1,0s;0.001s;-1,24453120;55222272;-1,24489984;55234560;-1,32204953;150066273;-1
34,2,1,-1,-1,-1,0.02s;0.79s;-1,7.959s;17.529s;-1,0.001s;0s;-1,25501696;56160256;-1,25501696;56160256;-1,32137089;149609722;-1
35,2,1,-1,-1,-1,0.026s;0.76s;-1,13.994s;20.173s;-1,0.005s;0.001s;-1,25624576;56328192;-1,25624576;56328192;-1,32182504;149916548;-1
36,2,1,-1,-1,-1,0.023s;0.808s;-1,12.982s;25.031s;-1,0.001s;0.001s;-1,24604672;55361536;-1,24666112;55382016;-1,32178564;149879506;-1
37,2,1,-1,-1,-1,0.023s;0.788s;-1,11.549s;23.204s;-1,0.001s;0.001s;-1,24748032;56442880;-1,24748032;56442880;-1,32261044;150432739;-1
38,2,1,-1,-1,-1,0.024s;0.753s;-1,9.621s;20.92s;-1,0.001s;0.001s;-1,24682496;55570432;-1,24743936;55607296;-1,32330255;150888794;-1
39,2,1,-1,-1,-1,0.024s;0.798s;-1,9.541s;19.834s;-1,0.001s;0.001s;-1,24809472;55418880;-1,24809472;55422976;-1,32128413;149550413;-1
40,2,1,-1,-1,-1,0.024s;0.831s;-1,9.131s;20.534s;-1,0.001s;0.002s;-1,26669056;57356288;-1,26669056;57356288;-1,32164842;149785181;-1
