index,steps,rules,atoms,variables,sccs,t_solve_list,t_ground_list,t_parse_list,mem_start_bytes_list,mem_solve_bytes_list,ground_file_bytes_list
-1,20,1,-1,-1,-1,0.001752s;0.012377s;0.019168s;0.030883s;0.037764s;0.051134s;0.064439s;0.075206s;0.077188s;0.110494s;0.100601s;0.108151s;0.114665s;0.138728s;0.132257s;0.252746s;0.166308s;0.16458s;0.179275s;0.191035s;-1,0.031557s;0.194068s;0.278225s;0.393873s;0.45973s;0.628471s;0.687622s;0.815823s;0.843768s;1.05922s;1.0974s;1.30115s;1.33863s;1.52906s;1.60015s;1.91249s;1.88591s;2.08282s;2.23111s;2.49686s;-1,0.01122s;0.016275s;0.016546s;0.015629s;0.014918s;0.014683s;0.015292s;0.018018s;0.017689s;0.014865s;0.014818s;0.017018s;0.017918s;0.017071s;0.017436s;0.014817s;0.017296s;0.01469s;0.017515s;0.014792s;-1,22568960;23502848;28336128;31105024;34238464;36855808;39976960;52051968;54894592;57876480;60915712;63983616;67289088;70209536;73375744;76861440;80130048;83460096;86921216;90304512;-1,22839296;23502848;28336128;31105024;34238464;36855808;39976960;52051968;54894592;57876480;60915712;63983616;67289088;70209536;73375744;76861440;80130048;83460096;86921216;90304512;-1,335740;2678558;4052303;5424252;6869993;8262903;9662587;11117903;12631094;14155607;15694702;17249662;18823301;20418407;22038108;23685506;25364231;27065415;28788208;30546125;-1
-2,8,17496,9826,10162,0,0.000863s;0.001037s;0.001579s;0.002112s;0.012085s;0.013286s;0.017653s;0.021742s;0.028965s,0.017835s;0.0442s;0.04515s;0.047445s;0.053604s;0.054636s;0.05361s;0.064927s;0.073215s,0.012428s;0.014585s;0.015734s;0.016133s;0.015996s;0.016251s;0.015958s;0.015206s;0.014704s,63336448;63336448;63336448;63336448;63336448;63336448;63336448;63336448;63336448,63336448;63336448;63336448;63336448;63336448;63336448;63336448;63336448;63336448,270893;312631;337984;364159;391501;420424;451411;485014;521854
-3,20,1,-1,-1,-1,0.001105s;0.005484s;0.007881s;0.238012s;0.323596s;0.445464s;0.572985s;0.739019s;1.02527s;1.10212s;1.318s;1.7034s;1.95733s;2.38177s;2.84424s;3.3115s;3.90829s;4.8005s;6.48079s;7.95643s;-1,0.027633s;0.150631s;0.150263s;0.20944s;0.230445s;0.276178s;0.323609s;0.370848s;0.43294s;0.469497s;0.552s;0.64554s;0.67696s;0.754394s;0.865087s;0.956262s;1.07582s;1.17911s;1.33521s;1.43944s;-1,0.015137s;0.024174s;0.017223s;0.014857s;0.017275s;0.017596s;0.018151s;0.016537s;0.017504s;0.016649s;0.020668s;0.017627s;0.017256s;0.017666s;0.021061s;0.017393s;0.017809s;0.017487s;0.015727s;0.015574s;-1,79773696;79773696;79773696;79773696;79773696;79773696;79773696;79773696;79773696;79773696;79773696;79773696;79773696;79773696;79773696;79773696;84447232;84447232;100126720;100126720;-1,79773696;79773696;79773696;79773696;79773696;79773696;79773696;79773696;79773696;79773696;79773696;79773696;79773696;79773696;79773696;79773696;84447232;84447232;100126720;100126720;-1,305358;1228356;1765179;2311051;2863132;3425652;4053103;4653850;5277964;5970656;6712570;7488161;8280971;9133618;10060045;11065613;12165885;13375728;14708469;16181607;-1
-4,2,1,-1,-1,-1,0.017507s;0.888792s;-1,0.233888s;5.59807s;-1,0.01202s;0.015958s;-1,105803776;105803776;-1,105803776;105803776;-1,2099012;132633529;-1
-5,30,0,0,0,0,0.001666s;0.00582s;0.009852s;0.011934s;0.014189s;0.016681s;0.02232s;0.024835s;0.02855s;0.032927s;0.035237s;0.037885s;0.053022s;0.046151s;0.053352s;0.053819s;0.056058s;0.062659s;0.074448s;0.073191s;0.079205s;0.117525s;0.08346s;0.097001s;0.096818s;0.129511s;0.101244s;0.151544s;0.114017s;0.122542s;0.106292s,0.02927s;0.113657s;0.1712s;0.190343s;0.228286s;0.265382s;0.316733s;0.385706s;0.449819s;0.523256s;0.609583s;0.646581s;0.786381s;0.814993s;0.916977s;0.979822s;1.07533s;1.13589s;1.26074s;1.35647s;1.46031s;1.66209s;1.64549s;1.8009s;1.85804s;2.06186s;2.0585s;2.02482s;2.35772s;2.42016s;2.35242s,0.012536s;0.018118s;0.017501s;0.015975s;0.015243s;0.015313s;0.017628s;0.015686s;0.017529s;0.017648s;0.02088s;0.017934s;0.015137s;0.017796s;0.017674s;0.014846s;0.018115s;0.016821s;0.018786s;0.017002s;0.014959s;0.015135s;0.017666s;0.018007s;0.018225s;0.017592s;0.017355s;0.016883s;0.015641s;0.019386s;0.020299s,163278848;163278848;163278848;163278848;163278848;163278848;163278848;163278848;163278848;163278848;163278848;163278848;163278848;163278848;163278848;163278848;163278848;163278848;163278848;163278848;163278848;163278848;163278848;163278848;163278848;163278848;163278848;163278848;163282944;163295232;163295232,163278848;163278848;163278848;163278848;163278848;163278848;163278848;163278848;163278848;163278848;163278848;163278848;163278848;163278848;163278848;163278848;163278848;163278848;163278848;163278848;163278848;163278848;163278848;163278848;163278848;163278848;163278848;163278848;163282944;163295232;163295232,324648;1270983;1808503;2350974;2891576;3433429;3981958;4559396;5105948;5653360;6200435;6753916;7343752;7933622;8523465;9113329;9703170;10293029;10882897;11472742;12044889;12609734;13178204;13746112;14316973;14898277;15486502;16074726;16662941;17251151;17839377
-6,3,106226,12624,14998,6,0.001198s;0.051633s;0.093158s;0.214725s,0.020882s;0.114661s;0.152317s;0.189448s,0.010671s;0.018719s;0.016251s;0.016128s,163295232;163295232;163295232;163295232,163295232;163295232;163295232;163295232,302654;1252875;1776011;2305290
-7,11,1,-1,-1,-1,0.002952s;0.174467s;0.267801s;0.34638s;0.417134s;0.491463s;0.649039s;0.765752s;0.791559s;0.90525s;0.971033s;-1,0.066935s;1.26627s;1.7887s;2.48937s;3.11113s;3.86507s;4.82796s;5.71392s;6.40394s;6.72771s;8.03535s;-1,0.013427s;0.018114s;0.018822s;0.018163s;0.017876s;0.018101s;0.01722s;0.017985s;0.020604s;0.018408s;0.016805s;-1,163295232;163295232;163295232;203304960;218259456;233209856;248451072;263692288;278945792;294137856;321146880;-1,163295232;163295232;163295232;203304960;218259456;233209856;248451072;263692288;278945792;294137856;321146880;-1,499107;25207155;40006792;54961469;69914502;85143059;100382249;115634660;130829673;145923900;161172249;-1
-8,8,99666,15466,21265,3,0.001007s;0.002864s;0.003672s;0.005166s;0.112753s;0.146668s;0.18095s;0.24027s;0.459631s,0.018547s;0.060464s;0.073357s;0.089114s;0.09737s;0.116605s;0.13488s;0.156137s;0.187321s,0.012382s;0.016173s;0.016539s;0.013872s;0.015579s;0.016131s;0.014122s;0.014135s;0.016042s,190996480;190996480;190996480;190996480;190996480;190996480;190996480;190996480;190996480,190996480;190996480;190996480;190996480;190996480;190996480;190996480;190996480;190996480,278161;666184;890703;1118594;1349840;1584784;1827194;2073695;2326486
