index,models,steps,total_wall,total_cpu,mem_start_bytes,mem_end_bytes,mem_delta_bytes,wall_ground_list,cpu_ground_list,wall_solve_list,cpu_solve_list,consts_size_list,rules_list,atoms_list,rel_facts_list,rel_nonfacts_list,rel_total_list,aspif_bytes_list,mem_grounding_mb_list,mem_solve_mb_list
-575,0,30,5.664,5.658,2330595328,2330595328,0.0,0.098123;0.08214;0.082816;0.084773;0.088934;0.092841;0.096648;0.100179;0.105056;0.109119;0.113722;0.117425;0.121695;0.12545;0.129869;0.134369;0.138796;0.142174;0.14599;0.14866;0.154317;0.158501;0.162891;0.169238;0.170776;0.175046;0.180019;0.183435;0.188629;0.191356,0.098073;0.081948;0.082772;0.084727;0.088892;0.092651;0.096605;0.099987;0.104945;0.109059;0.113601;0.117368;0.121626;0.125392;0.1298;0.13417;0.138733;0.141964;0.145917;0.148435;0.154248;0.158281;0.162815;0.16886;0.170423;0.174976;0.179566;0.183205;0.188541;0.191118,0.002161;0.000645;0.000725;0.000908;0.001166;0.001337;0.001328;0.00139;0.001391;0.001505;0.001612;0.001713;0.001705;0.001883;0.001905;0.001998;0.001993;0.002054;0.002192;0.002488;0.002361;0.002437;0.002448;0.002506;0.002594;0.002716;0.002759;0.002904;0.002946;0.003141,0.002161;0.000645;0.000725;0.000908;0.001166;0.001202;0.001324;0.001385;0.001391;0.001505;0.001612;0.001712;0.001705;0.001883;0.001904;0.001961;0.001993;0.002054;0.002188;0.002483;0.002361;0.002437;0.002444;0.002505;0.002594;0.002716;0.002755;0.002904;0.002945;0.003137,437;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437;437,0;5586;5911;6296;6707;7250;7798;8346;8894;9442;9990;10538;11086;11634;12182;12730;13278;13826;14374;14922;15470;16018;16566;17114;17662;18210;18758;19306;19854;20402,0;5335;5605;5890;6211;6573;6935;7297;7659;8021;8383;8745;9107;9469;9831;10193;10555;10917;11279;11641;12003;12365;12727;13089;13451;13813;14175;14537;14899;15261,1;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26,237684;245875;270472;286859;311437;327827;352410;376992;393389;417962;442541;467142;483536;508133;532711;549094;573674;598268;622870;639265;663838;688411;712995;737589;762169;786747;811349;835926;860525;885102,2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63,2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63
-576,1,7,0.865,0.864,2330595328,2330595328,0.0,0.096029;0.076642;0.078718;0.08083;0.082745;0.085424;0.088578,0.095812;0.076601;0.078681;0.080528;0.082606;0.085385;0.088392,0.001882;0.000561;0.000649;0.000714;0.000817;0.001;0.017928,0.001881;0.000561;0.000649;0.000714;0.000817;0.001;0.017919,433;433;433;433;433;433;433,0;5261;5405;5597;5808;6040;6299,0;5245;5419;5604;5808;6021;6236,1;23;23;23;23;23;23,22;0;0;0;0;0;0,23;23;23;23;23;23;23,221316;229509;237700;254085;262276;270467;286852,2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63,2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63
-577,1,2,0.276,0.276,2330595328,2330595328,0.0,0.098536;0.086011,0.098467;0.085831,0.002052;0.017499,0.002047;0.01749,438;438,0;5583,0;5407,10;29,19;0,29;29,237659;262243,2222.63;2222.63,2222.63;2222.63
-578,0,30,43.89,43.828,2330595328,2381410304,48.46,0.133103;0.239374;0.261755;0.330788;0.374464;0.420463;0.47615;0.521777;0.573593;0.623622;0.680303;0.734275;0.785574;0.839205;0.899555;0.957141;1.019752;1.085316;1.147843;1.218039;1.289971;1.362517;1.43284;1.508844;1.593853;1.675431;1.793835;1.850461;1.972456;2.049126,0.133023;0.23911;0.261485;0.330356;0.3739;0.419982;0.475202;0.520606;0.572942;0.623022;0.679653;0.733401;0.785196;0.838309;0.898879;0.956;1.01847;1.084497;1.146967;1.216515;1.288624;1.360639;1.430075;1.506841;1.591871;1.673391;1.791027;1.848355;1.969887;2.046341,0.007989;0.016051;0.03892;0.064544;0.070066;0.081343;0.088066;0.094227;0.122924;0.107114;0.110197;0.119535;0.127183;0.144285;0.147447;0.162443;0.174094;0.194063;0.208204;0.231193;0.244008;0.272441;0.290431;0.318075;0.348015;0.434022;0.423903;0.456046;0.513369;0.56363,0.007985;0.016038;0.038878;0.064458;0.069829;0.08122;0.087944;0.094079;0.122566;0.106804;0.110015;0.1191;0.126832;0.144062;0.147194;0.162005;0.173663;0.193574;0.20784;0.230466;0.243593;0.271971;0.28976;0.317388;0.346692;0.432885;0.423037;0.454906;0.512205;0.561902,457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457,0;9085;40214;72441;118010;165436;213225;262902;313234;364436;416772;470547;526109;583851;644213;707684;774804;846166;922418;1004265;1092471;1187861;1291323;1403810;1526342;1660008;1805968;1965455;2139777;2330319,0;6910;9983;13318;17071;20902;24754;28657;32565;36478;40396;44319;48247;52180;56118;60061;64009;67962;71920;75883;79851;83824;87802;91785;95773;99766;103764;107767;111775;115788,1;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47,100;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54,101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101,409744;1802432;3326224;5390704;7512539;9658944;11862715;14107458;16376784;18687060;21062827;23512380;26035591;28665330;31409753;34293530;37332854;40552436;43985038;47646983;51579316;55798308;60353195;65260418;70577231;76336386;82570735;89337568;96677869;104648958,2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2309.46;2317.97;2327.51;2337.82,2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2222.63;2309.46;2317.97;2327.51;2337.82;2271.09
-579,1,2,0.276,0.276,2381410304,2381410304,0.0,0.102419;0.082746,0.102193;0.082708,0.002177;0.017445,0.002173;0.017439,441;441,0;5461,0;5431,1;7,36;30,37;37,229493;254083,2271.09;2271.09,2271.09;2271.09
-580,1,8,1.131,1.129,2381410304,2381410304,0.0,0.097685;0.081454;0.085935;0.090676;0.095994;0.100593;0.107094;0.111788,0.097485;0.081415;0.085825;0.090569;0.095887;0.100401;0.106913;0.111733,0.00217;0.000864;0.001292;0.001779;0.002135;0.003616;0.005835;0.020977,0.002166;0.000864;0.001288;0.001774;0.002135;0.003612;0.00583;0.020971,414;414;414;414;414;414;414;414,0;5355;5814;6471;7173;7902;8820;9900,0;5321;5720;6184;6666;7148;7630;8112,1;7;7;7;7;7;7;7,42;36;36;36;36;36;36;36,43;43;43;43;43;43;43;43,229459;254054;278633;311425;344207;385165;434315;499874,2271.09;2271.09;2271.09;2271.09;2271.09;2271.09;2271.09;2271.09,2271.09;2271.09;2271.09;2271.09;2271.09;2271.09;2271.09;2271.09
-581,1,2,0.297,0.296,2381410304,2381410304,0.0,0.1054;0.093736,0.105175;0.093318,0.003337;0.018955,0.003332;0.018802,443;443,0;6338,0;5645,1;35,34;0,35;35,270427;327782,2271.09;2271.09,2271.09;2271.09
-582,1,2,0.374,0.374,2381410304,2381410304,0.0,0.118681;0.138302,0.118456;0.13816,0.005848;0.023308,0.005843;0.023298,440;440,0;8306,0;6238,22;53,31;0,53;53,344197;696470,2271.09;2271.09,2271.09;2271.09
-583,0,30,0.17,0.169,2381410304,2381410304,0.0,0.098156;0.000491;6.8e-05;6.4e-05;6.4e-05;6.3e-05;6.2e-05;6.3e-05;6.2e-05;6.2e-05;6.2e-05;6.2e-05;6.2e-05;6.2e-05;6.2e-05;6.1e-05;6.2e-05;6.3e-05;6.2e-05;6.2e-05;6.2e-05;6.2e-05;6.2e-05;6.2e-05;6.2e-05;6.2e-05;6.6e-05;6.3e-05;6.2e-05;6.1e-05,0.098034;0.000492;6.8e-05;6.4e-05;6.4e-05;6.3e-05;6.2e-05;6.3e-05;6.2e-05;6.2e-05;6.2e-05;6.2e-05;6.2e-05;6.2e-05;6.2e-05;6.1e-05;6.2e-05;6.3e-05;6.2e-05;6.2e-05;6.2e-05;6.2e-05;6.2e-05;6.2e-05;6.2e-05;6.2e-05;6.7e-05;6.3e-05;6.2e-05;6.1e-05,0.00117;4.8e-05;4.4e-05;4.3e-05;4.3e-05;4.3e-05;4.4e-05;4.2e-05;4.2e-05;4.1e-05;4.2e-05;4.2e-05;4.1e-05;4.2e-05;4.2e-05;4.2e-05;4.4e-05;4.2e-05;4.3e-05;5e-05;4.2e-05;4.2e-05;4.2e-05;4.4e-05;4.3e-05;4.2e-05;4.5e-05;4.2e-05;4.1e-05;4.3e-05,0.001165;4.8e-05;4.4e-05;4.3e-05;4.3e-05;4.3e-05;4.4e-05;4.2e-05;4.2e-05;4.1e-05;4.2e-05;4.2e-05;4.1e-05;4.2e-05;4.2e-05;4.2e-05;4.4e-05;4.2e-05;4.3e-05;5e-05;4.2e-05;4.2e-05;4.2e-05;4.4e-05;4.3e-05;4.2e-05;4.5e-05;4.2e-05;4.1e-05;4.3e-05,440;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;10672;21344;32016;42688;53360;64032;74704;85376;96048;106720;117392;128064;138736;149408;160080;170752;181424;192096;202768;213440;224112;234784;245456;256128;266800;277472;288144;298816;309488,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,221273;221273;221273;221273;221273;221273;221273;221273;221273;221273;221273;221273;221273;221273;221273;221273;221273;221273;221273;221273;221273;221273;221273;221273;221273;221273;221273;221273;221273;221273,2271.09;2271.09;2271.09;2271.09;2271.09;2271.09;2271.09;2271.09;2271.09;2271.09;2271.09;2271.09;2271.09;2271.09;2271.09;2271.09;2271.09;2271.09;2271.09;2271.09;2271.09;2271.09;2271.09;2271.09;2271.09;2271.09;2271.09;2271.09;2271.09;2271.09,2271.09;2271.09;2271.09;2271.09;2271.09;2271.09;2271.09;2271.09;2271.09;2271.09;2271.09;2271.09;2271.09;2271.09;2271.09;2271.09;2271.09;2271.09;2271.09;2271.09;2271.09;2271.09;2271.09;2271.09;2271.09;2271.09;2271.09;2271.09;2271.09;2271.09
-584,0,3,42.196,42.121,2381410304,2872442880,468.29,1.634775;6.032256;5.854933;-1,1.632311;6.021536;5.845133;-1,2.256341;1.940763;5.919044;-1,2.251526;1.935603;5.904381;-1,450;450;450;-1,0;487973;2238491;-1,0;31509;52109;-1,1;15;15;-1,280;266;266;-1,281;281;281;-1,19260058;115798394;212934726;-1,2271.09;2271.09;2273.11;-1,2271.09;2273.11;2491.55;-1
