index,models,steps,total_wall,total_cpu,mem_start_bytes,mem_end_bytes,mem_delta_bytes,wall_ground_list,cpu_ground_list,wall_solve_list,cpu_solve_list,consts_size_list,rules_list,atoms_list,rel_facts_list,rel_nonfacts_list,rel_total_list,aspif_bytes_list,mem_grounding_mb_list,mem_solve_mb_list
-1,0,30,27.701,54.24,25952256,4397178880,4168.73,0.146794;0.149518;0.173151;0.177193;0.203572;0.231573;0.259015;0.279397;0.308574;0.340717;0.372346;0.391096;0.422397;0.452691;0.467757;0.513534;0.526554;0.582494;0.61521;0.650537;0.673757;0.726057;0.866745;0.851389;0.970759;1.152025;1.418784;1.481551;1.66607;1.829205,0.146661;0.149453;0.173025;0.177082;0.203435;0.230598;0.257664;0.278326;0.306346;0.339722;0.365078;0.38481;0.421949;0.452432;0.467457;0.508938;0.525742;0.57441;0.612142;0.648979;0.673346;0.722714;0.864847;0.84996;0.970036;1.147348;1.417022;1.479615;1.664544;1.82797,0.014231;0.03951;0.041263;0.04509;0.084696;0.074473;0.034585;0.093005;0.076421;0.05113;0.113154;0.072608;0.042298;0.120695;0.072339;0.110853;0.135459;0.056686;0.091988;0.081961;0.145691;0.182236;0.117146;0.119565;0.16446;0.308863;0.173671;0.204883;0.236569;0.384381,0.047582;0.03283;0.088728;0.174035;0.265413;0.336123;0.308209;0.303322;0.237167;0.343109;0.733558;0.364257;0.321529;0.916815;0.365873;0.417404;1.059406;0.450118;0.557167;0.653575;0.91572;2.102541;0.674604;0.939554;1.238184;4.817441;1.424019;1.414944;1.93814;6.657575,406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406,0;8797;11553;14904;19251;25417;31654;37971;44396;50961;57702;64659;71876;79401;87286;95587;104364;113681;123606;134211;145572;157769;170886;185011;200236;216657;234374;253491;274116;296361,0;7890;9091;10401;11854;13409;14965;16522;18080;19639;21199;22760;24322;25885;27449;29014;30580;32147;33715;35284;36854;38425;39997;41570;43144;44719;46295;47872;49450;51029,1;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32,79;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48,80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80,385141;499878;639171;819413;1065206;1310971;1564920;1827076;2089228;2359588;2646311;2941247;3244362;3563881;3907948;4268431;4653475;5071297;5513705;5988842;6496786;7045667;7643730;8290902;8987223;9740913;10560178;11436749;12395250;13419324,28.19;40.44;47.01;60.09;95.56;149.9;208.19;280.22;361.77;382.85;426.39;566.7;599.07;633.52;839.75;866.71;917.08;1197.36;1231.82;1271.14;1355.35;1472.82;1932.28;1989.02;2070.42;2204.28;2862.05;2938.69;3040.98;3238.7,39.67;46.76;59.84;95.31;149.14;208.19;279.71;361.77;382.59;426.39;566.44;598.82;633.52;839.75;866.71;917.08;1197.36;1231.82;1269.85;1355.35;1472.82;1932.28;1988.77;2070.42;2204.28;2861.38;2938.69;3040.98;3238.7;4193.48
1,0,5,101.901,113.239,26025984,2702139392,2552.14,16.499361;7.763765;9.970449;11.39529;13.714721;-1,16.149752;7.4322;9.665957;11.184893;13.290432;-1,0.878493;0.321943;0.604388;0.89663;0.884547;-1,0.873862;0.387151;2.738925;5.615934;7.783385;-1,400;400;400;400;400;-1,0;333869;584880;921677;1259618;-1,0;333848;424760;516417;609439;-1,0;3;3;3;3;-1,28;25;25;25;25;-1,28;28;28;28;28;-1,14326099;25099456;38576318;52060898;65562224;-1,84.52;132.3;195.83;819.65;1610.13;-1,95.92;165.98;804.25;1594.02;2569.22;-1
-2,1,10,2.117,2.25,3515351040,3515850752,0.48,0.132574;0.107129;0.109065;0.112784;0.113427;0.115145;0.117308;0.119094;0.129428;0.135577,0.132331;0.107006;0.108958;0.112645;0.113286;0.115081;0.117231;0.119012;0.12931;0.135467,0.020223;0.007905;0.020618;0.01095;0.008136;0.007794;0.017286;0.035943;0.027311;0.045846,0.016551;0.018868;0.020468;0.014161;0.01606;0.014044;0.013613;0.036543;0.092487;0.094438,374;374;374;374;374;374;374;374;374;374,0;7068;7182;7319;7461;7659;7876;8124;8417;8747,0;7061;7186;7318;7465;7626;7789;7954;8121;8290,1;17;17;17;17;17;17;17;17;17,16;0;0;0;0;0;0;0;0;0,17;17;17;17;17;17;17;17;17;17,303257;311448;319641;327832;336023;344214;352405;368787;376978;393360,3352.5;3352.5;3352.5;3352.5;3352.51;3352.51;3352.51;3352.52;3352.54;3352.55,3352.5;3352.5;3352.5;3352.51;3352.51;3352.51;3352.52;3352.54;3352.55;3352.98
2,1,10,236.316,607.745,25489408,15242436608,14512.01,13.710205;7.338939;9.459559;12.140206;14.572868;16.051449;18.269152;20.155207;22.197256;25.836683,13.699023;7.321446;9.339164;11.54992;14.125085;15.493487;17.383724;19.532572;21.534464;25.068799,0.696239;0.286251;0.695772;1.287718;1.613687;2.211864;2.592679;3.322904;2.727984;9.926899,0.702332;0.488605;2.379389;8.256356;24.556574;29.097584;34.637106;56.164574;66.489356;179.456888,375;375;375;375;375;375;375;375;375;375,0;308290;841405;1453431;2066608;2762276;3457963;4153681;4849444;5545265,0;308284;393467;479389;566698;654755;742814;830875;918938;1007003,0;7;7;7;7;7;7;7;7;7,7;0;0;0;0;0;0;0;0;0,7;7;7;7;7;7;7;7;7;7,13195227;32512980;54312894;76129253;100509646;124898376;149286895;173675554;198064148;222781036,79.74;139.88;202.38;753.02;1943.11;3941.3;6774.2;7736.47;10136.59;11580.91,85.48;176.61;734.93;1915.88;3923.59;6772.77;7717.9;10135.56;11580.27;14536.32
-3,0,30,29.039,377.807,3515850752,5682012160,2065.81,0.147108;0.137657;0.150167;0.166699;0.17214;0.191632;0.199587;0.22417;0.23654;0.262804;0.279165;0.297762;0.316;0.374118;0.383001;0.385435;0.376876;0.438596;0.477298;0.53038;0.534582;0.586274;0.613776;0.696328;0.770243;0.887276;1.064772;1.334552;1.454357;1.645825,0.146998;0.137547;0.150084;0.166604;0.172014;0.191504;0.199434;0.223806;0.236372;0.262633;0.278936;0.296949;0.314677;0.373828;0.382731;0.385189;0.376589;0.43506;0.471674;0.521614;0.534022;0.584371;0.613322;0.695859;0.769718;0.886651;1.062467;1.330774;1.453438;1.640024,0.01111;0.008501;0.023189;0.02091;0.014484;0.01579;0.053769;0.04984;0.039838;0.042838;0.049627;0.055938;0.131701;0.101473;0.089247;0.112825;0.14376;0.210456;0.166802;0.221721;0.20239;0.489699;0.480503;0.339659;0.721481;0.534185;0.846728;1.320312;1.665625;1.301084,0.020678;0.019011;0.035576;0.069083;0.085534;0.072622;0.10878;0.250249;0.771397;0.279898;0.635641;0.972979;3.794513;2.412794;1.852993;3.236504;5.63869;7.409018;4.493081;4.342132;5.769469;23.135987;18.073968;9.86043;21.487521;19.759112;31.429875;49.743825;85.866313;56.648044,413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413;413,0;8074;9429;11163;13398;16149;19004;21999;25198;28614;32318;36441;41112;46467;52607;59698;68003;77746;89155;102481;118048;136180;157229;181576;209632;241839;278651;320588;368125;421890,0;7608;8397;9295;10269;11270;12275;13284;14297;15314;16335;17360;18389;19422;20459;21500;22545;23594;24647;25704;26765;27830;28899;29972;31049;32130;33215;34304;35397;36494,1;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16,53;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38,54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54,352444;409795;491729;590059;712961;844049;983338;1122604;1270075;1433932;1614172;1810821;2032007;2285980;2572726;2900444;3277299;3719712;4219456;4801137;5472888;6242967;7119516;8127192;9274157;10576734;12051351;13706230;15574073;17663092,3352.98;3352.98;3352.98;3353.0;3353.0;3353.0;3353.0;3353.0;3353.0;3353.0;3353.0;3353.01;3353.01;3353.44;3353.44;3353.92;3353.92;3353.92;3353.98;3353.98;3365.5;3365.56;3372.42;3394.41;3395.66;3578.62;3670.27;3779.48;4983.92;5172.43,3352.98;3352.98;3353.0;3353.0;3353.0;3353.0;3353.0;3353.0;3353.0;3353.0;3353.01;3353.01;3353.44;3353.44;3353.92;3353.92;3353.92;3353.98;3353.98;3365.5;3365.56;3372.42;3394.41;3395.66;3578.62;3670.27;3779.48;4983.92;5172.43;5418.79
